date,open,high,low,close
2005-03-09,0.79265,0.79585,0.79135,0.7933
2005-03-10,0.7918,0.7983,0.78715,0.791
2005-03-11,0.7899,0.7948,0.7876,0.793
2005-03-14,0.7931,0.7932,0.78605,0.7874
2005-03-15,0.7879,0.79395,0.78705,0.79075
2005-03-16,0.78875,0.7957,0.78825,0.79355
2005-03-17,0.79455,0.79465,0.7906,0.79355
2005-03-18,0.79295,0.79515,0.7886,0.7949
2005-03-21,0.7936,0.79405,0.7844,0.7853
2005-03-22,0.78515,0.7928,0.782,0.7829
2005-03-23,0.78035,0.78095,0.7698,0.7725
2005-03-24,0.77235,0.77395,0.7704,0.77235
2005-03-25,0.77135,0.77385,0.77095,0.7714
2005-03-28,0.7718,0.7722,0.76695,0.76885
2005-03-29,0.76775,0.7751,0.76735,0.77035
2005-03-30,0.77145,0.7742,0.7692,0.77045
2005-03-31,0.77065,0.7776,0.77065,0.77275
2005-04-01,0.77275,0.7764,0.7683,0.77125
2005-04-04,0.7686,0.7708,0.7651,0.76775
2005-04-05,0.76675,0.7698,0.7628,0.769
2005-04-06,0.76775,0.76825,0.76335,0.76495
2005-04-07,0.76375,0.7708,0.76265,0.76615
2005-04-08,0.76585,0.7736,0.7649,0.77175
2005-04-11,0.7716,0.7757,0.77045,0.7754
2005-04-12,0.77515,0.7774,0.772,0.7755
2005-04-13,0.77495,0.7804,0.77435,0.77765
2005-04-14,0.77785,0.77845,0.7695,0.77025
2005-04-15,0.76895,0.7723,0.76515,0.7683
2005-04-18,0.7687,0.76965,0.7635,0.76795
2005-04-19,0.76855,0.7719,0.7647,0.77175
2005-04-20,0.77135,0.7772,0.77085,0.77555
2005-04-21,0.77485,0.7772,0.7735,0.77585
2005-04-22,0.77535,0.7832,0.77425,0.78125
2005-04-25,0.7818,0.7819,0.7778,0.78065
2005-04-26,0.77925,0.7813,0.7763,0.77805
2005-04-27,0.77755,0.77855,0.77435,0.77685
2005-04-28,0.77645,0.7821,0.77485,0.77895
2005-04-29,0.77805,0.7841,0.77735,0.7813
2005-05-02,0.7802,0.7813,0.7785,0.77985
2005-05-03,0.77925,0.78005,0.7722,0.77415
2005-05-04,0.77435,0.78165,0.7726,0.78085
2005-05-05,0.78105,0.7827,0.77715,0.78075
2005-05-06,0.78045,0.78055,0.7744,0.77525
2005-05-09,0.7737,0.77525,0.7711,0.77235
2005-05-10,0.77335,0.7771,0.7721,0.77655
2005-05-11,0.77645,0.7792,0.7738,0.77445
2005-05-12,0.77455,0.77455,0.7651,0.76575
2005-05-13,0.76535,0.76695,0.76025,0.76135
2005-05-16,0.7683,0.76835,0.75375,0.75605
2005-05-17,0.75665,0.7587,0.755,0.7554
2005-05-18,0.7557,0.76185,0.75305,0.76115
2005-05-19,0.76065,0.76105,0.7566,0.75815
2005-05-20,0.75725,0.7608,0.7535,0.75605
2005-05-23,0.7548,0.76025,0.75405,0.75935
2005-05-24,0.75875,0.7639,0.7581,0.76295
2005-05-25,0.76045,0.7632,0.7584,0.76265
2005-05-26,0.76255,0.76475,0.75795,0.75835
2005-05-27,0.75905,0.7635,0.75825,0.76305
2005-05-30,0.7615,0.7634,0.76035,0.76045
2005-05-31,0.76055,0.76095,0.75405,0.75575
2005-06-01,0.75605,0.75755,0.74745,0.74945
2005-06-02,0.74995,0.7558,0.74835,0.75435
2005-06-03,0.75445,0.7606,0.7536,0.7565
2005-06-06,0.7555,0.7662,0.7554,0.76535
2005-06-07,0.76465,0.77,0.76365,0.76885
2005-06-08,0.76875,0.77045,0.7641,0.76485
2005-06-09,0.76565,0.7689,0.76525,0.76775
2005-06-10,0.76755,0.76775,0.7608,0.76125
2005-06-13,0.7623,0.7639,0.759,0.76145
2005-06-14,0.76135,0.7682,0.76085,0.76315
2005-06-15,0.76355,0.76995,0.76215,0.76965
2005-06-16,0.77025,0.7744,0.7662,0.77325
2005-06-17,0.77215,0.77825,0.77155,0.77785
2005-06-20,0.7755,0.7792,0.77505,0.77555
2005-06-21,0.77635,0.78095,0.7725,0.78075
2005-06-22,0.77925,0.7798,0.7748,0.77875
2005-06-23,0.77845,0.77875,0.7712,0.7712
2005-06-24,0.77185,0.7745,0.7666,0.76935
2005-06-27,0.7695,0.77035,0.767,0.76905
2005-06-28,0.76905,0.76995,0.7621,0.76245
2005-06-29,0.76375,0.76455,0.7585,0.76195
2005-06-30,0.76205,0.7646,0.7593,0.76245
2005-07-01,0.76275,0.76465,0.74955,0.75185
2005-07-04,0.7507,0.7519,0.74755,0.74985
2005-07-05,0.74855,0.75045,0.7391,0.74105
2005-07-06,0.74095,0.7445,0.7386,0.73925
2005-07-07,0.739,0.74675,0.73655,0.73955
2005-07-08,0.73975,0.7444,0.7367,0.74185
2005-07-11,0.7423,0.7488,0.7419,0.74735
2005-07-12,0.74745,0.7576,0.7467,0.75705
2005-07-13,0.75675,0.75695,0.7471,0.74985
2005-07-14,0.74885,0.7539,0.74835,0.75245
2005-07-15,0.75075,0.7536,0.7474,0.74945
2005-07-18,0.7485,0.7548,0.7475,0.75365
2005-07-19,0.75355,0.7542,0.748,0.75045
2005-07-20,0.75075,0.7574,0.74935,0.75565
2005-07-21,0.75585,0.76665,0.75585,0.76535
2005-07-22,0.76465,0.7687,0.76325,0.76325
2005-07-25,0.76425,0.7647,0.7583,0.76275
2005-07-26,0.76335,0.76335,0.7569,0.75785
2005-07-27,0.75805,0.75975,0.7529,0.75615
2005-07-28,0.75575,0.76085,0.7536,0.75985
2005-07-29,0.75965,0.7623,0.7561,0.7566
2005-08-01,0.7561,0.76355,0.73255,0.76165
2005-08-02,0.76055,0.7659,0.75985,0.76485
2005-08-03,0.76525,0.7726,0.7624,0.77165
2005-08-04,0.77085,0.7745,0.7693,0.77245
2005-08-05,0.77225,0.77235,0.7661,0.76835
2005-08-08,0.7678,0.76865,0.76345,0.76415
2005-08-09,0.76385,0.76635,0.7585,0.76145
2005-08-10,0.76175,0.7663,0.76065,0.76525
2005-08-11,0.76515,0.7748,0.76435,0.77425
2005-08-12,0.77435,0.7755,0.7706,0.77175
2005-08-15,0.7732,0.77435,0.7672,0.76915
2005-08-16,0.76855,0.76995,0.7659,0.76955
2005-08-17,0.76925,0.77075,0.7599,0.76045
2005-08-18,0.76015,0.7612,0.75115,0.75305
2005-08-19,0.75245,0.754,0.74965,0.75135
2005-08-22,0.7516,0.7566,0.75105,0.75495
2005-08-23,0.75475,0.7569,0.75385,0.75585
2005-08-24,0.75525,0.75745,0.7511,0.75565
2005-08-25,0.75485,0.7614,0.75485,0.75955
2005-08-26,0.75905,0.7604,0.75505,0.75595
2005-08-29,0.7554,0.75765,0.75165,0.75275
2005-08-30,0.75085,0.75175,0.7464,0.74905
2005-08-31,0.74855,0.7556,0.7457,0.75525
2005-09-01,0.75475,0.7637,0.75355,0.76255
2005-09-02,0.76275,0.7665,0.7614,0.76505
2005-09-05,0.7639,0.76955,0.7639,0.7673
2005-09-06,0.7677,0.7688,0.7648,0.76765
2005-09-07,0.76785,0.77025,0.7653,0.76565
2005-09-08,0.76615,0.7733,0.76525,0.77295
2005-09-09,0.77285,0.77565,0.77055,0.77505
2005-09-12,0.7749,0.77625,0.76855,0.76855
2005-09-13,0.76925,0.7709,0.7671,0.76835
2005-09-14,0.76925,0.7736,0.76855,0.77165
2005-09-15,0.77105,0.7712,0.7654,0.76665
2005-09-16,0.76735,0.7706,0.76435,0.76775
