date,open,high,low,close
2005-03-09,1.9207,1.92915,1.92,1.9254
2005-03-10,1.92205,1.93065,1.92055,1.9227
2005-03-11,1.9222,1.9283,1.91645,1.9259
2005-03-14,1.92685,1.92715,1.91,1.9138
2005-03-15,1.91305,1.92565,1.91125,1.9129
2005-03-16,1.91275,1.92935,1.91125,1.9262
2005-03-17,1.92735,1.92855,1.91845,1.9253
2005-03-18,1.925,1.9252,1.9125,1.9219
2005-03-21,1.91985,1.92015,1.89465,1.8965
2005-03-22,1.8968,1.90225,1.8799,1.88605
2005-03-23,1.8859,1.88855,1.86615,1.869
2005-03-24,1.8693,1.87415,1.86715,1.8685
2005-03-25,1.8693,1.87225,1.8677,1.8699
2005-03-28,1.87025,1.87025,1.85945,1.8668
2005-03-29,1.8661,1.87675,1.86505,1.874
2005-03-30,1.8754,1.88495,1.87405,1.8784
2005-03-31,1.8767,1.89185,1.87545,1.8905
2005-04-01,1.8893,1.8978,1.87605,1.8823
2005-04-04,1.87825,1.88075,1.87095,1.8755
2005-04-05,1.8763,1.88185,1.87195,1.8813
2005-04-06,1.8797,1.8847,1.8752,1.88085
2005-04-07,1.8809,1.88605,1.86815,1.86965
2005-04-08,1.8706,1.8857,1.86725,1.88565
2005-04-11,1.88525,1.89345,1.88145,1.8909
2005-04-12,1.8908,1.89795,1.88295,1.8921
2005-04-13,1.8919,1.89565,1.88735,1.8944
2005-04-14,1.8945,1.8949,1.87595,1.8815
2005-04-15,1.8799,1.89495,1.87715,1.89265
2005-04-18,1.89375,1.90575,1.88855,1.9037
2005-04-19,1.9042,1.92035,1.90015,1.9183
2005-04-20,1.9168,1.92175,1.90975,1.9193
2005-04-21,1.9197,1.92175,1.90635,1.9085
2005-04-22,1.9075,1.91695,1.90555,1.9144
2005-04-25,1.91695,1.91735,1.90795,1.91115
2005-04-26,1.9112,1.91335,1.90215,1.9059
2005-04-27,1.9057,1.9095,1.89895,1.9058
2005-04-28,1.9037,1.9106,1.90155,1.9058
2005-04-29,1.9073,1.91615,1.90535,1.9086
2005-05-02,1.90665,1.90755,1.89255,1.8948
2005-05-03,1.8949,1.8959,1.88865,1.8925
2005-05-04,1.8926,1.9035,1.8923,1.9025
2005-05-05,1.9027,1.90775,1.89985,1.9066
2005-05-06,1.9029,1.9034,1.88955,1.8909
2005-05-09,1.89065,1.89125,1.8806,1.8839
2005-05-10,1.8856,1.8856,1.87625,1.8827
2005-05-11,1.8825,1.89125,1.86955,1.8729
2005-05-12,1.8721,1.87365,1.86025,1.8652
2005-05-13,1.864,1.86585,1.84825,1.8506
2005-05-16,1.8499,1.84995,1.83325,1.8382
2005-05-17,1.8377,1.8425,1.83215,1.83365
2005-05-18,1.83545,1.84125,1.82935,1.8402
2005-05-19,1.8388,1.84345,1.83215,1.8371
2005-05-20,1.8352,1.8391,1.82335,1.8271
2005-05-23,1.82505,1.8362,1.82425,1.8303
2005-05-24,1.8292,1.83595,1.82615,1.8274
2005-05-25,1.8276,1.83345,1.82485,1.8316
2005-05-26,1.8315,1.83265,1.8188,1.82
2005-05-27,1.8206,1.82735,1.8199,1.8243
2005-05-30,1.82425,1.82565,1.81955,1.8236
2005-05-31,1.8232,1.82575,1.81045,1.8172
2005-06-01,1.8174,1.82255,1.80765,1.8093
2005-06-02,1.8116,1.82075,1.8082,1.8153
2005-06-03,1.8159,1.82385,1.81,1.81575
2005-06-06,1.81325,1.8249,1.81265,1.8244
2005-06-07,1.824,1.83535,1.82055,1.8352
2005-06-08,1.8351,1.84035,1.82215,1.8231
2005-06-09,1.8237,1.82855,1.8174,1.8207
2005-06-10,1.8205,1.82635,1.81085,1.8125
2005-06-13,1.81195,1.81285,1.80015,1.80675
2005-06-14,1.8077,1.81565,1.80305,1.8061
2005-06-15,1.8063,1.82485,1.80445,1.8226
2005-06-16,1.82315,1.82895,1.81685,1.8225
2005-06-17,1.8232,1.8309,1.81925,1.8309
2005-06-20,1.82405,1.82885,1.82115,1.8247
2005-06-21,1.8253,1.8312,1.81665,1.8296
2005-06-22,1.8287,1.83315,1.818,1.8219
2005-06-23,1.82175,1.8232,1.81395,1.8153
2005-06-24,1.815,1.825,1.81245,1.8245
2005-06-27,1.82305,1.83155,1.82215,1.82875
2005-06-28,1.8292,1.8292,1.8144,1.8146
2005-06-29,1.8167,1.81815,1.7995,1.8063
2005-06-30,1.8068,1.81055,1.78725,1.79165
2005-07-01,1.7904,1.7952,1.7674,1.7676
2005-07-04,1.76035,1.76555,1.75715,1.7596
2005-07-05,1.7581,1.76205,1.75045,1.7564
2005-07-06,1.7564,1.76095,1.7517,1.7541
2005-07-07,1.7526,1.75415,1.73745,1.74475
2005-07-08,1.7439,1.744,1.7311,1.7381
2005-07-11,1.73685,1.75915,1.73585,1.7579
2005-07-12,1.7577,1.77855,1.75505,1.77805
2005-07-13,1.778,1.7786,1.7527,1.7647
