date,open,high,low,close
2005-03-09,1.3339,1.3423,1.3334,1.3393
2005-03-10,1.3373,1.3456,1.3372,1.3419
2005-03-11,1.3422,1.34785,1.3392,1.3458
2005-03-14,1.3475,1.3477,1.3336,1.337
2005-03-15,1.3358,1.3411,1.3297,1.3305
2005-03-16,1.3306,1.3439,1.3292,1.3417
2005-03-17,1.3417,1.3419,1.3343,1.3378
2005-03-18,1.3379,1.3386,1.3265,1.33245
2005-03-21,1.3308,1.33175,1.314,1.31575
2005-03-22,1.3166,1.3226,1.3054,1.3087
2005-03-23,1.3085,1.3087,1.2961,1.29855
2005-03-24,1.299,1.30335,1.2934,1.2939
2005-03-25,1.2942,1.2969,1.2929,1.29575
2005-03-28,1.2957,1.2957,1.2857,1.2898
2005-03-29,1.2894,1.2956,1.2877,1.2922
2005-03-30,1.2937,1.2985,1.29115,1.2915
2005-03-31,1.2913,1.3019,1.2913,1.29635
2005-04-01,1.2966,1.30555,1.2871,1.29135
2005-04-04,1.2884,1.2905,1.2818,1.28475
2005-04-05,1.2855,1.28775,1.2801,1.28685
2005-04-06,1.2853,1.291,1.284,1.2871
2005-04-07,1.2873,1.2939,1.2846,1.28565
2005-04-08,1.285,1.2957,1.2809,1.2957
2005-04-11,1.2928,1.3004,1.2908,1.29725
2005-04-12,1.2973,1.3016,1.2863,1.29225
2005-04-13,1.2918,1.2955,1.285,1.2914
2005-04-14,1.292,1.2922,1.2767,1.2812
2005-04-15,1.2799,1.294,1.2779,1.2925
2005-04-18,1.2917,1.30445,1.2877,1.3024
2005-04-19,1.3026,1.3078,1.2982,1.3064
2005-04-20,1.3057,1.3104,1.29925,1.3086
2005-04-21,1.3087,1.3125,1.30255,1.3047
2005-04-22,1.3051,1.3094,1.3022,1.3065
2005-04-25,1.3059,1.306,1.2955,1.30095
2005-04-26,1.2988,1.3015,1.29455,1.2986
2005-04-27,1.2992,1.2993,1.29055,1.2931
2005-04-28,1.2923,1.29435,1.2882,1.2892
2005-04-29,1.2901,1.298,1.2854,1.287
2005-05-02,1.2861,1.2874,1.2837,1.2864
2005-05-03,1.2852,1.2916,1.283,1.2871
2005-05-04,1.2874,1.2974,1.287,1.2947
2005-05-05,1.2954,1.2989,1.2926,1.2957
2005-05-06,1.2955,1.2964,1.281,1.2819
2005-05-09,1.2816,1.2847,1.279,1.2842
2005-05-10,1.2862,1.2891,1.2816,1.288
2005-05-11,1.2877,1.2913,1.27775,1.2816
2005-05-12,1.2806,1.2816,1.2685,1.2695
2005-05-13,1.2678,1.2688,1.261,1.2633
2005-05-16,1.2636,1.26505,1.2502,1.2642
2005-05-17,1.2634,1.2664,1.2595,1.2606
2005-05-18,1.2609,1.269,1.2586,1.2679
2005-05-19,1.2677,1.2691,1.2605,1.2644
2005-05-20,1.2638,1.2654,1.2536,1.25585
2005-05-23,1.2542,1.2598,1.24895,1.2578
2005-05-24,1.2568,1.26285,1.2558,1.2584
2005-05-25,1.2576,1.2619,1.2552,1.2601
2005-05-26,1.2602,1.2614,1.2496,1.2513
2005-05-27,1.2512,1.2589,1.2508,1.2585
2005-05-30,1.2536,1.2546,1.2466,1.2476
2005-05-31,1.2476,1.2487,1.2296,1.2303
2005-06-01,1.2308,1.2341,1.2159,1.2179
2005-06-02,1.2205,1.22975,1.2182,1.2266
2005-06-03,1.2275,1.2343,1.2205,1.22345
2005-06-06,1.2227,1.2294,1.222,1.2259
2005-06-07,1.2262,1.2315,1.2239,1.2285
2005-06-08,1.2285,1.23535,1.2206,1.2233
2005-06-09,1.2236,1.2257,1.2176,1.2229
2005-06-10,1.2229,1.2249,1.2108,1.2119
2005-06-13,1.2111,1.2121,1.2029,1.2108
2005-06-14,1.2114,1.21525,1.2023,1.2031
2005-06-15,1.2031,1.2133,1.2017,1.2115
2005-06-16,1.2124,1.2169,1.2057,1.2108
2005-06-17,1.2104,1.2289,1.2092,1.2286
2005-06-20,1.2188,1.224,1.2125,1.2155
2005-06-21,1.2155,1.2187,1.2071,1.2183
2005-06-22,1.2175,1.2206,1.2098,1.2128
2005-06-23,1.213,1.2145,1.2018,1.2039
2005-06-24,1.2031,1.2108,1.1983,1.209
2005-06-27,1.2098,1.21855,1.2096,1.2163
2005-06-28,1.2171,1.21745,1.2051,1.2052
2005-06-29,1.2067,1.21125,1.20155,1.2069
2005-06-30,1.207,1.21205,1.20435,1.2107
2005-07-01,1.2088,1.21055,1.194,1.1959
2005-07-04,1.1932,1.19495,1.1889,1.1901
2005-07-05,1.1898,1.19395,1.18685,1.1911
2005-07-06,1.1919,1.19525,1.18925,1.1933
2005-07-07,1.1934,1.2039,1.1909,1.1952
2005-07-08,1.1952,1.19875,1.1874,1.1966
2005-07-11,1.1968,1.20855,1.1958,1.2072
2005-07-12,1.2074,1.2256,1.2053,1.2242
2005-07-13,1.2239,1.224,1.2072,1.2094
2005-07-14,1.2083,1.21245,1.2057,1.2084
2005-07-15,1.2084,1.21365,1.2022,1.2035
2005-07-18,1.20235,1.20895,1.20235,1.20505
2005-07-19,1.2051,1.2066,1.19535,1.2034
2005-07-20,1.2029,1.2187,1.19965,1.21395
2005-07-21,1.2151,1.22555,1.2099,1.2172
2005-07-22,1.2163,1.21895,1.2055,1.2065
2005-07-25,1.21225,1.21225,1.1995,1.20605
2005-07-26,1.2068,1.207,1.19815,1.2014
2005-07-27,1.2022,1.2085,1.1965,1.2066
2005-07-28,1.2062,1.2149,1.20365,1.2139
2005-07-29,1.2127,1.216,1.20755,1.2122
2005-08-01,1.2125,1.2249,1.2119,1.218
2005-08-02,1.2175,1.22535,1.2173,1.219
2005-08-03,1.2196,1.23445,1.2149,1.2337
2005-08-04,1.2333,1.2402,1.22995,1.2384
2005-08-05,1.2386,1.2396,1.23125,1.2359
2005-08-08,1.2337,1.23895,1.2316,1.2352
2005-08-09,1.2348,1.2416,1.23305,1.2371
2005-08-10,1.2377,1.24265,1.2336,1.2381
2005-08-11,1.239,1.2476,1.2378,1.2471
2005-08-12,1.2469,1.24865,1.2384,1.2442
2005-08-15,1.2456,1.2457,1.23455,1.2368
2005-08-16,1.2367,1.23735,1.2296,1.2364
2005-08-17,1.2354,1.23695,1.2262,1.2271
2005-08-18,1.2275,1.2295,1.21585,1.2175
2005-08-19,1.2175,1.21945,1.21265,1.2153
2005-08-22,1.2166,1.2244,1.2157,1.2229
2005-08-23,1.2225,1.22545,1.2191,1.2236
2005-08-24,1.223,1.22795,1.21615,1.2272
2005-08-25,1.2265,1.23275,1.2257,1.2301
2005-08-26,1.2297,1.23425,1.2272,1.2289
2005-08-29,1.2294,1.2346,1.2217,1.2234
2005-08-30,1.2223,1.2239,1.21715,1.2221
2005-08-31,1.2222,1.2358,1.21895,1.2347
2005-09-01,1.2343,1.2524,1.23275,1.25025
2005-09-02,1.2503,1.25895,1.2467,1.2531
2005-09-05,1.2536,1.2585,1.2514,1.25425
2005-09-06,1.2543,1.2545,1.24435,1.2466
2005-09-07,1.2459,1.25375,1.2407,1.2416
2005-09-08,1.2417,1.24525,1.2383,1.2398
2005-09-09,1.2401,1.24585,1.2376,1.2409
2005-09-12,1.2405,1.2416,1.22715,1.2288
2005-09-13,1.2281,1.23175,1.2246,1.2266
2005-09-14,1.2258,1.2331,1.2258,1.2285
2005-09-15,1.2285,1.2285,1.2194,1.2224
2005-09-16,1.2222,1.23095,1.2201,1.2237
2005-09-19,1.2165,1.2175,1.21005,1.2141
2005-09-20,1.2138,1.21895,1.2111,1.2115
2005-09-21,1.2117,1.224,1.2112,1.2214
2005-09-22,1.2217,1.22695,1.2133,1.2154
2005-09-23,1.2147,1.2169,1.2039,1.2039
2005-09-26,1.20245,1.2081,1.2011,1.2072
2005-09-27,1.2079,1.2083,1.1979,1.2013
2005-09-28,1.201,1.2056,1.19925,1.20365
2005-09-29,1.2044,1.2077,1.2007,1.20315
2005-09-30,1.2035,1.209,1.19975,1.2027
2005-10-03,1.20205,1.2041,1.1902,1.1919
