date,open,high,low,close
2022-01-14,57.02,57.02,56.82,56.82
2022-01-21,58.52,58.52,58.49,58.51
2022-02-10,61.39,61.56,61.39,61.56
2022-02-25,61.56,61.56,61.31,61.31
2022-06-06,71.94,71.94,71.57,71.57
2022-06-16,74.17,74.17,74.0,74.0
2022-06-21,70.89,71.16,70.89,71.16
2022-06-22,68.96,69.71,68.96,69.71
2022-07-05,65.17,65.17,65.17,65.17
2022-09-02,63.74,63.74,63.43,63.43
2022-09-19,61.67,61.67,61.67,61.67
2022-10-20,61.63,61.63,61.63,61.63
2022-10-21,61.53,61.53,61.53,61.53
2022-11-08,64.67,64.67,64.67,64.67
2022-11-18,61.22,61.22,61.22,61.22
2022-12-05,63.97,63.97,63.97,63.97
2022-12-16,59.78,59.78,59.78,59.78
2022-12-23,62.71,62.71,62.71,62.71
2023-01-12,63.64,63.64,63.64,63.64
2023-01-17,64.54,64.54,63.66,63.66
2023-01-19,63.91,63.91,63.91,63.91
2023-01-30,62.23,62.23,62.23,62.23
2023-01-31,62.14,62.14,62.13,62.13
2023-02-02,61.59,61.87,61.59,61.87
2023-02-07,61.98,61.98,61.74,61.74
2023-02-09,62.32,62.32,62.05,62.05
2023-02-14,62.54,63.2,62.54,63.2
2023-02-15,62.25,62.99,61.85,62.99
2023-02-16,62.47,62.94,62.33,62.88
2023-02-17,60.96,61.42,60.57,61.42
2023-02-21,61.02,61.45,61.02,61.28
2023-02-22,60.47,60.54,59.82,60.14
2023-02-23,60.81,61.18,60.6,60.96
2023-02-27,60.94,60.94,60.94,60.94
2023-02-28,61.69,61.7,61.2,61.41
2023-03-01,61.25,62.05,61.17,62.05
2023-03-02,62.04,62.44,61.78,62.38
2023-03-03,61.58,63.49,61.58,63.31
2023-03-06,63.17,64.14,63.17,64.1
2023-03-07,62.4,62.4,61.83,61.83
2023-03-10,61.23,61.23,61.23,61.23
2023-03-14,59.41,59.46,57.4,58.14
2023-03-15,56.27,56.68,55.09,55.09
2023-03-17,54.66,54.66,54.66,54.66
2023-03-27,57.29,58.91,57.29,58.91
2023-03-28,59.48,59.48,59.15,59.15
2023-03-29,59.05,59.05,58.86,58.86
2023-03-31,59.78,60.46,59.78,60.46
2023-04-03,62.66,63.1,62.66,62.73
2023-04-04,62.38,62.77,62.37,62.77
2023-04-05,62.32,62.78,62.32,62.74
2023-04-06,62.63,62.69,62.48,62.6
2023-04-10,62.39,62.39,62.2,62.2
2023-04-11,62.68,63.29,62.67,63.29
2023-04-12,63.95,64.36,63.95,64.31
2023-04-13,64.17,64.41,63.92,63.92
2023-04-14,64.26,64.26,63.95,64.18
2023-04-17,63.48,63.48,63.35,63.35
2023-04-18,63.11,63.86,63.11,63.48
2023-04-19,62.4,62.75,62.3,62.3
2023-04-20,61.15,61.26,60.94,61.05
2023-04-21,61.73,61.83,61.71,61.83
2023-04-24,61.74,62.73,61.74,62.55
2023-04-25,61.31,61.37,60.87,60.93
2023-04-26,60.91,60.92,59.34,59.36
2023-04-27,59.76,59.77,59.42,59.46
2023-04-28,60.13,60.98,60.13,60.96
2023-05-01,60.13,60.19,59.65,60.11
2023-05-02,58.87,58.87,57.39,57.46
2023-05-03,55.74,55.83,55.57,55.67
2023-05-04,55.71,55.71,55.26,55.34
2023-05-05,57.16,57.35,57.16,57.27
2023-05-08,58.45,58.57,58.3,58.57
2023-05-09,58.09,59.11,58.07,59.11
2023-05-10,58.74,58.74,58.43,58.46
2023-05-11,57.19,57.71,57.19,57.19
2023-05-12,57.52,57.52,56.5,56.5
2023-05-15,56.98,57.45,56.98,57.36
2023-05-16,57.27,57.27,57.13,57.19
2023-05-17,58.17,58.86,58.15,58.86
2023-05-18,58.42,58.42,58.25,58.34
2023-05-19,58.09,58.09,57.85,57.85
2023-05-22,57.76,58.08,57.76,58.06
2023-05-23,59.02,59.03,58.67,58.72
2023-05-24,59.68,59.8,59.07,59.79
2023-05-25,58.56,58.56,57.73,58.16
2023-05-26,58.86,58.97,58.67,58.83
2023-05-30,57.08,57.24,56.48,56.79
2023-05-31,56.29,56.45,55.44,55.44
