date,open,high,low,close
2022-11-07,1999.5,1999.5,1999.5,1999.5
2022-11-09,2037.0,2037.0,2033.5,2033.5
2022-11-18,2076.9,2076.9,2076.9,2076.9
2022-11-28,2070.0,2070.0,2070.0,2070.0
2022-11-29,2082.4,2082.4,2082.4,2082.4
2022-12-05,2101.2,2101.2,2094.0,2094.0
2022-12-20,2144.7,2144.7,2141.4,2141.4
2022-12-22,2122.2,2122.2,2107.3,2107.3
2022-12-27,2154.5,2154.5,2140.3,2140.3
2023-01-04,2185.7,2188.2,2182.3,2182.3
2023-01-05,2160.5,2162.7,2151.8,2162.7
2023-01-06,2190.8,2194.9,2190.8,2194.9
2023-01-09,2205.8,2211.3,2204.9,2204.9
2023-01-10,2206.3,2207.6,2206.3,2207.2
2023-01-11,2208.4,2209.2,2208.4,2209.0
2023-01-12,2228.9,2230.7,2228.9,2229.7
2023-01-13,2253.3,2260.0,2253.3,2257.3
2023-01-17,2243.9,2243.9,2243.9,2243.9
2023-01-18,2240.4,2240.4,2240.4,2240.4
2023-01-19,2249.7,2263.4,2249.7,2263.4
2023-01-20,2261.9,2262.3,2261.9,2262.3
2023-01-23,2261.3,2264.2,2261.3,2261.7
2023-01-24,2268.8,2273.6,2268.8,2273.6
2023-01-25,2279.7,2280.6,2279.7,2280.6
2023-01-26,2267.1,2267.1,2266.8,2266.8
2023-01-27,2256.7,2268.6,2256.7,2268.6
2023-01-30,2257.7,2257.7,2257.3,2257.5
2023-02-01,2262.3,2262.3,2262.1,2262.1
2023-02-02,2248.0,2249.1,2248.0,2248.1
2023-02-03,2201.7,2201.7,2187.4,2189.8
2023-02-06,2188.0,2191.4,2188.0,2191.4
2023-02-07,2196.3,2197.5,2196.3,2197.5
2023-02-08,2205.3,2205.6,2205.3,2205.6
2023-02-09,2192.6,2192.6,2192.4,2192.4
2023-02-10,2188.1,2188.1,2187.5,2187.6
2023-02-13,2176.4,2178.7,2175.5,2175.5
2023-02-14,2178.0,2178.4,2177.3,2178.4
2023-02-15,2157.3,2157.3,2156.0,2156.0
2023-02-16,2163.9,2163.9,2162.7,2163.1
2023-02-17,2162.9,2164.1,2161.4,2161.9
2023-02-21,2153.3,2153.3,2152.6,2153.0
2023-02-22,2151.6,2151.6,2151.6,2151.6
2023-02-23,2142.9,2142.9,2136.0,2136.3
2023-02-27,2130.9,2134.5,2130.9,2132.6
2023-02-28,2147.0,2147.0,2147.0,2147.0
2023-03-01,2162.7,2162.7,2158.4,2159.3
2023-03-02,2153.5,2153.7,2153.3,2153.3
2023-03-06,2168.8,2168.9,2168.1,2168.3
2023-03-07,2131.0,2132.9,2130.3,2132.6
2023-03-08,2133.1,2133.1,2131.9,2132.7
2023-03-09,2147.8,2150.7,2147.8,2150.4
2023-03-13,2227.9,2230.3,2227.9,2230.3
2023-03-14,2224.5,2229.7,2222.0,2225.8
2023-03-15,2234.9,2240.0,2234.9,2240.0
2023-03-16,2226.5,2241.1,2225.5,2231.2
2023-03-17,2286.2,2302.7,2286.2,2291.2
2023-03-20,2298.9,2308.4,2290.1,2302.0
2023-03-21,2267.3,2267.3,2259.2,2259.2
2023-03-22,2269.1,2274.7,2268.5,2269.2
2023-03-23,2307.2,2326.2,2307.2,2319.6
2023-03-24,2322.8,2322.8,2305.1,2305.1
2023-03-27,2274.7,2276.3,2273.7,2273.7
2023-03-28,2295.4,2296.4,2293.9,2296.4
2023-03-29,2293.9,2293.9,2286.8,2289.9
2023-03-30,2295.5,2313.0,2295.5,2308.4
2023-03-31,2309.4,2310.1,2295.0,2295.8
2023-04-03,2318.2,2318.2,2312.0,2312.0
2023-04-04,2337.2,2354.2,2337.2,2353.3
2023-04-05,2360.7,2360.7,2348.2,2348.2
2023-04-06,2333.2,2338.6,2333.2,2338.3
2023-04-10,2315.1,2315.1,2314.2,2314.6
2023-04-11,2327.5,2335.4,2327.5,2333.3
2023-04-12,2331.5,2340.5,2331.5,2340.5
2023-04-13,2377.7,2377.7,2374.4,2374.5
2023-04-14,2346.5,2346.5,2326.2,2331.5
2023-04-17,2322.2,2323.2,2312.9,2321.5
2023-04-18,2335.4,2335.6,2335.3,2335.6
2023-04-19,2315.7,2321.6,2315.7,2321.6
2023-04-20,2328.1,2335.3,2328.1,2335.2
2023-04-21,2317.4,2317.4,2295.4,2303.6
2023-04-24,2300.9,2313.6,2300.9,2313.6
2023-04-25,2319.1,2327.8,2318.0,2318.7
2023-04-26,2326.8,2326.8,2306.1,2308.5
2023-04-27,2299.4,2312.1,2294.1,2312.1
2023-04-28,2310.2,2315.6,2305.3,2312.7
2023-05-01,2323.7,2323.7,2306.3,2306.3
2023-05-02,2327.5,2342.5,2327.5,2340.6
2023-05-03,2343.3,2366.3,2341.0,2356.3
2023-05-04,2366.6,2389.2,2366.1,2376.4
2023-05-05,2333.2,2342.8,2322.4,2342.3
2023-05-08,2351.4,2356.9,2347.1,2353.0
2023-05-09,2352.4,2365.2,2351.4,2363.9
2023-05-10,2361.1,2368.5,2349.3,2357.7
2023-05-11,2353.3,2356.5,2336.4,2338.1
2023-05-12,2339.7,2345.4,2331.3,2337.1
2023-05-15,2341.7,2344.9,2339.0,2341.0
2023-05-16,2326.4,2326.4,2304.3,2307.5
2023-05-17,2295.4,2301.6,2292.5,2298.4
2023-05-18,2272.4,2274.9,2265.0,2269.9
2023-05-19,2270.1,2299.6,2270.1,2293.6
2023-05-22,2285.7,2289.0,2284.9,2289.0
2023-05-23,2282.9,2291.5,2282.4,2286.0
2023-05-24,2288.4,2289.2,2272.4,2275.9
2023-05-25,2256.5,2259.3,2249.9,2252.5
2023-05-26,2260.9,2262.8,2248.7,2254.8
2023-05-30,2266.1,2275.3,2265.3,2270.5
2023-05-31,2276.1,2287.7,2272.4,2274.9
2023-06-01,2284.5,2297.4,2282.3,2290.3
2023-06-02,2288.0,2288.1,2259.5,2259.6
2023-06-05,2255.2,2273.4,2255.2,2272.3
2023-06-06,2268.5,2276.4,2264.8,2274.3
2023-06-07,2272.3,2278.7,2248.0,2248.0
2023-06-08,2269.0,2280.4,2269.0,2274.6
2023-06-09,2266.1,2277.3,2266.1,2269.2
2023-06-12,2265.8,2266.5,2256.6,2265.8
2023-06-13,2268.4,2269.5,2245.8,2248.7
2023-06-14,2265.7,2265.9,2244.8,2249.7
2023-06-15,2245.1,2266.5,2244.8,2264.2
2023-06-16,2263.9,2273.0,2260.2,2264.4
2023-06-20,2242.0,2243.0,2232.4,2240.4
2023-06-21,2231.0,2238.7,2219.7,2236.8
2023-06-22,2220.6,2228.3,2211.3,2211.3
2023-06-23,2235.5,2236.4,2216.9,2220.1
2023-06-26,2224.5,2228.8,2222.6,2223.0
2023-06-27,2229.7,2230.8,2208.6,2210.7
2023-06-28,2205.9,2210.9,2199.5,2207.4
2023-06-29,2187.0,2209.5,2187.0,2204.1
2023-06-30,2209.4,2220.0,2206.3,2217.1
2023-07-03,2221.2,2229.5,2219.9,2220.7
2023-07-05,2230.7,2230.7,2212.5,2212.5
2023-07-06,2204.8,2209.3,2197.7,2204.7
2023-07-07,2217.8,2231.3,2217.6,2220.3
2023-07-10,2216.3,2222.1,2215.1,2221.0
2023-07-11,2229.5,2232.2,2226.2,2228.4
2023-07-12,2249.4,2258.5,2249.4,2255.4
2023-07-13,2258.2,2260.5,2253.2,2258.9
2023-07-14,2254.1,2259.4,2248.3,2252.6
2023-07-17,2246.1,2252.7,2242.1,2252.2
2023-07-18,2267.9,2285.1,2262.1,2278.2
2023-07-19,2275.5,2279.8,2269.5,2277.4
2023-07-20,2276.9,2277.7,2264.7,2268.9
2023-07-21,2257.6,2261.3,2252.7,2257.9
2023-07-24,2258.7,2262.1,2249.4,2251.0
2023-07-25,2254.5,2261.9,2247.6,2260.6
2023-07-26,2264.8,2273.7,2261.5,2269.6
2023-07-27,2247.5,2248.7,2234.7,2237.5
2023-07-28,2248.8,2257.2,2246.1,2252.8
2023-07-31,2259.9,2267.5,2259.9,2260.0
2023-08-01,2239.5,2246.5,2231.5,2234.9
2023-08-02,2235.1,2237.4,2221.0,2223.7
2023-08-03,2221.6,2226.2,2219.2,2221.2
2023-08-04,2230.3,2237.5,2225.7,2229.5
2023-08-07,2227.5,2227.7,2217.8,2223.6
2023-08-08,2208.7,2215.9,2207.0,2209.7
2023-08-09,2209.5,2211.4,2196.3,2197.0
2023-08-10,2202.2,2207.3,2193.3,2193.3
2023-08-11,2195.1,2202.2,2193.2,2194.6
2023-08-14,2184.5,2193.7,2182.1,2187.6
2023-08-15,2183.0,2192.4,2178.6,2180.3
2023-08-16,2181.2,2183.2,2168.1,2168.4
2023-08-17,2178.2,2179.3,2159.4,2163.3
2023-08-18,2169.2,2171.6,2161.2,2163.6
2023-08-21,2169.1,2170.2,2158.7,2170.1
2023-08-22,2168.9,2173.6,2163.0,2172.8
2023-08-23,2187.6,2198.5,2185.7,2193.3
2023-08-24,2190.1,2199.1,2188.3,2193.2
2023-08-25,2189.5,2198.9,2178.6,2190.7
2023-08-28,2190.3,2203.6,2189.4,2197.2
2023-08-29,2194.9,2217.4,2193.6,2216.7
2023-08-30,2226.2,2228.8,2222.1,2222.1
2023-08-31,2222.2,2223.4,2216.9,2217.9
2023-09-01,2227.7,2230.6,2211.9,2217.7
2023-09-05,2209.0,2209.0,2200.5,2200.7
2023-09-06,2195.7,2202.5,2188.5,2189.7
2023-09-07,2194.3,2194.9,2189.9,2191.8
2023-09-08,2194.8,2202.7,2189.2,2191.1
2023-09-11,2201.9,2202.5,2193.1,2194.0
2023-09-12,2177.9,2185.4,2177.7,2183.0
2023-09-13,2184.0,2186.0,2177.5,2177.9
2023-09-14,2170.0,2180.7,2167.9,2179.0
2023-09-15,2195.2,2201.8,2192.4,2194.2
2023-09-18,2197.0,2205.2,2192.9,2205.2
2023-09-19,2206.5,2207.6,2200.8,2202.0
2023-09-20,2203.5,2220.0,2199.3,2199.3
2023-09-21,2184.0,2191.7,2181.9,2187.4
2023-09-22,2195.2,2197.5,2192.6,2193.0
2023-09-25,2190.1,2194.0,2180.8,2182.1
2023-09-26,2170.4,2173.9,2162.6,2164.2
2023-09-27,2150.1,2151.6,2132.0,2136.5
2023-09-28,2133.3,2135.2,2114.3,2122.4
2023-09-29,2133.2,2134.1,2100.3,2103.1
2023-10-02,2086.8,2090.3,2078.6,2079.9
2023-10-03,2074.8,2085.5,2069.8,2073.9
2023-10-04,2075.0,2077.0,2066.0,2070.9
2023-10-05,2067.5,2069.8,2061.8,2068.8
2023-10-06,2072.4,2085.1,2064.0,2082.0
2023-10-09,2096.5,2116.9,2095.3,2114.7
2023-10-10,2107.4,2116.0,2105.1,2113.5
2023-10-11,2126.6,2132.4,2121.8,2128.4
2023-10-12,2131.7,2132.3,2121.3,2122.1
2023-10-13,2165.6,2194.2,2164.2,2193.7
2023-10-16,2176.5,2182.6,2173.5,2179.7
2023-10-17,2182.8,2192.3,2178.7,2182.6
2023-10-18,2213.8,2227.5,2199.8,2210.2
2023-10-19,2214.3,2243.8,2212.1,2239.7
2023-10-20,2243.2,2265.2,2239.2,2247.9
2023-10-23,2243.3,2245.0,2234.6,2237.4
2023-10-24,2226.5,2242.3,2222.1,2235.1
2023-10-25,2242.5,2253.3,2225.5,2245.0
2023-10-26,2240.8,2254.7,2234.7,2249.4
2023-10-27,2246.4,2276.9,2242.6,2272.9
2023-10-30,2266.6,2268.4,2257.2,2262.2
2023-10-31,2261.0,2274.7,2241.6,2247.1
2023-11-01,2247.0,2261.7,2231.3,2245.4
2023-11-02,2247.9,2249.3,2240.4,2248.0
2023-11-03,2251.3,2263.9,2250.6,2255.2
2023-11-06,2246.8,2248.0,2238.0,2238.4
2023-11-07,2224.0,2229.2,2218.0,2228.4
2023-11-08,2220.3,2221.1,2203.2,2206.6
2023-11-09,2206.7,2223.3,2206.4,2214.9
2023-11-10,2200.8,2201.4,2184.5,2190.8
2023-11-13,2185.7,2203.0,2182.8,2199.5
2023-11-14,2214.7,2227.3,2214.0,2218.2
2023-11-15,2218.2,2219.7,2209.2,2214.0
2023-11-16,2226.9,2245.0,2226.9,2237.7
2023-11-17,2239.9,2241.8,2234.2,2236.4
2023-11-20,2219.3,2234.2,2218.5,2233.2
2023-11-21,2259.0,2266.1,2253.3,2255.5
2023-11-22,2256.9,2260.3,2242.6,2246.0
2023-11-24,2257.3,2260.5,2253.2,2259.0
2023-11-27,2269.7,2273.0,2262.3,2271.9
2023-11-28,2286.4,2304.3,2281.1,2302.1
2023-11-29,2301.2,2311.7,2299.7,2305.7
2023-11-30,2297.0,2301.2,2289.8,2295.3
2023-12-01,2295.1,2339.5,2293.7,2335.0
2023-12-04,2304.1,2313.9,2275.5,2286.4
2023-12-05,2279.2,2283.2,2263.4,2274.6
2023-12-06,2287.9,2289.6,2277.6,2281.1
2023-12-07,2288.7,2290.2,2273.5,2283.2
2023-12-08,2257.4,2267.6,2244.5,2255.8
2023-12-11,2239.7,2239.9,2222.8,2229.9
2023-12-12,2231.2,2232.6,2224.0,2227.0
