date,open,high,low,close
2022-01-20,4.918,4.9215,4.918,4.9215
2022-03-17,5.1555,5.2135,5.1495,5.1495
2022-03-18,5.1875,5.1985,5.1875,5.195
2022-04-25,4.979,4.979,4.974,4.974
2022-07-18,3.7695,3.7695,3.7695,3.7695
2022-07-21,3.6915,3.6915,3.686,3.686
2022-07-22,3.8085,3.8085,3.8085,3.8085
2022-08-12,4.135,4.135,4.135,4.135
2022-08-23,4.1205,4.1205,4.1205,4.1205
2022-08-24,4.0785,4.0785,4.0785,4.0785
2022-09-02,3.8195,3.8195,3.8195,3.8195
2022-09-23,3.7305,3.7305,3.7305,3.7305
2022-09-26,3.685,3.685,3.685,3.685
2022-10-11,3.7895,3.7895,3.779,3.779
2022-10-21,3.7805,3.7805,3.7805,3.7805
2022-11-01,3.8195,3.8195,3.8195,3.8195
2022-11-07,4.0075,4.0075,4.0075,4.0075
2022-11-10,4.143,4.143,4.143,4.143
2022-11-25,4.036,4.036,4.0185,4.0185
2022-11-29,4.055,4.0555,4.055,4.055
2022-12-05,4.2235,4.2385,4.2235,4.23
2022-12-12,4.2385,4.239,4.2385,4.239
2022-12-15,4.196,4.2005,4.195,4.1995
2022-12-20,4.2445,4.2445,4.2335,4.2335
2022-12-21,4.2435,4.2435,4.2365,4.2365
2022-12-22,4.215,4.215,4.187,4.187
2022-12-28,4.27,4.288,4.27,4.288
2023-01-03,4.2215,4.2215,4.2115,4.2115
2023-01-04,4.1775,4.1845,4.1775,4.1845
2023-01-05,4.2625,4.2625,4.259,4.2605
2023-01-06,4.375,4.3935,4.3555,4.3555
2023-01-09,4.501,4.5025,4.4545,4.4875
2023-01-10,4.544,4.546,4.5425,4.5425
2023-01-19,4.729,4.729,4.729,4.729
2023-01-20,4.732,4.732,4.732,4.732
2023-01-23,4.748,4.748,4.7315,4.7425
2023-01-24,4.7205,4.7675,4.7205,4.7675
2023-01-26,4.734,4.734,4.734,4.734
2023-01-30,4.682,4.682,4.6605,4.6605
2023-01-31,4.7175,4.718,4.7175,4.718
2023-02-01,4.6005,4.6005,4.6005,4.6005
2023-02-02,4.624,4.624,4.568,4.568
2023-02-03,4.533,4.5375,4.533,4.5375
2023-02-06,4.522,4.5335,4.522,4.531
2023-02-07,4.553,4.592,4.553,4.582
2023-02-08,4.5115,4.5285,4.5115,4.5265
2023-02-09,4.575,4.5885,4.543,4.543
2023-02-10,4.5045,4.51,4.501,4.503
2023-02-13,4.5525,4.5575,4.551,4.553
2023-02-14,4.572,4.5885,4.569,4.5715
2023-02-15,4.4885,4.509,4.4885,4.4905
2023-02-16,4.5575,4.606,4.5575,4.5975
2023-02-17,4.535,4.613,4.535,4.5825
2023-02-21,4.669,4.684,4.6655,4.6715
2023-02-22,4.6365,4.6365,4.6265,4.6265
2023-02-23,4.5995,4.5995,4.5165,4.5235
2023-02-24,4.436,4.438,4.4105,4.4275
2023-02-27,4.482,4.482,4.4585,4.472
2023-02-28,4.5605,4.5605,4.55,4.55
2023-03-01,4.6115,4.6415,4.6115,4.6415
2023-03-02,4.5335,4.556,4.5335,4.5485
2023-03-03,4.572,4.572,4.5405,4.55
2023-03-06,4.5415,4.5695,4.5415,4.55
2023-03-07,4.4575,4.49,4.4385,4.44
2023-03-08,4.49,4.497,4.49,4.4955
2023-03-09,4.5115,4.5115,4.464,4.464
2023-03-10,4.5195,4.5195,4.467,4.476
2023-03-13,4.481,4.546,4.481,4.546
2023-03-14,4.5165,4.5175,4.4715,4.4715
2023-03-15,4.3895,4.3895,4.3085,4.345
2023-03-16,4.3005,4.35,4.2935,4.3465
2023-03-17,4.342,4.365,4.342,4.359
2023-03-20,4.398,4.4195,4.3945,4.414
2023-03-21,4.4495,4.475,4.4495,4.475
2023-03-22,4.506,4.5135,4.497,4.5025
2023-03-23,4.5835,4.5835,4.5445,4.5445
2023-03-24,4.5425,4.553,4.54,4.54
2023-03-27,4.5535,4.5715,4.5535,4.5715
2023-03-28,4.5705,4.58,4.5665,4.5665
2023-03-29,4.5635,4.5715,4.557,4.5685
2023-03-30,4.5785,4.5995,4.5785,4.5785
2023-03-31,4.575,4.5835,4.5685,4.5795
2023-04-03,4.5675,4.5675,4.529,4.53
2023-04-04,4.466,4.466,4.4325,4.4475
2023-04-05,4.433,4.4615,4.433,4.457
2023-04-06,4.465,4.49,4.465,4.488
2023-04-10,4.449,4.4525,4.449,4.451
2023-04-11,4.5025,4.51,4.4885,4.4955
2023-04-12,4.5485,4.5535,4.5415,4.5505
2023-04-13,4.5825,4.5925,4.5825,4.59
2023-04-14,4.5815,4.5825,4.572,4.5735
2023-04-17,4.539,4.5475,4.539,4.5435
2023-04-18,4.557,4.5785,4.5545,4.5765
2023-04-19,4.5575,4.56,4.5575,4.56
