date,open,high,low,close
2018-05-08,5.399,5.399,5.391,5.391
2019-04-23,5.251,5.251,5.242,5.242
2019-10-23,4.918,4.918,4.907,4.907
2019-12-02,4.81,4.821,4.81,4.821
2020-01-15,4.751,4.751,4.743,4.743
2020-02-12,4.672,4.672,4.672,4.672
2020-03-12,4.628,4.628,4.565,4.565
2020-04-07,4.535,4.535,4.517,4.517
2020-04-14,4.625,4.625,4.61,4.61
2020-05-15,4.587,4.587,4.587,4.587
2020-08-21,4.733,4.734,4.733,4.734
2020-10-05,4.675,4.675,4.645,4.645
2020-10-23,4.792,4.792,4.79,4.79
2021-01-06,4.72,4.72,4.72,4.72
2021-01-29,4.812,4.812,4.803,4.803
2021-02-05,4.745,4.745,4.731,4.731
2021-03-09,4.792,4.826,4.792,4.826
2021-03-11,4.841,4.841,4.835,4.835
2021-03-23,4.778,4.778,4.776,4.776
2021-03-24,4.785,4.785,4.781,4.781
2021-03-31,4.823,4.824,4.823,4.824
2021-04-14,4.826,4.855,4.826,4.855
2021-04-15,4.855,4.866,4.855,4.866
2021-04-19,4.878,4.878,4.878,4.878
2021-04-29,4.842,4.846,4.842,4.846
2021-04-30,4.846,4.859,4.846,4.859
2021-05-05,4.884,4.884,4.884,4.884
2021-05-20,4.895,4.895,4.889,4.889
2021-06-01,4.936,4.976,4.936,4.976
2021-06-29,5.12,5.12,5.091,5.091
2021-07-02,5.073,5.073,5.058,5.058
2021-07-06,5.094,5.103,5.053,5.053
2021-07-26,5.184,5.199,5.184,5.199
2021-08-02,5.318,5.318,5.309,5.309
2021-08-06,5.384,5.384,5.372,5.372
2021-08-10,5.404,5.404,5.368,5.368
2021-08-11,5.422,5.422,5.395,5.395
2021-08-13,5.413,5.413,5.391,5.391
2021-08-18,5.429,5.429,5.417,5.417
2021-08-19,5.39,5.399,5.39,5.399
2021-08-20,5.417,5.417,5.381,5.381
2021-08-23,5.397,5.404,5.388,5.388
2021-08-26,5.418,5.44,5.418,5.44
2021-08-27,5.449,5.449,5.434,5.434
2021-09-02,5.47,5.47,5.445,5.445
2021-09-15,5.787,5.787,5.721,5.721
2021-09-16,5.753,5.753,5.699,5.699
2021-09-17,5.668,5.672,5.668,5.672
2021-09-24,5.881,5.881,5.881,5.881
