date,open,high,low,close
2023-06-22,1445.5,1445.5,1445.5,1445.5
2023-06-28,1382.0,1416.5,1382.0,1416.5
2023-07-06,1392.0,1392.0,1392.0,1392.0
2023-07-13,1455.0,1455.0,1455.0,1455.0
2023-07-27,1390.0,1401.5,1390.0,1401.5
2023-07-28,1423.0,1423.0,1405.5,1405.5
2023-07-31,1437.5,1444.5,1437.5,1444.5
2023-08-01,1398.5,1401.0,1398.5,1400.5
2023-08-02,1391.5,1403.5,1391.5,1403.5
2023-08-03,1403.0,1422.0,1403.0,1422.0
2023-08-11,1455.0,1473.5,1454.5,1473.5
2023-08-14,1422.0,1435.0,1418.0,1435.0
2023-08-16,1381.5,1381.5,1367.5,1368.0
2023-08-18,1395.5,1416.5,1395.5,1416.5
2023-08-24,1410.5,1410.5,1398.0,1398.0
2023-08-25,1371.0,1380.5,1367.5,1380.5
2023-08-28,1405.5,1420.5,1405.5,1413.0
2023-08-29,1385.0,1415.0,1385.0,1409.5
2023-08-30,1387.5,1387.5,1376.0,1377.5
2023-08-31,1367.5,1367.5,1366.0,1366.0
2023-09-01,1380.0,1380.0,1371.0,1373.5
2023-09-05,1350.5,1372.5,1350.5,1365.0
2023-09-06,1341.0,1364.0,1333.0,1364.0
2023-09-11,1365.0,1365.0,1365.0,1365.0
2023-09-12,1371.5,1382.0,1371.5,1377.5
2023-09-13,1399.5,1408.5,1399.5,1408.5
2023-09-14,1413.0,1415.5,1406.5,1406.5
2023-09-15,1423.0,1423.0,1400.5,1405.0
2023-09-18,1384.0,1396.0,1384.0,1395.5
2023-09-19,1415.5,1416.5,1415.5,1416.5
2023-09-20,1452.0,1452.0,1417.0,1417.0
2023-09-21,1424.5,1424.5,1424.5,1424.5
2023-09-22,1427.5,1428.0,1407.0,1407.5
2023-09-25,1389.0,1389.0,1378.5,1384.0
2023-09-26,1391.0,1391.0,1376.5,1376.5
2023-09-27,1390.0,1390.0,1361.5,1366.5
2023-09-28,1421.0,1435.0,1421.0,1435.0
2023-09-29,1430.0,1430.0,1406.5,1410.0
2023-10-02,1363.5,1363.5,1350.0,1355.0
2023-10-03,1330.5,1339.0,1321.5,1321.5
2023-10-04,1318.0,1318.0,1305.5,1312.0
2023-10-05,1284.0,1292.0,1283.5,1292.0
2023-10-06,1291.5,1314.0,1291.5,1306.0
2023-10-09,1266.0,1275.5,1257.0,1275.5
2023-10-10,1269.5,1319.0,1269.0,1314.0
2023-10-11,1300.5,1311.0,1300.5,1307.5
2023-10-12,1298.5,1298.5,1282.0,1283.5
2023-10-13,1268.0,1290.5,1267.5,1290.5
2023-10-16,1284.0,1292.0,1284.0,1289.5
2023-10-17,1262.0,1286.5,1262.0,1278.5
2023-10-18,1268.0,1273.5,1251.5,1273.5
2023-10-19,1245.5,1255.5,1245.5,1252.0
2023-10-20,1242.5,1252.0,1238.5,1238.5
2023-10-23,1254.0,1279.0,1252.0,1261.5
2023-10-24,1247.5,1261.0,1242.0,1256.5
2023-10-25,1284.5,1284.5,1259.5,1260.5
2023-10-26,1261.0,1285.5,1254.0,1276.0
2023-10-27,1282.0,1282.0,1257.5,1265.5
2023-10-30,1293.5,1299.0,1263.0,1271.0
2023-10-31,1278.0,1279.5,1257.5,1264.0
2023-11-01,1265.5,1284.0,1241.0,1252.0
2023-11-02,1258.0,1262.5,1240.5,1253.0
2023-11-03,1265.5,1266.0,1246.5,1260.5
2023-11-06,1262.5,1262.5,1233.5,1244.5
2023-11-07,1202.0,1205.0,1183.5,1189.0
2023-11-08,1153.0,1191.0,1152.5,1179.5
2023-11-09,1142.0,1144.5,1110.5,1112.5
2023-11-10,1082.0,1105.5,1079.0,1082.0
2023-11-13,1066.5,1104.5,1066.5,1104.5
2023-11-14,1137.0,1156.5,1129.5,1141.5
2023-11-15,1135.0,1177.5,1124.0,1157.0
2023-11-16,1157.0,1177.5,1157.0,1167.0
2023-11-17,1169.0,1187.5,1163.5,1182.0
2023-11-20,1204.5,1222.5,1204.0,1214.5
2023-11-21,1209.0,1223.0,1209.0,1212.0
2023-11-22,1179.5,1190.0,1174.0,1189.5
2023-11-24,1174.0,1210.0,1174.0,1206.5
2023-11-27,1198.5,1217.0,1186.5,1204.5
2023-11-28,1186.5,1200.0,1170.0,1185.0
2023-11-29,1154.0,1163.5,1144.0,1156.0
2023-11-30,1145.0,1156.0,1129.5,1129.5
2023-12-01,1124.0,1133.0,1110.0,1123.5
2023-12-04,1088.5,1098.0,1073.5,1090.5
2023-12-05,1070.5,1078.5,1030.0,1044.5
2023-12-06,1078.0,1089.5,1050.0,1055.5
2023-12-07,1093.0,1100.0,1076.5,1085.0
2023-12-08,1077.0,1083.0,1052.5,1057.0
2023-12-11,1063.0,1083.0,1049.5,1074.5
2023-12-12,1084.5,1099.5,1073.0,1093.5
2023-12-13,1095.0,1124.0,1065.0,1109.0
2023-12-14,1174.5,1249.5,1174.5,1243.0
2023-12-15,1269.0,1341.5,1263.5,1317.5
2023-12-18,1337.5,1363.5,1318.5,1330.5
2023-12-19,1353.0,1397.5,1350.0,1377.0
2023-12-20,1376.0,1377.0,1337.0,1348.0
2023-12-21,1359.0,1372.5,1330.5,1362.5
2023-12-22,1395.0,1401.0,1348.5,1353.5
2023-12-26,1342.0,1358.5,1318.0,1323.5
2023-12-27,1318.0,1338.0,1284.0,1294.0
2023-12-28,1272.0,1285.5,1258.5,1267.0
2023-12-29,1240.5,1247.5,1224.5,1229.5
2024-01-02,1213.5,1227.0,1195.0,1205.0
2024-01-03,1192.0,1199.0,1178.0,1192.0
2024-01-04,1169.5,1177.0,1151.5,1162.0
2024-01-05,1151.5,1174.5,1144.5,1144.5
2024-01-08,1120.0,1126.5,1105.0,1112.5
2024-01-09,1107.0,1108.0,1081.5,1093.0
2024-01-10,1105.0,1120.0,1092.0,1118.5
2024-01-11,1122.5,1124.0,1091.5,1105.5
2024-01-12,1112.0,1118.5,1081.5,1086.5
2024-01-16,1046.0,1054.5,1038.0,1045.5
2024-01-17,1022.5,1032.5,1005.5,1022.0
2024-01-18,1039.0,1053.0,1033.5,1047.0
2024-01-19,1045.0,1058.5,1034.5,1058.5
2024-01-22,1029.5,1054.5,1029.5,1046.0
2024-01-23,1048.5,1073.5,1044.5,1059.5
2024-01-24,1082.5,1086.5,1065.0,1076.5
2024-01-25,1065.5,1068.5,1038.0,1047.5
2024-01-26,1057.0,1075.0,1055.5,1069.5
2024-01-29,1080.0,1102.0,1075.5,1101.5
2024-01-30,1095.0,1096.5,1080.5,1090.5
2024-01-31,1092.5,1112.0,1090.5,1095.0
2024-02-01,1066.5,1094.5,1063.0,1077.0
2024-02-02,1055.0,1063.5,1036.0,1057.5
2024-02-05,1053.0,1069.5,1052.5,1063.0
2024-02-06,1056.5,1073.5,1052.5,1059.0
2024-02-07,1029.5,1039.0,995.5,997.5
2024-02-08,978.0,1010.0,977.0,990.5
2024-02-09,975.0,975.0,955.5,956.5
2024-02-12,990.5,999.5,975.5,998.0
2024-02-13,972.5,973.5,946.5,959.5
2024-02-14,1019.0,1047.5,1019.0,1043.5
2024-02-15,1058.0,1085.5,1052.5,1063.5
2024-02-16,1058.0,1076.5,1050.5,1056.5
2024-02-20,1085.5,1103.0,1069.5,1085.5
2024-02-21,1083.0,1083.0,1032.5,1062.0
2024-02-22,1058.5,1087.5,1055.0,1077.5
2024-02-23,1084.5,1111.5,1082.0,1084.0
2024-02-26,1067.0,1071.5,1049.5,1063.5
2024-02-27,1069.0,1071.5,1038.5,1038.5
