date,open,high,low,close
2023-02-15,1036.6,1036.6,1032.9,1032.9
2023-02-24,1033.7,1033.7,1033.7,1033.7
2023-04-18,1209.4,1211.6,1209.4,1211.6
2023-04-19,1216.0,1222.5,1211.6,1222.5
2023-04-21,1257.4,1257.4,1257.4,1257.4
2023-04-24,1218.1,1218.1,1217.0,1217.0
2023-04-28,1201.9,1201.9,1201.9,1201.9
2023-05-01,1197.7,1197.7,1178.4,1178.4
2023-05-08,1203.8,1203.8,1194.3,1197.9
2023-05-09,1222.5,1229.3,1222.5,1229.3
2023-05-11,1220.3,1220.3,1217.6,1217.6
2023-05-24,1143.8,1143.8,1137.9,1140.2
2023-05-25,1137.0,1138.0,1136.6,1136.6
2023-05-26,1139.4,1139.4,1138.1,1138.1
2023-05-30,1134.7,1136.9,1132.3,1135.7
2023-05-31,1117.4,1117.9,1108.7,1108.7
2023-06-01,1119.7,1123.2,1119.7,1123.2
2023-06-05,1133.2,1148.6,1133.2,1143.6
2023-06-06,1141.9,1144.0,1141.9,1144.0
2023-06-07,1148.1,1148.1,1135.1,1135.4
2023-06-08,1122.3,1124.8,1121.6,1124.7
2023-06-09,1126.3,1126.8,1125.7,1125.7
2023-06-12,1109.6,1109.6,1106.6,1106.6
2023-06-13,1093.5,1093.5,1087.6,1087.8
2023-06-14,1085.8,1085.8,1080.7,1080.7
2023-06-15,1092.1,1094.5,1091.8,1091.8
2023-06-16,1094.8,1095.0,1088.2,1095.0
2023-06-20,1066.5,1072.9,1063.7,1072.9
2023-06-21,1054.5,1055.9,1052.2,1052.9
2023-06-22,1041.2,1041.3,1025.5,1025.5
2023-06-23,1024.5,1027.8,1022.0,1022.0
2023-06-27,1032.2,1032.2,1023.7,1031.5
2023-06-28,1012.4,1023.0,1006.6,1023.0
2023-06-29,999.6,1002.9,996.4,1002.9
2023-06-30,1012.6,1012.9,1012.6,1012.9
2023-07-03,1018.5,1021.6,1017.2,1017.2
2023-07-04,1025.5,1025.5,1025.5,1025.5
2023-07-05,1018.3,1018.3,1016.7,1016.7
2023-07-06,1007.3,1007.5,998.3,1007.5
2023-07-07,1014.1,1023.1,1014.1,1023.1
2023-07-10,1030.9,1036.6,1030.9,1036.4
2023-07-12,1066.3,1066.4,1066.3,1066.4
2023-07-13,1080.6,1089.6,1078.4,1089.6
2023-07-14,1084.2,1086.8,1083.5,1086.8
2023-07-17,1089.7,1091.8,1088.8,1090.6
2023-07-18,1098.0,1106.7,1098.0,1099.7
