date,open,high,low,close
2021-04-09,12.18,12.2,12.16,12.17
2021-04-12,12.27,12.27,12.26,12.26
2021-04-16,12.45,12.53,12.44,12.53
2021-04-20,12.23,12.34,12.18,12.34
2021-04-26,12.61,12.65,12.61,12.65
2021-04-28,12.48,12.62,12.48,12.62
2021-04-29,12.37,12.65,12.37,12.65
2021-05-03,12.8,12.81,12.73,12.81
2021-05-04,12.81,12.81,12.51,12.61
2021-05-10,13.01,13.09,12.98,13.09
2021-05-11,13.09,13.11,13.09,13.11
2021-05-12,12.95,12.95,12.92,12.92
2021-05-13,12.96,13.06,12.92,13.06
2021-05-14,13.02,13.05,12.92,12.92
2021-05-18,13.17,13.28,13.17,13.27
2021-05-19,13.26,13.41,13.26,13.3
2021-05-20,13.29,13.29,13.17,13.24
2021-05-21,13.18,13.18,12.97,13.0
2021-05-24,13.19,13.19,12.97,12.99
2021-05-25,13.14,13.15,13.06,13.14
2021-05-26,13.16,13.16,13.01,13.01
2021-05-28,13.35,13.35,13.08,13.08
2021-06-01,13.35,13.35,13.26,13.26
2021-06-02,13.3,13.31,13.3,13.31
2021-06-03,13.12,13.12,13.1,13.1
2021-06-04,13.3,13.3,13.24,13.24
2021-06-07,13.23,13.25,13.23,13.25
2021-06-08,13.36,13.38,13.36,13.38
2021-06-11,13.43,13.49,13.43,13.49
2021-06-14,13.36,13.36,13.13,13.23
2021-06-15,13.1,13.1,13.08,13.08
2021-06-17,13.1,13.17,13.1,13.1
2021-06-21,13.09,13.43,13.04,13.43
2021-06-22,13.19,13.19,13.11,13.15
2021-06-29,13.58,13.6,13.49,13.49
2021-06-30,13.48,13.57,13.48,13.57
2021-07-01,13.36,13.37,13.35,13.35
2021-07-07,13.27,13.27,13.1,13.12
2021-07-08,13.16,13.16,13.05,13.05
2021-07-09,13.12,13.35,13.12,13.29
2021-07-12,13.19,13.25,13.14,13.16
2021-07-13,13.14,13.25,13.1,13.25
2021-07-14,13.13,13.14,13.12,13.14
2021-07-15,13.18,13.21,13.14,13.16
2021-07-16,13.31,13.4,13.13,13.21
2021-07-19,13.17,13.18,13.14,13.14
2021-07-20,13.17,13.17,13.12,13.17
2021-07-21,13.12,13.19,13.11,13.19
2021-07-23,13.22,13.27,13.2,13.27
2021-07-26,13.18,13.47,13.15,13.47
2021-07-27,13.44,13.44,13.38,13.38
2021-07-28,13.39,13.41,13.3,13.34
2021-07-29,13.37,13.37,13.27,13.35
2021-07-30,13.29,13.36,13.24,13.36
2021-08-02,13.42,13.56,13.42,13.56
2021-08-03,13.44,13.48,13.38,13.48
2021-08-04,13.48,13.58,13.42,13.58
2021-08-05,13.7,13.83,13.66,13.73
2021-08-06,13.66,13.72,13.58,13.72
2021-08-10,13.76,13.78,13.48,13.58
2021-08-11,13.66,13.76,13.59,13.72
2021-08-12,13.79,13.86,13.79,13.86
2021-08-13,13.84,13.95,13.83,13.95
2021-08-16,13.99,14.05,13.95,14.0
2021-08-17,13.91,13.99,13.86,13.99
2021-08-18,13.97,14.04,13.89,13.95
2021-08-19,13.84,13.89,13.84,13.86
2021-08-20,13.79,13.81,13.67,13.71
2021-08-23,13.72,14.0,13.71,14.0
2021-08-24,14.05,14.13,13.95,14.13
2021-08-25,14.18,14.29,14.17,14.23
2021-08-26,14.17,14.34,14.16,14.29
2021-08-27,14.29,14.34,14.24,14.34
2021-08-30,14.43,14.46,14.43,14.44
2021-08-31,14.57,14.57,14.55,14.56
2021-09-01,14.56,14.65,14.49,14.61
2021-09-02,14.61,14.87,14.55,14.87
2021-09-03,14.72,14.79,14.64,14.79
2021-09-07,14.67,14.84,14.67,14.84
2021-09-08,14.82,14.86,14.64,14.72
