date,open,high,low,close
2022-12-14,28.94,28.94,28.66,28.66
2023-01-03,28.665,28.8,28.66,28.8
2023-01-04,28.855,28.855,28.48,28.48
2023-01-06,28.455,28.51,28.455,28.51
2023-01-13,28.96,28.96,28.91,28.91
2023-01-18,28.665,28.665,28.665,28.665
2023-01-19,28.255,28.255,28.255,28.255
2023-01-25,28.29,28.29,28.29,28.29
2023-02-02,28.51,28.51,28.51,28.51
2023-02-06,26.555,26.555,26.555,26.555
2023-02-07,26.645,26.66,26.535,26.535
2023-02-08,26.81,26.875,26.705,26.705
2023-02-09,26.545,26.555,26.51,26.535
2023-02-10,26.46,26.465,26.43,26.43
2023-02-13,26.195,26.22,26.195,26.195
2023-02-16,25.94,25.95,25.935,25.935
2023-02-17,25.925,25.955,25.89,25.89
2023-02-21,26.055,26.055,26.03,26.03
2023-02-22,25.925,25.925,25.78,25.78
2023-02-23,25.735,25.735,25.355,25.365
2023-02-24,24.96,24.96,24.7,24.775
2023-02-27,24.6,24.6,24.47,24.47
2023-03-01,24.94,24.94,24.94,24.94
2023-03-02,24.7,24.7,24.685,24.685
2023-03-03,24.845,25.195,24.845,25.195
2023-03-06,24.965,24.965,24.96,24.965
2023-03-07,24.475,24.475,23.855,23.855
2023-03-08,24.0,24.0,23.85,23.855
2023-03-09,23.875,23.88,23.875,23.88
2023-03-10,24.24,24.255,24.23,24.255
2023-03-13,25.69,25.7,25.68,25.68
2023-03-16,25.445,25.45,25.415,25.425
2023-03-17,26.31,26.31,26.31,26.31
2023-03-20,26.55,26.615,26.52,26.615
2023-03-21,26.29,26.415,26.29,26.375
2023-03-22,26.745,27.18,26.745,27.18
2023-03-23,27.22,27.22,27.22,27.22
2023-03-24,27.425,27.425,27.355,27.37
2023-03-27,27.19,27.19,27.185,27.185
2023-03-28,27.435,27.435,27.435,27.435
2023-03-29,27.515,27.515,27.495,27.495
2023-03-30,27.755,28.26,27.755,28.195
2023-03-31,28.455,28.455,28.42,28.42
2023-04-03,28.285,28.39,28.27,28.27
2023-04-04,29.455,29.56,29.455,29.525
2023-04-05,29.39,29.57,29.385,29.49
2023-04-10,29.36,29.385,29.335,29.385
2023-04-11,29.615,29.775,29.615,29.715
2023-04-12,29.975,30.015,29.94,29.995
2023-04-13,30.46,30.57,30.46,30.57
2023-04-14,29.915,30.08,29.91,30.05
2023-04-18,29.82,29.83,29.8,29.83
2023-04-24,29.815,29.905,29.795,29.905
