date,open,high,low,close
2021-12-17,654.5,655.75,654.5,655.75
2021-12-22,657.75,658.75,657.75,658.25
2022-01-07,673.75,686.5,673.5,686.5
2022-01-10,690.0,693.75,688.5,693.75
2022-01-11,690.75,694.0,690.5,692.75
2022-01-12,691.0,701.5,686.75,701.5
2022-01-13,700.5,705.75,700.5,703.75
2022-01-14,695.25,695.5,695.25,695.5
2022-01-18,695.0,695.0,693.25,693.25
2022-01-20,702.5,702.5,702.5,702.5
2022-01-24,698.5,706.25,698.5,706.25
2022-01-25,711.75,717.0,711.75,717.0
2022-01-26,714.75,715.75,714.75,715.75
2022-01-27,714.5,714.5,710.25,710.75
2022-01-28,711.5,713.5,711.5,713.5
2022-02-02,715.25,717.25,715.25,717.25
2022-02-03,711.75,711.75,710.25,711.75
2022-02-04,711.5,713.5,711.5,713.5
2022-02-07,717.25,720.25,717.0,720.25
2022-02-08,719.5,720.75,719.5,720.75
2022-02-09,719.5,732.5,719.5,732.5
2022-02-10,735.25,737.5,726.5,726.5
2022-02-11,721.5,732.0,721.5,732.0
2022-02-15,726.75,729.5,726.75,729.5
2022-02-16,733.5,733.5,729.5,731.5
2022-02-17,734.75,736.5,734.75,734.75
2022-02-18,733.75,735.5,733.75,735.5
2022-02-22,735.5,744.75,735.5,744.75
2022-02-23,744.5,747.5,743.25,747.5
2022-02-24,750.75,783.5,739.75,739.75
2022-02-25,734.75,734.75,713.0,713.0
2022-03-01,752.0,759.75,750.75,752.25
2022-03-02,743.25,743.5,741.25,742.0
2022-03-03,741.5,741.5,726.75,726.75
2022-03-04,744.0,753.5,737.0,737.0
2022-03-07,736.5,749.75,736.5,749.75
2022-03-08,752.25,752.25,749.5,749.5
2022-03-09,745.5,751.25,745.5,751.25
2022-03-10,754.0,760.0,754.0,760.0
2022-03-11,757.75,762.25,757.5,762.25
2022-03-14,759.5,759.75,758.75,759.75
2022-03-15,755.25,756.75,755.25,756.75
2022-03-16,744.0,744.0,738.75,738.75
2022-03-21,765.0,766.25,765.0,766.25
2022-03-22,768.5,773.0,768.25,773.0
2022-03-23,774.0,778.5,774.0,777.0
2022-03-24,775.75,779.0,774.75,779.0
2022-03-25,779.25,781.5,778.0,781.5
2022-03-28,778.5,784.0,776.5,784.0
2022-03-29,783.75,797.0,774.75,789.25
2022-03-30,794.5,809.0,793.75,796.5
2022-03-31,799.0,812.25,798.25,798.75
2022-04-01,807.5,811.25,806.0,806.0
2022-04-04,816.75,816.75,814.75,815.75
2022-04-05,819.5,823.25,819.5,820.75
2022-04-06,820.75,823.5,820.75,823.5
2022-04-07,823.25,836.25,823.25,835.5
2022-04-08,835.5,842.75,834.25,841.5
2022-04-11,842.75,849.25,842.5,846.0
2022-04-12,849.25,856.75,849.0,856.75
2022-04-13,855.75,864.5,854.75,864.5
2022-04-14,862.75,865.75,862.25,865.75
2022-04-18,868.75,875.5,868.75,875.25
2022-04-19,875.25,886.5,874.25,882.25
2022-04-20,881.25,882.25,874.5,882.25
2022-04-21,879.25,879.25,869.0,870.0
2022-04-22,861.5,865.0,854.75,857.75
2022-04-25,857.0,881.75,854.0,875.75
2022-04-26,884.25,885.75,878.75,883.0
2022-04-27,882.25,884.5,880.0,883.5
2022-04-28,884.25,884.25,881.75,882.5
2022-04-29,882.5,886.75,881.25,881.25
2022-05-02,873.5,874.75,864.75,872.25
2022-05-03,873.25,875.25,858.25,863.75
2022-05-04,861.75,869.75,857.75,863.75
2022-05-05,866.0,866.5,857.25,866.5
2022-05-06,857.75,858.0,845.25,847.25
2022-05-09,845.25,845.25,824.25,834.25
2022-05-10,831.0,838.5,828.5,838.5
2022-05-11,842.75,846.25,838.0,845.75
2022-05-12,844.75,859.25,840.25,857.25
2022-05-13,857.25,857.25,839.25,844.25
2022-05-16,850.75,856.25,843.0,855.75
2022-05-17,855.75,865.75,853.0,858.25
2022-05-18,850.25,850.25,841.75,844.25
2022-05-19,850.0,853.75,842.0,847.5
2022-05-20,844.25,846.25,840.5,845.75
2022-05-23,853.0,857.0,844.0,846.25
2022-05-24,840.75,846.25,836.25,843.0
2022-05-25,836.25,836.25,825.25,833.75
2022-05-26,824.0,840.5,816.75,834.75
2022-05-27,835.0,840.75,834.75,840.5
2022-05-31,840.5,840.5,827.5,831.0
2022-06-01,831.75,831.75,807.0,814.25
2022-06-02,815.5,818.0,815.5,817.5
2022-06-03,814.75,823.5,814.75,820.0
2022-06-06,826.25,826.5,815.25,823.25
2022-06-07,817.5,852.5,817.25,849.25
