date,open,high,low,close
2023-07-27,113.46875,113.546875,113.359375,113.546875
2023-07-31,114.375,114.375,113.9375,113.9375
2023-08-09,114.109375,114.109375,113.90625,113.90625
2023-08-14,112.65625,112.65625,112.375,112.453125
2023-09-01,112.71875,112.84375,112.53125,112.53125
2023-09-07,111.671875,111.671875,111.671875,111.671875
2023-09-08,111.96875,111.96875,111.96875,111.96875
2023-09-13,111.734375,111.90625,111.4375,111.90625
2023-09-14,111.90625,111.90625,111.65625,111.65625
2023-09-15,111.046875,111.453125,111.046875,111.453125
2023-09-18,111.25,111.25,111.25,111.25
2023-09-19,111.015625,111.015625,110.875,110.875
2023-09-20,111.15625,111.265625,110.796875,110.796875
2023-09-21,110.140625,110.265625,110.078125,110.078125
2023-09-22,110.46875,110.578125,110.453125,110.453125
2023-09-25,110.15625,110.15625,109.953125,109.984375
2023-09-26,110.09375,110.140625,109.859375,109.953125
2023-09-27,109.953125,109.953125,109.25,109.421875
2023-09-28,109.296875,109.71875,109.125,109.703125
2023-09-29,110.15625,110.15625,109.671875,109.703125
2023-10-02,109.359375,109.375,108.9375,109.046875
2023-10-03,108.96875,109.0,108.265625,108.328125
2023-10-04,108.625,108.8125,108.40625,108.796875
2023-10-05,108.9375,108.984375,108.8125,108.9375
2023-10-06,108.21875,108.65625,108.140625,108.421875
2023-10-09,109.15625,109.609375,109.15625,109.578125
2023-10-10,109.171875,109.5625,109.046875,109.34375
2023-10-11,109.640625,109.84375,109.5,109.84375
2023-10-12,109.578125,109.578125,108.84375,108.96875
2023-10-13,109.546875,109.546875,109.296875,109.453125
2023-10-16,108.90625,108.96875,108.796875,108.875
2023-10-17,108.078125,108.15625,107.765625,107.875
2023-10-18,107.8125,107.84375,107.375,107.4375
2023-10-19,107.28125,107.5,106.953125,107.0625
2023-10-20,107.4375,107.734375,107.4375,107.671875
2023-10-23,107.34375,108.078125,107.3125,108.0
2023-10-24,107.96875,108.0625,107.71875,108.0625
2023-10-25,107.671875,107.71875,107.265625,107.265625
2023-10-26,107.484375,108.0,107.484375,107.921875
2023-10-27,107.96875,108.109375,107.765625,108.03125
2023-10-30,107.671875,107.921875,107.546875,107.71875
2023-10-31,107.78125,107.96875,107.484375,107.484375
2023-11-01,107.890625,108.8125,107.890625,108.78125
2023-11-02,109.28125,109.375,108.921875,109.125
2023-11-03,110.265625,110.421875,109.8125,109.984375
2023-11-06,109.546875,109.5625,109.25,109.375
2023-11-07,109.609375,110.0,109.578125,109.84375
2023-11-08,109.78125,110.15625,109.78125,110.140625
2023-11-09,109.90625,109.90625,109.078125,109.203125
2023-11-10,109.5,109.5,108.9375,108.9375
2023-11-13,108.796875,109.140625,108.671875,109.0625
2023-11-14,110.5,110.640625,110.34375,110.5
2023-11-15,110.09375,110.109375,109.75,109.953125
2023-11-16,110.375,110.625,110.3125,110.59375
2023-11-17,110.515625,110.578125,110.296875,110.484375
2023-11-20,110.28125,110.640625,110.234375,110.53125
2023-11-21,110.671875,110.8125,110.453125,110.765625
2023-11-22,110.734375,110.8125,110.328125,110.59375
2023-11-24,110.171875,110.25,110.09375,110.1875
2023-11-27,110.390625,110.75,110.3125,110.703125
2023-11-28,110.65625,111.3125,110.578125,111.296875
2023-11-29,111.578125,111.828125,111.40625,111.71875
2023-11-30,111.3125,111.34375,111.015625,111.28125
2023-12-01,111.15625,112.21875,111.140625,112.203125
2023-12-04,111.671875,111.90625,111.453125,111.71875
2023-12-05,111.953125,112.328125,111.890625,112.28125
2023-12-06,112.375,112.625,112.21875,112.609375
2023-12-07,112.296875,112.640625,112.25,112.328125
2023-12-08,111.78125,111.90625,111.5,111.71875
2023-12-11,111.484375,111.75,111.328125,111.6875
2023-12-12,111.6875,111.96875,111.578125,111.90625
2023-12-13,112.140625,113.46875,112.0625,113.390625
2023-12-14,113.765625,114.25,113.75,113.921875
2023-12-15,113.8125,114.046875,113.71875,113.890625
2023-12-18,113.75,113.78125,113.546875,113.765625
2023-12-19,113.78125,113.984375,113.71875,113.765625
2023-12-20,114.03125,114.359375,113.828125,114.328125
2023-12-21,114.453125,114.515625,113.953125,114.109375
2023-12-22,114.25,114.265625,113.875,114.09375
