date,open,high,low,close
2021-09-23,911.75,933.75,911.75,933.75
2021-09-27,931.75,931.75,931.0,931.0
2021-09-29,923.75,924.75,920.75,920.75
2021-10-01,936.5,958.25,936.5,958.25
2021-10-06,958.25,958.25,958.0,958.0
2021-10-07,963.75,969.0,963.75,969.0
2021-10-27,973.0,988.25,973.0,988.25
2021-11-11,1011.5,1016.5,1011.5,1016.5
2021-11-19,1011.5,1018.25,1009.0,1018.25
2021-11-23,1031.5,1032.25,1031.5,1032.25
2021-11-29,1025.0,1025.0,999.25,999.25
2021-11-30,978.25,978.25,966.0,966.0
2021-12-08,985.0,985.5,985.0,985.5
2021-12-15,964.25,964.25,955.75,955.75
2022-01-07,956.75,971.0,956.75,971.0
2022-01-24,1008.0,1020.25,1008.0,1020.25
2022-01-25,1031.5,1032.0,1031.5,1032.0
2022-01-31,991.5,991.5,984.0,984.0
2022-02-10,1031.5,1031.5,1005.0,1010.5
2022-02-11,1031.5,1031.5,1030.5,1030.5
2022-02-17,1011.5,1032.5,1011.5,1032.5
2022-02-18,1027.5,1031.25,1027.5,1031.25
2022-02-22,1061.5,1064.75,1061.5,1064.75
2022-02-23,1064.75,1094.0,1064.75,1091.0
2022-02-24,1138.25,1138.25,1068.25,1068.25
2022-02-25,1031.5,1031.5,1013.5,1013.5
2022-02-28,1071.5,1072.5,1038.25,1067.75
2022-03-01,1038.25,1046.25,1036.75,1046.25
2022-03-02,979.75,1005.0,978.25,1005.0
2022-03-03,1031.5,1036.75,1005.0,1036.75
2022-03-04,1071.5,1071.5,1023.0,1023.0
2022-03-07,1072.25,1078.75,1038.25,1046.75
2022-03-08,1047.5,1047.5,1023.25,1023.25
2022-03-10,1015.5,1018.0,1015.5,1018.0
2022-03-11,1029.25,1040.25,1028.25,1040.25
2022-03-21,1071.5,1109.0,1071.5,1109.0
2022-03-22,1112.0,1135.25,1112.0,1135.25
2022-03-23,1128.75,1131.25,1122.0,1123.75
2022-03-24,1108.75,1120.75,1108.75,1120.75
2022-03-25,1120.75,1138.0,1120.75,1138.0
2022-03-28,1130.0,1146.75,1130.0,1146.75
2022-03-29,1098.0,1135.25,1077.5,1124.5
2022-03-30,1146.0,1146.0,1131.25,1131.25
2022-04-01,1122.0,1122.0,1116.75,1119.75
2022-04-05,1150.0,1171.25,1150.0,1171.25
2022-04-07,1184.5,1187.25,1166.25,1166.25
2022-04-08,1179.25,1198.0,1179.25,1196.5
2022-04-11,1198.0,1228.5,1198.0,1228.5
2022-04-12,1237.25,1238.5,1235.25,1238.5
2022-04-13,1251.25,1270.75,1230.25,1270.75
2022-04-14,1280.5,1300.75,1274.0,1300.75
2022-04-18,1301.5,1338.75,1297.5,1338.75
2022-04-19,1323.0,1353.25,1323.0,1353.25
2022-04-20,1344.0,1368.75,1344.0,1368.75
2022-04-21,1356.25,1356.25,1341.25,1349.75
2022-04-22,1347.25,1347.25,1321.5,1340.25
2022-04-26,1336.0,1345.0,1336.0,1345.0
2022-04-27,1344.25,1350.75,1328.75,1345.75
2022-04-28,1336.25,1347.25,1336.25,1347.25
2022-05-02,1305.0,1321.5,1305.0,1321.5
2022-05-03,1316.5,1316.5,1315.5,1315.5
2022-05-04,1337.75,1337.75,1337.25,1337.25
2022-05-09,1351.75,1351.75,1344.75,1344.75
2022-05-12,1357.75,1431.25,1357.75,1431.25
2022-05-13,1439.25,1439.25,1406.25,1406.25
2022-05-19,1436.25,1436.25,1411.0,1414.5
2022-05-20,1398.0,1398.0,1396.5,1396.5
2022-05-23,1419.25,1423.75,1419.25,1423.75
2022-05-25,1398.5,1398.5,1379.5,1379.5
2022-05-26,1366.0,1389.25,1366.0,1389.25
2022-05-27,1406.5,1411.5,1406.5,1411.5
2022-05-31,1357.75,1357.75,1352.75,1352.75
2022-06-01,1347.0,1347.0,1297.0,1305.0
2022-06-02,1317.75,1341.0,1317.75,1341.0
2022-06-08,1415.0,1420.25,1406.0,1419.25
2022-06-10,1396.5,1405.0,1396.5,1405.0
