<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.06.19	3887.0	3935.0	3871.0	3893.0	123	0	0
2009.06.22	3896.0	3934.0	3878.0	3919.0	90	0	0
2009.06.23	3914.0	3916.0	3787.0	3797.0	142	0	0
2009.06.24	3801.0	3821.0	3752.0	3798.0	136	0	0
2009.06.25	3800.0	3864.0	3791.0	3860.0	87	0	0
2009.06.26	3850.0	3921.0	3818.0	3909.0	148	0	0
2009.06.29	3915.0	3932.0	3876.0	3882.0	80	0	0
2009.06.30	3881.0	3959.0	3879.0	3931.0	111	0	0
2009.07.01	3927.0	3936.0	3858.0	3891.0	121	0	0
2009.07.02	3900.0	3928.0	3872.0	3891.0	104	0	0
2009.07.03	3881.0	3887.0	3792.0	3811.0	121	0	0
2009.07.06	3810.0	3812.0	3765.0	3779.0	64	0	0
2009.07.07	3769.0	3786.0	3743.0	3774.0	82	0	0
2009.07.08	3767.0	3790.0	3695.0	3755.0	179	0	0
2009.07.09	3770.0	3780.0	3714.0	3765.0	128	0	0
2009.07.10	3760.0	3793.0	3753.0	3781.0	60	0	0
2009.07.13	3780.0	3787.0	3722.0	3733.0	84	0	0
2009.07.14	3722.0	3878.0	3722.0	3877.0	158	0	0
2009.07.15	3868.0	3933.0	3863.0	3918.0	91	0	0
2009.07.16	3921.0	4021.0	3921.0	4005.0	117	0	0
2009.07.17	4000.0	4057.0	3988.0	4012.0	127	0	0
2009.07.20	4015.0	4065.0	3993.0	4038.0	122	0	0
2009.07.21	4039.0	4084.0	4035.0	4059.0	79	0	0
2009.07.22	4050.0	4096.0	4037.0	4067.0	102	0	0
2009.07.23	4062.0	4072.0	4031.0	4065.0	80	0	0
2009.07.24	4073.0	4150.0	4060.0	4095.0	159	0	0
2009.07.27	4097.0	4154.0	4095.0	4143.0	73	0	0
2009.07.28	4144.0	4175.0	4125.0	4170.0	75	0	0
2009.07.29	4174.0	4181.0	4117.0	4127.0	82	0	0
