<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.17	94.340	95.400	92.760	92.850	109241	0	0
2008.01.18	92.870	95.030	92.780	93.910	98086	0	0
2008.01.20	94.060	94.260	94.040	94.140	2317	0	0
2008.01.21	94.190	94.200	90.490	90.550	85287	0	0
2008.01.22	90.560	93.500	90.100	93.380	122430	0	0
2008.01.23	93.390	93.650	90.400	93.120	118979	0	0
2008.01.24	93.130	94.660	92.230	94.550	89803	0	0
2008.01.25	94.570	95.390	93.620	93.840	83148	0	0
2008.01.27	93.970	94.090	93.800	93.970	1707	0	0
2008.01.28	93.980	95.230	93.020	95.020	72472	0	0
2008.01.29	95.030	95.310	94.320	95.100	74863	0	0
2008.01.30	95.080	96.480	93.610	93.970	86388	0	0
2008.01.31	93.980	95.870	93.820	95.130	101310	0	0
2008.02.01	95.110	96.460	95.050	96.260	79977	0	0
2008.02.03	96.250	96.360	96.110	96.200	1977	0	0
2008.02.04	96.210	97.190	96.170	96.830	57429	0	0
2008.02.05	96.820	97.480	95.220	95.420	82688	0	0
2008.02.06	95.410	96.010	94.660	94.900	82145	0	0
2008.02.07	94.890	96.560	94.140	95.990	88001	0	0
2008.02.08	95.980	96.620	95.610	96.050	66346	0	0
2008.02.10	96.400	96.420	96.140	96.350	1934	0	0
2008.02.11	96.380	96.960	95.950	96.550	66725	0	0
2008.02.12	96.560	97.490	96.460	96.960	58610	0	0
2008.02.13	96.970	97.180	96.060	97.070	71913	0	0
2008.02.14	97.090	98.130	96.960	97.200	70614	0	0
2008.02.15	97.190	98.340	97.070	97.980	61477	0	0
2008.02.17	97.850	98.050	97.750	97.980	2077	0	0
2008.02.18	97.990	99.140	97.960	99.130	49214	0	0
2008.02.19	99.110	99.550	98.570	99.410	70669	0	0
2008.02.20	99.400	99.420	98.200	99.320	83501	0	0
2008.02.21	99.340	99.520	98.390	98.730	68950	0	0
2008.02.22	98.720	99.130	98.070	99.000	68439	0	0
2008.02.24	99.010	99.070	98.900	98.980	1346	0	0
2008.02.25	98.970	100.320	98.900	100.220	34974	0	0
2008.02.26	100.230	100.430	99.720	100.250	65337	0	0
2008.02.27	100.260	100.400	99.540	100.180	75790	0	0
2008.02.28	100.190	100.490	99.000	99.160	80912	0	0
2008.02.29	99.150	99.280	96.460	96.530	88050	0	0
2008.03.02	95.960	96.320	95.880	96.000	4320	0	0
2008.03.03	96.030	97.550	95.480	97.220	64689	0	0
2008.03.04	97.210	97.240	94.650	95.770	94013	0	0
2008.03.05	95.780	97.360	95.550	97.070	81334	0	0
2008.03.06	97.050	97.260	94.800	95.310	79907	0	0
2008.03.07	95.300	96.060	94.610	95.110	76655	0	0
2008.03.09	94.680	95.150	94.670	95.060	3008	0	0
2008.03.10	95.070	95.240	92.790	92.890	75662	0	0
2008.03.11	92.900	96.270	92.810	95.840	81626	0	0
2008.03.12	95.810	96.140	94.270	94.950	79709	0	0
2008.03.13	94.970	95.630	93.290	95.170	111713	0	0
2008.03.14	95.200	95.350	92.710	92.820	88867	0	0
2008.03.16	92.870	93.500	92.500	92.620	10570	0	0
2008.03.17	92.610	92.610	88.130	89.280	150289	0	0
2008.03.18	89.290	93.600	88.810	92.820	125806	0	0
2008.03.19	92.810	93.140	89.830	90.090	106752	0	0
2008.03.20	90.110	90.930	88.160	89.420	74237	0	0
2008.03.21	89.490	89.980	89.380	89.800	31950	0	0
2008.03.23	89.480	89.690	89.470	89.640	1144	0	0
2008.03.24	89.630	91.710	89.570	91.640	48007	0	0
2008.03.25	91.630	92.010	90.720	91.680	74179	0	0
2008.03.26	91.670	91.810	90.700	91.150	77295	0	0
2008.03.27	91.160	92.450	90.500	91.610	86913	0	0
2008.03.28	91.620	92.560	90.860	91.020	72343	0	0
2008.03.30	90.590	90.740	90.420	90.620	3230	0	0
2008.03.31	90.630	91.700	90.420	91.190	73650	0	0
2008.04.01	91.210	92.480	90.530	92.200	74252	0	0
2008.04.02	92.210	93.940	92.110	93.510	76131	0	0
2008.04.03	93.500	94.400	92.850	93.640	74233	0	0
2008.04.04	93.670	94.310	93.120	93.610	75299	0	0
2008.04.06	93.670	93.750	93.490	93.750	2267	0	0
2008.04.07	93.720	95.320	93.540	94.740	65166	0	0
2008.04.08	94.750	95.720	94.170	95.690	71780	0	0
2008.04.09	95.680	95.770	94.280	94.610	69373	0	0
2008.04.10	94.620	95.150	93.330	95.120	87342	0	0
2008.04.11	95.110	95.380	93.490	93.700	77698	0	0
2008.04.13	93.690	93.850	93.550	93.680	2740	0	0
2008.04.14	93.700	93.750	92.690	93.650	83583	0	0
2008.04.15	93.660	94.480	93.230	94.220	73796	0	0
2008.04.16	94.210	95.740	93.950	95.620	70928	0	0
2008.04.17	95.630	96.250	95.280	96.030	76393	0	0
2008.04.18	96.020	97.420	95.830	96.890	78554	0	0
2008.04.20	96.860	97.130	96.810	97.100	1997	0	0
2008.04.21	97.090	97.960	96.870	97.420	68008	0	0
2008.04.22	97.430	97.700	96.810	97.260	75328	0	0
2008.04.23	97.270	98.400	97.240	97.960	75236	0	0
2008.04.24	97.970	98.340	97.540	97.770	76997	0	0
2008.04.25	97.760	98.230	96.990	97.430	74445	0	0
2008.04.27	97.540	97.560	97.450	97.500	1105	0	0
2008.04.28	97.490	98.190	97.490	97.790	55429	0	0
2008.04.29	97.780	97.790	96.130	96.980	66200	0	0
2008.04.30	96.990	98.760	96.770	97.990	78068	0	0
2008.05.01	98.000	98.040	96.750	97.400	71677	0	0
2008.05.02	97.410	98.750	97.140	98.450	72273	0	0
2008.05.04	98.360	98.480	98.310	98.350	2014	0	0
2008.05.05	98.360	99.670	98.360	99.210	50512	0	0
2008.05.06	99.220	99.620	98.450	99.430	66366	0	0
2008.05.07	99.440	99.820	98.400	98.480	66846	0	0
2008.05.08	98.490	98.760	97.310	98.000	85019	0	0
2008.05.09	98.010	98.170	96.280	97.050	69690	0	0
2008.05.11	96.950	97.060	96.600	96.600	2638	0	0
2008.05.12	96.610	98.430	96.380	98.170	65688	0	0
2008.05.13	98.160	98.740	97.430	98.470	73146	0	0
2008.05.14	98.450	98.830	97.770	97.770	69456	0	0
2008.05.15	97.780	98.670	97.580	98.500	75453	0	0
2008.05.16	98.490	99.780	98.290	99.430	73829	0	0
2008.05.18	99.380	99.400	99.250	99.320	1618	0	0
2008.05.19	99.340	99.780	99.000	99.500	50803	0	0
2008.05.20	99.510	100.030	99.110	99.170	71197	0	0
2008.05.21	99.160	99.820	98.870	99.100	71757	0	0
2008.05.22	99.110	99.760	98.910	99.560	67374	0	0
2008.05.23	99.550	99.890	99.020	99.130	55302	0	0
2008.05.25	99.090	99.130	99.030	99.090	1350	0	0
2008.05.26	99.070	99.440	98.910	99.280	32725	0	0
2008.05.27	99.290	100.220	99.270	99.870	56306	0	0
2008.05.28	99.860	100.830	99.530	100.680	63802	0	0
2008.05.29	100.690	101.050	100.420	100.840	68284	0	0
2008.05.30	100.850	101.030	100.460	100.840	59477	0	0
2008.06.01	100.490	100.650	100.440	100.610	2018	0	0
2008.06.02	100.600	100.740	99.250	99.680	67228	0	0
2008.06.03	99.670	100.510	99.260	100.000	73205	0	0
2008.06.04	99.990	101.140	99.600	100.650	78989	0	0
2008.06.05	100.660	101.600	100.550	101.530	69233	0	0
2008.06.06	101.520	102.000	100.970	100.980	67235	0	0
2008.06.08	100.530	100.750	100.450	100.660	2599	0	0
2008.06.09	100.650	101.780	100.550	101.120	73203	0	0
2008.06.10	101.110	101.800	100.870	101.520	77983	0	0
2008.06.11	101.530	102.000	100.950	101.280	66357	0	0
2008.06.12	101.270	101.360	100.510	101.020	76762	0	0
2008.06.13	101.030	101.690	100.900	101.550	63952	0	0
2008.06.15	101.470	101.630	101.470	101.580	2119	0	0
2008.06.16	101.570	101.880	101.470	101.800	56685	0	0
2008.06.17	101.790	102.080	101.300	101.930	64747	0	0
2008.06.18	101.940	102.190	101.630	101.990	53360	0	0
2008.06.19	102.000	102.760	101.720	102.450	56765	0	0
2008.06.20	102.460	102.790	102.110	102.300	56541	0	0
2008.06.22	102.180	102.500	102.180	102.360	1775	0	0
2008.06.23	102.370	102.730	102.270	102.610	55564	0	0
2008.06.24	102.600	103.320	102.560	103.130	55106	0	0
2008.06.25	103.120	103.580	102.970	103.330	56365	0	0
2008.06.26	103.340	103.680	101.900	102.190	61687	0	0
2008.06.27	102.180	102.830	101.750	101.980	62965	0	0
2008.06.29	101.990	102.230	101.940	102.180	1466	0	0
2008.06.30	102.170	102.450	101.310	101.620	65186	0	0
2008.07.01	101.630	101.880	100.220	101.160	69468	0	0
2008.07.02	101.170	102.430	100.940	101.920	66432	0	0
2008.07.03	101.930	102.660	101.760	102.450	57643	0	0
2008.07.04	102.460	102.910	102.310	102.870	36702	0	0
2008.07.06	102.800	102.820	102.740	102.770	533	0	0
2008.07.07	102.780	103.120	101.960	102.360	62082	0	0
2008.07.08	102.370	102.610	101.370	102.390	64073	0	0
2008.07.09	102.400	102.740	101.770	102.070	66377	0	0
2008.07.10	102.060	103.120	101.920	102.900	64917	0	0
2008.07.11	102.920	103.130	102.400	102.670	67093	0	0
2008.07.13	102.950	103.070	102.890	103.020	3560	0	0
2008.07.14	103.010	103.440	102.930	103.130	61602	0	0
2008.07.15	103.120	103.420	102.340	102.570	79373	0	0
2008.07.16	102.580	102.890	101.460	102.420	73380	0	0
2008.07.17	102.410	103.680	102.210	103.290	72940	0	0
2008.07.18	103.300	103.840	103.000	103.750	55375	0	0
2008.07.20	103.940	103.940	103.770	103.770	867	0	0
2008.07.21	103.760	104.460	103.750	103.980	53061	0	0
2008.07.22	103.970	104.280	103.730	104.160	59118	0	0
2008.07.23	104.170	104.430	103.570	103.670	69618	0	0
2008.07.24	103.680	103.820	102.560	103.030	66229	0	0
2008.07.25	103.020	103.350	102.110	103.100	64258	0	0
2008.07.27	102.920	103.020	102.810	102.940	2057	0	0
2008.07.28	102.950	103.380	102.700	102.820	51723	0	0
2008.07.29	102.830	103.140	102.650	102.900	50813	0	0
2008.07.30	102.890	102.940	101.860	101.990	60868	0	0
2008.07.31	102.000	102.360	101.350	101.370	60893	0	0
2008.08.01	101.380	101.450	99.990	100.030	63838	0	0
2008.08.03	100.100	100.110	99.950	99.950	1334	0	0
2008.08.04	99.960	100.910	99.810	100.550	49874	0	0
2008.08.05	100.540	100.610	98.700	99.180	66193	0	0
2008.08.06	99.170	99.840	99.000	99.770	57270	0	0
2008.08.07	99.760	99.930	98.900	99.230	61076	0	0
2008.08.08	99.220	99.250	97.540	97.900	81051	0	0
2008.08.10	97.800	97.870	97.480	97.510	2107	0	0
2008.08.11	97.500	98.230	96.950	97.060	71846	0	0
2008.08.12	97.070	97.380	94.990	95.180	80416	0	0
2008.08.13	95.170	96.170	93.110	95.480	95237	0	0
2008.08.14	95.490	96.250	94.550	95.050	79874	0	0
2008.08.15	95.040	96.020	94.610	95.710	70094	0	0
2008.08.17	95.720	95.790	95.550	95.560	1764	0	0
2008.08.18	95.570	96.430	95.370	95.560	65001	0	0
2008.08.19	95.550	95.870	94.730	95.560	66914	0	0
2008.08.20	95.550	96.020	95.460	95.750	56293	0	0
2008.08.21	95.760	95.850	94.100	95.330	67511	0	0
2008.08.22	95.320	95.900	95.130	95.340	46392	0	0
2008.08.24	95.420	95.450	95.260	95.340	1687	0	0
2008.08.25	95.380	95.490	94.240	94.420	56180	0	0
2008.08.26	94.430	94.430	93.280	93.730	71792	0	0
2008.08.27	93.720	94.490	93.500	93.980	70542	0	0
2008.08.28	93.990	94.910	93.860	94.470	73673	0	0
2008.08.29	94.480	94.550	92.940	93.340	62891	0	0
2008.08.31	92.780	92.930	92.670	92.860	2668	0	0
2008.09.01	92.850	93.200	91.370	91.650	62669	0	0
2008.09.02	91.660	92.440	89.810	90.850	86912	0	0
2008.09.03	90.860	91.220	89.540	90.400	86008	0	0
2008.09.04	90.390	91.000	85.850	87.280	99637	0	0
2008.09.05	87.320	88.180	85.010	87.870	114225	0	0
2008.09.07	90.710	90.810	89.320	89.830	9080	0	0
2008.09.08	89.820	90.740	87.130	88.270	113518	0	0
2008.09.09	88.280	88.370	85.140	86.360	120319	0	0
2008.09.10	86.350	87.540	85.380	86.010	113585	0	0
2008.09.11	86.000	86.810	84.050	85.800	112965	0	0
2008.09.12	85.760	88.940	85.700	88.870	91495	0	0
2008.09.14	86.760	87.170	86.410	87.020	6720	0	0
2008.09.15	87.010	87.650	82.990	83.090	159030	0	0
2008.09.16	83.080	85.430	81.420	83.890	157448	0	0
2008.09.17	83.880	86.010	81.550	82.420	167168	0	0
2008.09.18	82.410	84.980	82.030	84.550	155662	0	0
2008.09.19	84.540	89.780	84.520	89.580	133099	0	0
2008.09.21	89.400	89.580	88.510	88.590	5040	0	0
2008.09.22	88.580	90.260	88.150	89.190	116071	0	0
2008.09.23	89.200	89.280	87.420	88.740	100840	0	0
2008.09.24	88.750	89.180	87.640	88.420	98610	0	0
2008.09.25	88.430	89.360	88.360	88.930	100495	0	0
2008.09.26	88.940	89.020	86.830	88.050	93743	0	0
2008.09.28	87.890	88.360	87.870	88.150	3259	0	0
2008.09.29	88.140	88.910	82.150	82.880	120438	0	0
2008.09.30	82.870	85.160	82.530	84.050	119015	0	0
2008.10.01	84.040	85.130	82.940	83.880	114437	0	0
2008.10.02	83.890	84.130	80.950	81.350	115818	0	0
2008.10.03	81.330	82.800	80.970	81.470	108118	0	0
2008.10.05	80.920	81.140	80.680	80.890	4100	0	0
2008.10.06	80.900	80.900	70.250	73.430	184519	0	0
2008.10.07	73.460	75.750	71.320	72.050	215160	0	0
2008.10.08	72.080	72.370	63.700	66.490	286620	0	0
2008.10.09	66.470	72.340	66.300	67.930	216570	0	0
2008.10.10	67.940	68.130	63.040	64.730	267089	0	0
2008.10.12	68.470	68.770	67.910	68.440	5898	0	0
2008.10.13	68.460	72.050	65.150	72.050	150599	0	0
2008.10.14	72.040	74.490	70.630	71.450	157670	0	0
2008.10.15	71.440	71.830	64.660	65.410	186199	0	0
2008.10.16	65.400	70.570	64.890	69.320	224709	0	0
2008.10.17	69.310	71.330	67.750	70.030	154179	0	0
2008.10.19	70.240	70.570	69.870	69.870	3929	0	0
2008.10.20	69.860	72.030	69.850	71.540	137212	0	0
2008.10.21	71.530	71.770	67.090	67.940	135992	0	0
2008.10.22	67.930	68.450	64.900	65.310	163308	0	0
2008.10.23	65.300	66.170	62.630	65.360	167016	0	0
2008.10.24	65.370	65.790	55.110	58.690	218820	0	0
2008.10.26	57.290	57.850	56.720	57.850	6068	0	0
2008.10.27	57.840	58.790	55.600	56.380	156906	0	0
2008.10.28	56.370	64.770	55.970	63.840	158860	0	0
2008.10.29	63.830	66.510	60.900	65.420	188660	0	0
