<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.17	00:00:00	94.340	94.790	94.060	94.160	14158	0	0
2008.01.17	04:00:00	94.170	94.930	94.010	94.930	13720	0	0
2008.01.17	08:00:00	94.920	95.260	94.530	94.640	17760	0	0
2008.01.17	12:00:00	94.650	95.400	94.070	94.720	27520	0	0
2008.01.17	16:00:00	94.730	94.850	94.010	94.250	18480	0	0
2008.01.17	20:00:00	94.260	94.320	92.760	92.850	17603	0	0
2008.01.18	00:00:00	92.870	93.630	92.780	93.520	14877	0	0
2008.01.18	04:00:00	93.530	94.400	93.460	94.180	15770	0	0
2008.01.18	08:00:00	94.190	94.490	93.710	94.260	16900	0	0
2008.01.18	12:00:00	94.250	95.030	94.070	94.170	22830	0	0
2008.01.18	16:00:00	94.160	94.360	93.410	93.590	21615	0	0
2008.01.18	20:00:00	93.600	93.940	93.530	93.910	6094	0	0
2008.01.20	20:00:00	94.060	94.260	94.040	94.140	2317	0	0
2008.01.21	00:00:00	94.190	94.200	93.400	93.640	12799	0	0
2008.01.21	04:00:00	93.650	93.720	92.600	92.850	13940	0	0
2008.01.21	08:00:00	92.840	92.850	91.320	91.570	18137	0	0
2008.01.21	12:00:00	91.590	91.970	91.110	91.220	15690	0	0
2008.01.21	16:00:00	91.230	91.480	90.980	91.180	12999	0	0
2008.01.21	20:00:00	91.200	91.490	90.490	90.550	11722	0	0
2008.01.22	00:00:00	90.560	91.740	90.520	91.520	11377	0	0
2008.01.22	04:00:00	91.530	91.530	90.130	90.340	15869	0	0
2008.01.22	08:00:00	90.330	91.630	90.100	91.560	21539	0	0
2008.01.22	12:00:00	91.550	93.100	90.920	92.680	36889	0	0
2008.01.22	16:00:00	92.690	93.250	92.340	92.420	20720	0	0
2008.01.22	20:00:00	92.430	93.500	92.290	93.380	16036	0	0
2008.01.23	00:00:00	93.390	93.650	92.320	92.320	15957	0	0
2008.01.23	04:00:00	92.340	92.740	91.590	92.690	14024	0	0
2008.01.23	08:00:00	92.700	92.780	91.150	91.520	20869	0	0
2008.01.23	12:00:00	91.530	91.820	90.400	91.470	28370	0	0
2008.01.23	16:00:00	91.460	92.010	90.680	91.840	21630	0	0
2008.01.23	20:00:00	91.850	93.410	91.820	93.120	18129	0	0
2008.01.24	00:00:00	93.130	93.370	92.430	92.870	14869	0	0
2008.01.24	04:00:00	92.880	93.240	92.530	92.750	9995	0	0
2008.01.24	08:00:00	92.740	93.440	92.230	93.380	15749	0	0
2008.01.24	12:00:00	93.390	93.940	93.100	93.680	20979	0	0
2008.01.24	16:00:00	93.660	94.250	93.330	93.930	17519	0	0
2008.01.24	20:00:00	93.910	94.660	93.850	94.550	10692	0	0
2008.01.25	00:00:00	94.570	94.800	94.250	94.690	8578	0	0
2008.01.25	04:00:00	94.720	95.250	94.530	95.160	12540	0	0
2008.01.25	08:00:00	95.180	95.390	94.710	94.710	15996	0	0
2008.01.25	12:00:00	94.690	95.320	94.500	94.610	19667	0	0
2008.01.25	16:00:00	94.600	94.720	93.620	94.140	19780	0	0
2008.01.25	20:00:00	94.120	94.360	93.800	93.840	6587	0	0
2008.01.27	20:00:00	93.970	94.090	93.800	93.970	1707	0	0
2008.01.28	00:00:00	93.980	94.180	93.480	93.520	4212	0	0
2008.01.28	04:00:00	93.530	93.820	93.020	93.610	11062	0	0
2008.01.28	08:00:00	93.630	93.980	93.380	93.770	13200	0	0
2008.01.28	12:00:00	93.760	94.490	93.630	94.380	18935	0	0
2008.01.28	16:00:00	94.390	94.990	94.090	94.810	14909	0	0
2008.01.28	20:00:00	94.800	95.230	94.660	95.020	10154	0	0
2008.01.29	00:00:00	95.030	95.120	94.320	94.510	12020	0	0
2008.01.29	04:00:00	94.530	94.990	94.420	94.790	10909	0	0
2008.01.29	08:00:00	94.780	95.140	94.550	94.900	12977	0	0
2008.01.29	12:00:00	94.890	95.310	94.620	94.790	18839	0	0
2008.01.29	16:00:00	94.800	95.260	94.790	95.030	11607	0	0
2008.01.29	20:00:00	95.010	95.300	94.890	95.100	8511	0	0
2008.01.30	00:00:00	95.080	95.100	94.710	94.760	9215	0	0
2008.01.30	04:00:00	94.780	94.870	94.480	94.540	9415	0	0
2008.01.30	08:00:00	94.530	95.180	94.460	95.180	12898	0	0
2008.01.30	12:00:00	95.190	95.590	94.900	95.380	14549	0	0
2008.01.30	16:00:00	95.390	96.290	95.270	96.190	15262	0	0
2008.01.30	20:00:00	96.200	96.480	93.610	93.970	25049	0	0
2008.01.31	00:00:00	93.980	94.950	93.950	94.640	15309	0	0
2008.01.31	04:00:00	94.630	95.200	94.550	95.100	14969	0	0
2008.01.31	08:00:00	95.090	95.240	94.600	94.640	17019	0	0
2008.01.31	12:00:00	94.650	94.860	93.820	94.840	22160	0	0
2008.01.31	16:00:00	94.820	95.870	94.800	95.440	19447	0	0
2008.01.31	20:00:00	95.450	95.660	95.090	95.130	12406	0	0
2008.02.01	00:00:00	95.110	95.460	95.050	95.360	9849	0	0
2008.02.01	04:00:00	95.350	95.490	95.110	95.450	9005	0	0
2008.02.01	08:00:00	95.440	95.920	95.360	95.790	12958	0	0
2008.02.01	12:00:00	95.780	96.310	95.230	95.720	28370	0	0
2008.02.01	16:00:00	95.730	96.320	95.620	96.300	15148	0	0
2008.02.01	20:00:00	96.290	96.460	96.130	96.260	4647	0	0
2008.02.03	20:00:00	96.250	96.360	96.110	96.200	1977	0	0
2008.02.04	00:00:00	96.210	96.750	96.170	96.600	8374	0	0
2008.02.04	04:00:00	96.590	96.820	96.450	96.780	10185	0	0
2008.02.04	08:00:00	96.770	97.130	96.640	96.970	13207	0	0
2008.02.04	12:00:00	96.960	97.190	96.850	97.100	12758	0	0
2008.02.04	16:00:00	97.110	97.140	96.780	97.050	6890	0	0
2008.02.04	20:00:00	97.070	97.080	96.690	96.830	6015	0	0
2008.02.05	00:00:00	96.820	96.950	96.410	96.770	7567	0	0
2008.02.05	04:00:00	96.780	97.170	96.720	97.170	7343	0	0
2008.02.05	08:00:00	97.180	97.480	96.980	97.250	16420	0	0
2008.02.05	12:00:00	97.260	97.280	95.500	95.930	21310	0	0
2008.02.05	16:00:00	95.940	96.270	95.750	96.090	16309	0	0
2008.02.05	20:00:00	96.070	96.070	95.220	95.420	13739	0	0
2008.02.06	00:00:00	95.410	95.700	95.320	95.460	8373	0	0
2008.02.06	04:00:00	95.480	95.620	94.690	94.890	11342	0	0
2008.02.06	08:00:00	94.880	95.480	94.660	95.280	18220	0	0
2008.02.06	12:00:00	95.290	96.010	95.280	95.760	17398	0	0
2008.02.06	16:00:00	95.750	95.910	95.340	95.650	12638	0	0
2008.02.06	20:00:00	95.660	95.770	94.890	94.900	14174	0	0
2008.02.07	00:00:00	94.890	95.060	94.670	94.850	5807	0	0
2008.02.07	04:00:00	94.880	95.290	94.860	95.160	8732	0	0
2008.02.07	08:00:00	95.170	95.340	94.520	94.870	13767	0	0
2008.02.07	12:00:00	94.860	95.520	94.140	95.260	25828	0	0
2008.02.07	16:00:00	95.270	96.560	95.180	95.870	20469	0	0
2008.02.07	20:00:00	95.860	96.240	95.670	95.990	13398	0	0
2008.02.08	00:00:00	95.980	96.210	95.700	96.160	8695	0	0
2008.02.08	04:00:00	96.170	96.380	95.910	96.310	8455	0	0
2008.02.08	08:00:00	96.300	96.530	95.610	96.050	14659	0	0
2008.02.08	12:00:00	96.060	96.500	95.650	96.430	16110	0	0
2008.02.08	16:00:00	96.440	96.620	95.890	96.140	14500	0	0
2008.02.08	20:00:00	96.130	96.200	95.990	96.050	3927	0	0
2008.02.10	20:00:00	96.400	96.420	96.140	96.350	1934	0	0
2008.02.11	00:00:00	96.380	96.960	96.300	96.710	8063	0	0
2008.02.11	04:00:00	96.720	96.900	96.010	96.130	9446	0	0
2008.02.11	08:00:00	96.120	96.610	96.040	96.450	12858	0	0
