<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.02	0.87930	0.88460	0.87890	0.88360	20884	0	0
2008.01.03	0.88350	0.88410	0.87850	0.88170	29854	0	0
2008.01.04	0.88160	0.88360	0.86990	0.87210	36259	0	0
2008.01.06	0.87140	0.87320	0.87140	0.87270	784	0	0
2008.01.07	0.87280	0.87470	0.86830	0.87150	35204	0	0
2008.01.08	0.87170	0.88380	0.87140	0.87910	38007	0	0
2008.01.09	0.87920	0.88560	0.87840	0.88280	42478	0	0
2008.01.10	0.88290	0.89750	0.88100	0.89430	36902	0	0
2008.01.11	0.89420	0.89700	0.89000	0.89080	35544	0	0
2008.01.13	0.89160	0.89280	0.89090	0.89280	1327	0	0
2008.01.14	0.89270	0.90020	0.89270	0.89810	29794	0	0
2008.01.15	0.89820	0.90180	0.87800	0.88350	45245	0	0
2008.01.16	0.88340	0.88650	0.87430	0.87870	62547	0	0
2008.01.17	0.87880	0.88790	0.87210	0.87270	60166	0	0
2008.01.18	0.87260	0.88510	0.86990	0.87900	57209	0	0
2008.01.20	0.88110	0.88170	0.88050	0.88090	1174	0	0
2008.01.21	0.88080	0.88090	0.85670	0.85700	50540	0	0
2008.01.22	0.85710	0.87250	0.85130	0.87200	75326	0	0
2008.01.23	0.87210	0.87470	0.86100	0.87250	68937	0	0
2008.01.24	0.87260	0.88310	0.86910	0.88250	47663	0	0
2008.01.25	0.88240	0.88530	0.87720	0.87950	43441	0	0
2008.01.27	0.88010	0.88160	0.87920	0.88040	718	0	0
2008.01.28	0.88060	0.88940	0.87690	0.88810	32927	0	0
2008.01.29	0.88820	0.89030	0.88580	0.88820	34447	0	0
2008.01.30	0.88810	0.90140	0.88190	0.88490	46610	0	0
2008.01.31	0.88470	0.89810	0.88450	0.89550	53511	0	0
2008.02.01	0.89530	0.90460	0.89430	0.90420	44301	0	0
2008.02.03	0.90250	0.90360	0.90230	0.90260	972	0	0
2008.02.04	0.90250	0.91000	0.90250	0.90770	30630	0	0
2008.02.05	0.90760	0.90900	0.89400	0.89590	50136	0	0
2008.02.06	0.89580	0.89980	0.89070	0.89220	45340	0	0
2008.02.07	0.89210	0.89740	0.88740	0.89450	49422	0	0
2008.02.08	0.89440	0.89850	0.89150	0.89550	34343	0	0
2008.02.10	0.89640	0.89680	0.89550	0.89670	729	0	0
2008.02.11	0.89690	0.90570	0.89690	0.90390	35351	0	0
2008.02.12	0.90380	0.90840	0.90210	0.90330	32116	0	0
2008.02.13	0.90320	0.90450	0.89220	0.89660	39339	0	0
2008.02.14	0.89670	0.90640	0.89660	0.90170	35100	0	0
2008.02.15	0.90160	0.90960	0.90070	0.90900	30478	0	0
2008.02.17	0.90770	0.90900	0.90680	0.90890	971	0	0
2008.02.18	0.90900	0.91630	0.90860	0.91630	22783	0	0
2008.02.19	0.91620	0.92360	0.91620	0.92100	36326	0	0
2008.02.20	0.92090	0.92090	0.91110	0.91940	41369	0	0
2008.02.21	0.91930	0.92060	0.91640	0.91910	31589	0	0
2008.02.22	0.91900	0.92490	0.91710	0.92390	32965	0	0
2008.02.24	0.92320	0.92350	0.92160	0.92230	447	0	0
2008.02.25	0.92220	0.92820	0.92200	0.92770	25526	0	0
2008.02.26	0.92780	0.93480	0.92520	0.93360	34258	0	0
2008.02.27	0.93370	0.94300	0.93180	0.94160	40127	0	0
2008.02.28	0.94170	0.94960	0.93670	0.94500	44471	0	0
2008.02.29	0.94460	0.94850	0.93030	0.93070	50502	0	0
2008.03.02	0.93060	0.93260	0.92910	0.93160	2633	0	0
2008.03.03	0.93180	0.94190	0.92860	0.93900	39857	0	0
2008.03.04	0.93880	0.93950	0.92170	0.92640	56139	0	0
2008.03.05	0.92660	0.93650	0.92280	0.93400	48043	0	0
2008.03.06	0.93410	0.93820	0.92450	0.92920	44975	0	0
2008.03.07	0.92910	0.93750	0.92600	0.92670	49325	0	0
2008.03.09	0.92710	0.93000	0.92700	0.92960	1132	0	0
2008.03.10	0.92890	0.93110	0.91470	0.91560	42946	0	0
2008.03.11	0.91550	0.93090	0.91480	0.92800	42046	0	0
2008.03.12	0.92790	0.93660	0.92770	0.93570	44849	0	0
2008.03.13	0.93590	0.94700	0.93290	0.94510	49314	0	0
2008.03.14	0.94520	0.94540	0.93530	0.93740	46543	0	0
2008.03.16	0.94100	0.94460	0.94020	0.94350	4729	0	0
2008.03.17	0.94360	0.94360	0.91280	0.92030	80601	0	0
2008.03.18	0.92040	0.93260	0.91670	0.92970	60454	0	0
2008.03.19	0.92980	0.93530	0.91160	0.91350	58721	0	0
2008.03.20	0.91360	0.91660	0.89530	0.90040	51047	0	0
2008.03.21	0.90050	0.90310	0.89890	0.90210	13392	0	0
2008.03.23	0.89920	0.90090	0.89920	0.90000	702	0	0
2008.03.24	0.90010	0.91070	0.89790	0.90970	25425	0	0
2008.03.25	0.90960	0.91770	0.90860	0.91620	37926	0	0
2008.03.26	0.91610	0.92410	0.91210	0.91940	39230	0	0
2008.03.27	0.91930	0.92520	0.91660	0.92050	40861	0	0
2008.03.28	0.92060	0.92420	0.91510	0.91740	35609	0	0
2008.03.30	0.91650	0.91670	0.91510	0.91590	1883	0	0
2008.03.31	0.91600	0.91810	0.91040	0.91330	41372	0	0
2008.04.01	0.91350	0.91470	0.90310	0.90710	44837	0	0
2008.04.02	0.90700	0.91580	0.90550	0.91400	37566	0	0
2008.04.03	0.91410	0.91770	0.90920	0.91560	39888	0	0
2008.04.04	0.91580	0.92280	0.90990	0.92280	37668	0	0
2008.04.06	0.92090	0.92250	0.92070	0.92250	832	0	0
2008.04.07	0.92260	0.92840	0.91780	0.92490	29384	0	0
2008.04.08	0.92500	0.93210	0.92420	0.93080	34340	0	0
2008.04.09	0.93090	0.93200	0.92610	0.92950	33771	0	0
2008.04.10	0.92940	0.93460	0.92900	0.93200	38087	0	0
2008.04.11	0.93190	0.93400	0.92730	0.92780	33539	0	0
2008.04.13	0.92560	0.92590	0.92420	0.92550	1024	0	0
2008.04.14	0.92540	0.92720	0.92050	0.92580	38261	0	0
2008.04.15	0.92590	0.93070	0.92330	0.92540	33871	0	0
2008.04.16	0.92550	0.94010	0.92500	0.93930	32940	0	0
2008.04.17	0.93940	0.93940	0.93370	0.93710	36763	0	0
2008.04.18	0.93720	0.93950	0.92710	0.93480	38444	0	0
2008.04.20	0.93350	0.93410	0.93320	0.93350	603	0	0
2008.04.21	0.93340	0.94430	0.93280	0.94320	30057	0	0
2008.04.22	0.94330	0.94730	0.93910	0.94550	31955	0	0
2008.04.23	0.94560	0.95410	0.94490	0.94720	38784	0	0
2008.04.24	0.94740	0.94820	0.93730	0.93800	40190	0	0
2008.04.25	0.93810	0.94200	0.92900	0.93340	38931	0	0
2008.04.27	0.93410	0.93440	0.93340	0.93380	598	0	0
2008.04.28	0.93360	0.94030	0.93360	0.93830	25717	0	0
2008.04.29	0.93840	0.93850	0.92930	0.93250	34010	0	0
2008.04.30	0.93260	0.94720	0.93120	0.94330	38887	0	0
2008.05.01	0.94340	0.94420	0.93050	0.93320	38585	0	0
2008.05.02	0.93330	0.93850	0.92750	0.93460	36990	0	0
2008.05.04	0.93480	0.93500	0.93420	0.93430	311	0	0
2008.05.05	0.93440	0.94680	0.93420	0.94570	21364	0	0
2008.05.06	0.94580	0.95060	0.94320	0.94990	30868	0	0
2008.05.07	0.95000	0.95020	0.93970	0.93990	32471	0	0
2008.05.08	0.94000	0.94550	0.93490	0.94340	44752	0	0
2008.05.09	0.94350	0.94550	0.93840	0.94350	32049	0	0
