<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.03.18	5.22	5.34	5.21	5.28	22854	0	0
2012.03.19	5.26	5.32	4.50	4.70	188885	0	0
2012.03.20	4.69	4.90	4.58	4.83	66341	0	0
2012.03.21	4.84	4.87	4.75	4.82	46433	0	0
2012.03.22	4.79	4.88	4.59	4.70	58066	0	0
2012.03.23	4.74	4.79	4.60	4.69	54128	0	0
2012.03.24	4.69	4.73	4.60	4.68	39065	0	0
2012.03.25	4.68	4.69	4.30	4.55	71553	0	0
2012.03.26	4.55	4.74	4.52	4.62	69834	0	0
2012.03.27	4.62	4.85	4.49	4.81	73429	0	0
2012.03.28	4.81	4.84	4.72	4.79	38014	0	0
2012.03.29	4.79	4.86	4.71	4.81	37972	0	0
2012.03.30	4.81	4.88	4.72	4.86	39069	0	0
2012.03.31	4.85	4.95	4.82	4.91	35526	0	0
2012.04.01	4.91	4.92	4.73	4.83	35948	0	0
2012.04.02	4.83	5.08	4.76	4.98	80661	0	0
2012.04.03	4.97	4.99	4.81	4.95	78479	0	0
2012.04.04	4.95	4.97	4.89	4.91	51038	0	0
2012.04.05	4.93	4.94	4.87	4.92	33804	0	0
2012.04.06	4.92	4.98	4.88	4.95	58208	0	0
2012.04.07	4.95	4.95	4.69	4.69	80944	0	0
2012.04.08	4.69	4.80	4.62	4.80	41970	0	0
2012.04.09	4.79	4.88	4.73	4.87	39240	0	0
2012.04.10	4.87	4.90	4.76	4.83	53099	0	0
2012.04.11	4.84	4.98	4.79	4.93	67033	0	0
2012.04.12	4.93	4.95	4.84	4.92	46365	0	0
2012.04.13	4.92	4.95	4.73	4.94	93109	0	0
2012.04.14	4.94	5.03	4.90	4.96	63885	0	0
2012.04.15	4.96	4.98	4.86	4.97	33341	0	0
2012.04.16	4.97	4.98	4.91	4.93	31156	0	0
2012.04.17	4.96	5.02	4.93	4.98	30643	0	0
2012.04.18	4.98	5.18	4.96	5.12	79127	0	0
2012.04.19	5.12	5.19	5.10	5.14	46672	0	0
2012.04.20	5.14	5.48	5.10	5.35	104067	0	0
2012.04.21	5.35	5.48	5.11	5.26	60920	0	0
2012.04.22	5.26	5.33	5.10	5.20	37106	0	0
2012.04.23	5.20	5.21	4.96	4.96	49365	0	0
