<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.17	104.910	105.700	103.210	103.320	100382	0	0
2008.01.18	103.300	105.140	103.260	103.990	80215	0	0
2008.01.20	104.040	104.110	103.970	104.000	1007	0	0
2008.01.21	104.020	104.060	101.940	101.950	70768	0	0
2008.01.22	101.960	104.610	101.940	104.210	114317	0	0
2008.01.23	104.200	104.610	101.820	104.270	101782	0	0
2008.01.24	104.260	106.970	103.640	106.660	97326	0	0
2008.01.25	106.650	107.500	105.810	105.840	86953	0	0
2008.01.27	105.930	105.960	105.660	105.800	2005	0	0
2008.01.28	105.790	106.760	104.840	106.450	74177	0	0
2008.01.29	106.460	107.750	105.740	107.200	78562	0	0
2008.01.30	107.190	108.570	106.280	106.670	85738	0	0
2008.01.31	106.700	107.420	105.040	106.070	97893	0	0
2008.02.01	106.060	107.470	105.620	106.970	80858	0	0
2008.02.03	107.220	107.260	106.970	107.040	1217	0	0
2008.02.04	107.020	107.620	106.690	107.300	55918	0	0
2008.02.05	107.290	107.840	105.490	105.650	74378	0	0
2008.02.06	105.670	106.570	105.100	105.570	76663	0	0
2008.02.07	105.600	106.940	104.700	106.290	80192	0	0
2008.02.08	106.280	107.980	106.070	107.370	72203	0	0
2008.02.10	107.560	107.580	107.340	107.470	1468	0	0
2008.02.11	107.480	107.640	106.100	106.580	61875	0	0
2008.02.12	106.570	107.980	106.400	107.250	55122	0	0
2008.02.13	107.240	108.670	106.850	108.400	63750	0	0
2008.02.14	107.840	107.840	107.630	107.760	2274	0	0
2008.02.15	107.750	108.960	106.420	107.040	62543	0	0
2008.02.17	106.810	106.920	106.790	106.860	1486	0	0
2008.02.18	106.870	107.560	106.860	107.320	47866	0	0
2008.02.19	107.310	107.480	105.660	106.250	69400	0	0
2008.02.20	106.260	106.850	105.750	106.660	78347	0	0
2008.02.21	106.670	107.250	105.840	106.170	71705	0	0
2008.02.22	106.160	106.320	105.000	105.770	63664	0	0
2008.02.24	105.890	106.040	105.860	106.020	1524	0	0
2008.02.25	106.040	108.610	105.970	108.510	30970	0	0
2008.02.26	108.500	109.630	108.060	109.320	68662	0	0
2008.02.27	109.310	109.480	108.040	108.370	80679	0	0
2008.02.28	108.360	108.980	107.200	107.470	75101	0	0
2008.02.29	107.460	107.520	104.810	104.980	87528	0	0
2008.03.02	104.600	104.930	104.450	104.710	2848	0	0
2008.03.03	104.720	105.070	103.710	104.660	59253	0	0
2008.03.04	104.650	104.670	103.040	103.950	85392	0	0
2008.03.05	103.960	105.700	103.790	105.470	69395	0	0
2008.03.06	105.460	105.470	103.860	104.140	71398	0	0
2008.03.07	104.130	104.720	103.210	103.590	72915	0	0
2008.03.09	103.120	103.360	103.120	103.310	2669	0	0
2008.03.10	103.320	103.680	101.770	101.840	61810	0	0
2008.03.11	101.800	104.510	101.790	104.110	78675	0	0
2008.03.12	104.120	104.710	102.100	102.460	76749	0	0
2008.03.13	102.450	103.010	100.910	102.260	112920	0	0
2008.03.14	102.280	102.520	99.970	100.100	86815	0	0
2008.03.16	100.070	100.410	99.150	99.260	9760	0	0
2008.03.17	99.320	99.320	96.400	97.550	132159	0	0
2008.03.18	97.560	101.340	97.210	100.840	113454	0	0
2008.03.19	100.830	100.960	97.120	97.470	102098	0	0
2008.03.20	97.460	97.900	95.690	97.090	62249	0	0
2008.03.21	97.140	97.480	96.800	97.270	27001	0	0
2008.03.23	96.960	97.070	96.960	97.070	771	0	0
2008.03.24	97.080	99.150	96.810	98.880	49886	0	0
2008.03.25	98.890	99.340	97.480	98.220	77161	0	0
2008.03.26	98.230	98.480	96.970	97.310	78262	0	0
2008.03.27	97.320	98.750	96.890	97.920	88136	0	0
2008.03.28	97.910	98.690	96.990	97.010	71075	0	0
2008.03.30	96.670	96.890	96.610	96.740	2245	0	0
2008.03.31	96.750	97.880	96.590	97.350	71976	0	0
2008.04.01	97.360	99.830	97.060	99.350	77852	0	0
2008.04.02	99.360	101.080	99.190	100.750	76442	0	0
2008.04.03	100.770	102.030	100.590	101.790	73869	0	0
2008.04.04	101.800	102.230	100.470	100.580	74271	0	0
2008.04.06	100.780	100.840	100.520	100.820	1949	0	0
2008.04.07	100.840	102.260	100.790	101.130	65720	0	0
2008.04.08	101.140	101.370	100.040	101.350	70636	0	0
2008.04.09	101.340	101.350	99.620	99.890	66081	0	0
2008.04.10	99.900	100.320	98.100	100.230	85908	0	0
2008.04.11	100.220	100.550	98.360	98.660	78478	0	0
2008.04.13	98.580	98.890	98.480	98.780	2588	0	0
2008.04.14	98.790	99.300	97.890	99.190	83575	0	0
2008.04.15	99.180	100.120	98.460	100.040	70643	0	0
2008.04.16	100.030	101.810	99.770	101.750	76839	0	0
2008.04.17	101.760	102.570	100.810	101.400	82787	0	0
2008.04.18	101.390	103.880	101.280	103.210	80482	0	0
2008.04.20	103.290	103.480	103.210	103.450	1532	0	0
2008.04.21	103.440	103.540	102.170	102.660	72149	0	0
2008.04.22	102.670	102.750	101.800	102.150	85043	0	0
2008.04.23	102.140	102.510	100.890	101.750	69307	0	0
2008.04.24	101.760	103.050	101.420	102.760	75982	0	0
2008.04.25	102.780	103.000	102.260	102.990	74206	0	0
2008.04.27	103.070	103.140	102.980	103.070	1231	0	0
2008.04.28	103.090	103.910	102.510	102.880	63578	0	0
2008.04.29	102.890	103.130	101.760	102.710	68935	0	0
2008.04.30	102.720	104.080	102.300	103.030	85201	0	0
2008.05.01	103.040	103.200	101.570	102.540	71578	0	0
2008.05.02	102.530	103.720	102.410	103.350	70351	0	0
2008.05.04	103.210	103.350	103.170	103.220	2126	0	0
2008.05.05	103.210	103.910	103.210	103.540	50584	0	0
2008.05.06	103.560	104.740	102.750	104.360	71277	0	0
2008.05.07	104.370	105.360	103.530	103.850	71914	0	0
2008.05.08	103.840	103.880	101.810	102.150	84420	0	0
2008.05.09	102.160	102.820	101.580	102.310	72538	0	0
2008.05.11	102.330	102.500	102.220	102.240	2053	0	0
2008.05.12	102.250	103.540	101.890	103.220	65388	0	0
2008.05.13	103.230	104.550	102.630	104.210	74197	0	0
2008.05.14	104.200	105.570	104.070	104.570	74067	0	0
2008.05.15	104.580	104.970	104.350	104.790	73256	0	0
2008.05.16	104.780	105.280	103.770	104.110	72749	0	0
2008.05.18	104.020	104.160	103.970	104.130	975	0	0
2008.05.19	104.140	105.600	104.010	105.210	52798	0	0
2008.05.20	105.220	105.290	104.110	104.340	74995	0	0
2008.05.21	104.330	105.160	104.080	104.720	74240	0	0
2008.05.22	104.730	105.870	104.420	105.650	67957	0	0
2008.05.23	105.640	105.700	104.220	104.410	58259	0	0
2008.05.25	104.500	104.560	104.480	104.540	784	0	0
2008.05.26	104.560	104.670	104.110	104.210	38493	0	0
2008.05.27	104.200	105.330	104.190	104.840	60671	0	0
2008.05.28	104.830	105.880	104.510	105.750	65939	0	0
2008.05.29	105.760	107.090	105.740	106.640	69273	0	0
2008.05.30	106.650	106.850	105.860	106.190	63931	0	0
2008.06.01	105.690	105.960	105.670	105.930	1954	0	0
2008.06.02	105.950	106.060	103.820	104.300	68670	0	0
2008.06.03	104.310	104.990	103.820	104.270	74536	0	0
2008.06.04	104.260	104.300	103.220	103.470	77334	0	0
2008.06.05	103.480	104.390	103.420	104.090	72964	0	0
2008.06.06	104.080	104.460	102.870	102.880	70009	0	0
