<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.02	98.900	99.330	97.550	97.570	48118	0	0
2008.01.03	97.580	98.560	97.320	98.510	66228	0	0
2008.01.04	98.500	98.540	97.650	97.950	66195	0	0
2008.01.06	98.080	98.170	98.070	98.070	1306	0	0
2008.01.07	98.080	98.410	97.460	97.700	62835	0	0
2008.01.08	97.690	98.390	97.480	97.950	70162	0	0
2008.01.09	97.960	98.630	97.860	98.410	68320	0	0
2008.01.10	98.420	99.280	98.210	99.230	73514	0	0
2008.01.11	99.240	99.350	98.550	98.810	66696	0	0
2008.01.13	98.990	99.040	98.880	98.970	1858	0	0
2008.01.14	98.980	99.110	98.440	99.010	60938	0	0
2008.01.15	99.020	99.070	97.550	97.810	76091	0	0
2008.01.16	97.820	98.160	97.080	97.670	91044	0	0
2008.01.17	97.660	97.790	96.600	96.640	88597	0	0
2008.01.18	96.650	97.750	96.630	97.260	74060	0	0
2008.01.20	97.100	97.120	97.000	97.070	1988	0	0
2008.01.21	97.100	97.100	95.110	95.130	71996	0	0
2008.01.22	95.120	97.720	95.100	97.620	96469	0	0
2008.01.23	97.610	97.950	96.370	97.760	94279	0	0
2008.01.24	97.750	98.630	97.210	98.590	77868	0	0
2008.01.25	98.600	98.750	97.250	97.300	72555	0	0
2008.01.27	97.530	97.550	97.440	97.500	1334	0	0
2008.01.28	97.510	98.330	96.930	98.140	65575	0	0
2008.01.29	98.160	98.230	97.460	97.860	64412	0	0
2008.01.30	97.850	98.680	97.570	97.940	74739	0	0
2008.01.31	97.930	98.570	97.760	98.290	88942	0	0
2008.02.01	98.280	98.910	97.690	97.710	73932	0	0
2008.02.03	97.860	98.010	97.820	97.940	1964	0	0
2008.02.04	97.910	98.230	97.760	98.040	55008	0	0
2008.02.05	98.030	98.140	96.740	96.890	65951	0	0
2008.02.06	96.900	97.400	96.660	96.930	67786	0	0
2008.02.07	96.920	97.450	96.300	97.240	74077	0	0
2008.02.08	97.230	97.480	97.010	97.240	61257	0	0
2008.02.10	97.500	97.500	97.330	97.480	1635	0	0
2008.02.11	97.470	97.540	96.520	96.930	58099	0	0
2008.02.12	96.920	97.670	96.870	97.380	51413	0	0
2008.02.13	97.390	97.760	97.050	97.680	62377	0	0
2008.02.14	97.670	98.490	97.520	98.230	63548	0	0
2008.02.15	98.220	98.800	98.170	98.580	58118	0	0
2008.02.17	98.530	98.650	98.460	98.550	2038	0	0
2008.02.18	98.560	98.710	97.940	98.160	46189	0	0
2008.02.19	98.170	98.650	97.990	98.610	61899	0	0
2008.02.20	98.620	98.680	97.920	98.330	69425	0	0
2008.02.21	98.350	98.690	97.960	98.530	63321	0	0
2008.02.22	98.520	98.880	98.270	98.730	58728	0	0
2008.02.24	98.810	98.860	98.790	98.850	1123	0	0
2008.02.25	98.860	99.450	98.550	99.220	29148	0	0
2008.02.26	99.230	100.120	98.850	99.810	61227	0	0
2008.02.27	99.800	100.220	99.390	100.060	67542	0	0
2008.02.28	100.070	100.510	99.600	99.820	68128	0	0
2008.02.29	99.810	99.990	99.270	99.620	75251	0	0
2008.03.02	99.760	99.980	99.700	99.710	3310	0	0
2008.03.03	99.720	99.870	98.760	99.420	58434	0	0
2008.03.04	99.410	99.720	99.020	99.450	70721	0	0
2008.03.05	99.440	100.480	99.420	100.280	65830	0	0
2008.03.06	100.290	100.520	100.020	100.340	71985	0	0
2008.03.07	100.350	100.570	99.770	100.130	69860	0	0
2008.03.09	100.100	100.310	100.040	100.240	3060	0	0
2008.03.10	100.230	100.320	99.510	99.560	62969	0	0
2008.03.11	99.530	100.740	99.530	100.010	74352	0	0
2008.03.12	100.000	100.370	99.710	99.980	73151	0	0
2008.03.13	99.990	100.090	98.900	99.640	111087	0	0
2008.03.14	99.660	99.970	99.030	99.180	81913	0	0
2008.03.16	99.460	99.810	99.180	99.290	11410	0	0
2008.03.17	99.300	99.730	98.020	98.600	139876	0	0
2008.03.18	98.630	100.250	98.540	99.870	109878	0	0
2008.03.19	99.900	99.950	98.860	98.930	96939	0	0
2008.03.20	98.950	99.200	97.330	98.620	71346	0	0
2008.03.21	98.650	98.900	98.330	98.650	36422	0	0
2008.03.23	98.310	98.440	98.290	98.400	1802	0	0
2008.03.24	98.390	98.900	97.860	98.860	49637	0	0
2008.03.25	98.850	99.530	98.540	99.200	74872	0	0
2008.03.26	99.210	100.360	99.020	99.960	79682	0	0
2008.03.27	99.970	100.600	99.510	100.310	88469	0	0
2008.03.28	100.300	100.720	99.590	99.700	74879	0	0
2008.03.30	99.550	99.690	99.400	99.430	3079	0	0
2008.03.31	99.420	100.760	99.390	100.360	71607	0	0
2008.04.01	100.350	100.820	99.570	100.390	73747	0	0
2008.04.02	100.410	101.620	100.380	101.410	73780	0	0
2008.04.03	101.420	101.610	100.640	101.200	71152	0	0
2008.04.04	101.180	101.670	100.790	100.850	70121	0	0
2008.04.06	101.100	101.100	100.770	101.010	2164	0	0
2008.04.07	101.020	101.490	100.860	101.120	66191	0	0
2008.04.08	101.110	101.550	100.880	101.150	71321	0	0
2008.04.09	101.140	101.810	100.890	101.550	68129	0	0
2008.04.10	101.560	101.580	100.800	101.220	90098	0	0
2008.04.11	101.190	101.650	100.680	100.890	78518	0	0
2008.04.13	100.540	100.650	100.400	100.620	2750	0	0
2008.04.14	100.640	101.300	100.340	101.120	82239	0	0
2008.04.15	101.110	101.370	100.750	100.970	72581	0	0
2008.04.16	100.980	101.950	100.800	101.870	72124	0	0
2008.04.17	101.880	102.240	101.610	101.830	75614	0	0
2008.04.18	101.820	102.080	101.230	101.800	70731	0	0
2008.04.20	101.990	102.180	101.960	102.120	2168	0	0
2008.04.21	102.130	102.550	101.830	102.400	70406	0	0
2008.04.22	102.410	102.760	101.800	102.590	74930	0	0
2008.04.23	102.580	102.770	101.690	101.890	69604	0	0
2008.04.24	101.900	101.940	100.580	100.710	72985	0	0
2008.04.25	100.720	101.000	100.320	100.940	72314	0	0
2008.04.27	100.900	100.950	100.730	100.770	1155	0	0
2008.04.28	100.790	101.340	100.600	100.780	55013	0	0
2008.04.29	100.770	100.840	99.890	100.220	65644	0	0
2008.04.30	100.210	100.790	100.010	100.390	73914	0	0
2008.05.01	100.400	100.490	99.020	99.650	62349	0	0
2008.05.02	99.660	100.150	99.420	99.680	61979	0	0
2008.05.04	99.700	99.880	99.700	99.770	1891	0	0
2008.05.05	99.760	100.080	99.440	99.570	48068	0	0
2008.05.06	99.580	99.960	99.460	99.500	58080	0	0
2008.05.07	99.510	99.910	99.100	99.230	58537	0	0
2008.05.08	99.220	99.270	98.270	98.820	73494	0	0
2008.05.09	98.810	98.960	98.560	98.760	62655	0	0
2008.05.11	98.780	98.850	98.610	98.650	2303	0	0
2008.05.12	98.640	99.550	98.430	99.320	62649	0	0
2008.05.13	99.310	99.620	98.830	99.480	65904	0	0
2008.05.14	99.490	99.830	99.200	99.590	60463	0	0
2008.05.15	99.600	99.880	98.950	99.170	64070	0	0
2008.05.16	99.180	99.470	98.830	99.320	61279	0	0
2008.05.18	99.380	99.420	99.260	99.340	1498	0	0
2008.05.19	99.350	99.580	98.900	99.210	45778	0	0
2008.05.20	99.200	100.080	98.890	99.880	63309	0	0
