<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	00:00:00	3288	3311	3245	3256	101	0	0
2010.01.05	00:00:00	3250	3333	3246	3321	104	0	0
2010.01.06	00:00:00	3300	3306	3272	3292	61	0	0
2010.01.07	00:00:00	3278	3313	3257	3309	82	0	0
2010.01.08	00:00:00	3281	3326	3281	3296	76	0	0
2010.01.11	00:00:00	3307	3347	3307	3343	45	0	0
2010.01.12	00:00:00	3333	3352	3282	3342	132	0	0
2010.01.13	00:00:00	3326	3400	3307	3389	124	0	0
2010.01.14	00:00:00	3363	3418	3363	3392	82	0	0
2010.01.15	00:00:00	3400	3429	3380	3400	99	0	0
2010.01.19	00:00:00	3428	3473	3402	3461	110	0	0
2010.01.20	00:00:00	3450	3458	3413	3422	63	0	0
2010.01.21	00:00:00	3414	3485	3411	3431	132	0	0
2010.01.22	00:00:00	3432	3443	3356	3425	168	0	0
2010.01.25	00:00:00	3423	3423	3382	3406	66	0	0
2010.01.26	00:00:00	3395	3410	3312	3363	165	0	0
2010.01.27	00:00:00	3357	3370	3172	3268	308	0	0
2010.01.28	00:00:00	3275	3287	3211	3260	138	0	0
2010.01.29	00:00:00	3285	3287	3175	3184	124	0	0
2010.02.01	00:00:00	3191	3203	3143	3152	82	0	0
2010.02.02	00:00:00	3150	3154	3040	3132	211	0	0
2010.02.03	00:00:00	3136	3154	3070	3144	161	0	0
2010.02.04	00:00:00	3130	3150	3060	3090	141	0	0
2010.02.05	00:00:00	3062	3090	2965	2972	161	0	0
2010.02.08	00:00:00	3008	3029	2955	3019	138	0	0
2010.02.09	00:00:00	3019	3020	2978	3003	69	0	0
2010.02.10	00:00:00	2988	3027	2967	3012	97	0	0
2010.02.11	00:00:00	3027	3100	3006	3089	127	0	0
2010.02.12	00:00:00	3094	3124	3019	3093	210	0	0
2010.02.16	00:00:00	3115	3165	3115	3153	63	0	0
2010.02.17	00:00:00	3120	3150	3060	3079	140	0	0
2010.02.18	00:00:00	3075	3096	3066	3071	57	0	0
2010.02.19	00:00:00	3084	3114	3054	3098	107	0	0
2010.02.22	00:00:00	3099	3141	3054	3074	150	0	0
2010.02.23	00:00:00	3068	3068	2906	2931	188	0	0
2010.02.24	00:00:00	2947	2965	2903	2955	117	0	0
2010.02.25	00:00:00	2948	2963	2896	2917	104	0	0
2010.02.26	00:00:00	2938	2942	2914	2917	36	0	0
2010.03.01	00:00:00	2917	2917	2817	2855	139	0	0
2010.03.02	00:00:00	2875	2875	2816	2819	63	0	0
2010.03.04	00:00:00	2808	2814	2800	2812	25	0	0
2010.03.08	00:00:00	2868	2868	2820	2827	56	0	0
2010.03.09	00:00:00	2810	2810	2761	2787	76	0	0
2010.03.10	00:00:00	2791	2840	2791	2838	52	0	0
2010.03.15	00:00:00	2832	2871	2832	2853	58	0	0
2010.03.16	00:00:00	2835	2835	2835	2835	1	0	0
