<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	00:00:00	136.00	142.45	136.00	141.85	706	0	0
2010.01.05	00:00:00	141.85	142.70	140.40	141.00	376	0	0
2010.01.06	00:00:00	141.60	142.65	140.05	141.60	521	0	0
2010.01.07	00:00:00	141.55	142.40	139.85	141.90	476	0	0
2010.01.08	00:00:00	142.45	146.00	141.95	145.35	521	0	0
2010.01.11	00:00:00	145.85	146.95	142.55	143.70	666	0	0
2010.01.12	00:00:00	144.00	144.85	142.50	143.10	381	0	0
2010.01.13	00:00:00	142.95	146.05	142.75	145.15	441	0	0
2010.01.14	00:00:00	145.15	145.70	143.55	144.35	351	0	0
2010.01.15	00:00:00	143.85	144.55	140.40	140.75	521	0	0
2010.01.19	00:00:00	141.00	142.25	140.15	140.90	411	0	0
2010.01.20	00:00:00	140.50	140.50	138.45	139.20	281	0	0
2010.01.21	00:00:00	139.45	140.15	137.55	138.70	446	0	0
2010.01.22	00:00:00	138.75	141.25	137.30	139.60	706	0	0
2010.01.25	00:00:00	139.80	140.40	138.55	139.40	331	0	0
2010.01.26	00:00:00	139.05	139.20	137.00	138.25	361	0	0
2010.01.27	00:00:00	138.00	139.00	133.35	133.55	686	0	0
2010.01.28	00:00:00	133.95	134.90	132.05	132.95	471	0	0
2010.01.29	00:00:00	132.60	133.90	131.60	131.70	371	0	0
2010.02.01	00:00:00	132.00	133.20	131.20	132.55	346	0	0
2010.02.02	00:00:00	132.85	135.65	132.20	135.05	471	0	0
2010.02.03	00:00:00	135.45	135.95	132.40	133.00	466	0	0
2010.02.04	00:00:00	132.75	133.15	130.05	131.55	501	0	0
2010.02.05	00:00:00	131.45	131.85	128.50	128.80	406	0	0
2010.02.08	00:00:00	129.35	131.60	128.50	130.65	491	0	0
2010.02.09	00:00:00	130.45	132.20	129.45	130.40	546	0	0
2010.02.10	00:00:00	130.10	132.65	129.40	132.20	441	0	0
2010.02.11	00:00:00	132.75	134.10	131.65	132.20	436	0	0
2010.02.12	00:00:00	131.80	133.30	130.00	132.75	566	0	0
2010.02.16	00:00:00	133.15	134.80	132.00	133.45	531	0	0
2010.02.17	00:00:00	133.50	134.00	131.55	132.25	366	0	0
2010.02.18	00:00:00	132.50	135.00	131.90	134.10	461	0	0
2010.02.19	00:00:00	133.95	135.20	132.55	134.75	451	0	0
2010.02.22	00:00:00	134.75	135.10	129.40	129.85	651	0	0
2010.02.23	00:00:00	130.55	130.75	129.75	130.35	181	0	0
