<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.06.29	4748.0	4905.5	4741.0	4884.5	1926	0	0
2009.06.30	4884.5	4908.0	4790.5	4819.5	1701	0	0
2009.07.01	4819.5	4931.5	4807.0	4895.5	1731	0	0
2009.07.02	4862.0	4881.5	4705.0	4731.5	2226	0	0
2009.07.03	4734.5	4751.5	4685.5	4696.0	936	0	0
2009.07.06	4668.5	4693.5	4609.5	4662.0	1616	0	0
2009.07.07	4669.5	4705.5	4573.0	4596.0	1916	0	0
2009.07.08	4575.0	4633.0	4553.5	4565.5	1496	0	0
2009.07.09	4590.5	4671.5	4588.5	4622.0	1346	0	0
2009.07.10	4602.0	4646.5	4568.0	4574.5	1296	0	0
2009.07.13	4554.0	4752.5	4521.0	4706.0	3111	0	0
2009.07.14	4737.5	4804.5	4704.5	4777.0	1606	0	0
2009.07.15	4829.0	4948.5	4812.5	4921.0	1801	0	0
2009.07.16	4921.0	5022.5	4903.5	4966.0	1931	0	0
2009.07.17	5009.5	5023.5	4960.0	4988.0	1056	0	0
2009.07.20	5037.0	5063.0	5007.0	5035.5	1106	0	0
2009.07.21	5065.0	5143.0	5029.5	5092.0	2001	0	0
2009.07.22	5117.0	5142.0	5050.5	5116.0	1821	0	0
2009.07.23	5137.0	5271.0	5102.0	5249.0	2261	0	0
2009.07.24	5229.0	5307.0	5202.0	5225.0	2061	0	0
2009.07.27	5305.0	5325.5	5217.5	5242.5	1536	0	0
2009.07.28	5285.5	5306.0	5165.5	5178.0	1736	0	0
2009.07.29	5219.0	5313.0	5147.5	5271.0	2791	0	0
2009.07.30	5308.0	5401.0	5255.5	5374.5	2246	0	0
2009.07.31	5350.0	5389.5	5305.5	5342.0	1601	0	0
2009.08.03	5362.0	5466.5	5308.0	5426.5	2526	0	0
2009.08.04	5413.0	5436.5	5361.5	5418.5	1446	0	0
2009.08.05	5428.0	5456.0	5334.0	5361.0	1771	0	0
2009.08.06	5400.0	5427.0	5337.0	5370.5	1506	0	0
2009.08.07	5364.0	5483.5	5315.5	5463.5	2366	0	0
2009.08.10	5430.0	5446.0	5391.5	5422.5	1016	0	0
