<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.09.19	287.00	290.91	277.96	280.87	13610	0	0
2017.09.20	280.87	292.21	276.64	286.40	17650	0	0
2017.09.21	286.41	287.94	250.68	259.38	24235	0	0
2017.09.22	259.40	269.56	253.35	258.76	20110	0	0
2017.09.24	283.10	285.24	283.10	283.22	506	0	0
2017.09.25	283.16	296.07	281.13	295.48	14305	0	0
2017.09.26	295.47	295.74	286.24	288.47	12483	0	0
2017.09.27	288.46	309.12	286.82	308.98	12644	0	0
2017.09.28	308.99	310.90	296.96	301.50	12751	0	0
2017.09.29	301.39	302.42	277.04	291.57	13694	0	0
2017.10.01	299.59	300.45	299.51	300.11	611	0	0
2017.10.02	300.11	302.39	292.09	294.16	17021	0	0
2017.10.03	294.17	298.26	285.53	288.13	10838	0	0
2017.10.04	288.14	295.02	287.92	289.93	8904	0	0
2017.10.05	289.97	295.90	285.87	294.09	9510	0	0
2017.10.06	294.09	302.65	292.89	300.07	8495	0	0
2017.10.08	309.90	310.22	308.88	309.08	575	0	0
2017.10.09	309.13	309.14	284.69	297.31	12552	0	0
2017.10.10	297.32	304.25	290.49	298.62	13964	0	0
2017.10.11	298.63	302.57	295.93	300.44	10452	0	0
2017.10.12	300.44	306.65	300.15	304.81	13042	0	0
2017.10.13	304.85	346.06	297.39	337.81	21129	0	0
2017.10.15	327.60	331.96	327.60	331.96	524	0	0
2017.10.16	331.96	349.85	329.72	335.55	19270	0	0
2017.10.17	335.55	335.77	311.26	312.73	18934	0	0
2017.10.18	312.75	316.93	286.72	306.40	21986	0	0
2017.10.19	306.42	315.64	303.17	306.94	18698	0	0
2017.10.20	306.96	310.37	301.48	303.96	16189	0	0
2017.10.22	291.01	293.29	290.53	293.18	587	0	0
2017.10.23	293.19	294.34	274.25	282.57	21521	0	0
2017.10.24	282.56	310.39	278.46	295.92	22742	0	0
2017.10.25	295.91	299.22	288.05	295.46	16072	0	0
2017.10.26	295.45	299.44	292.57	294.32	13891	0	0
2017.10.27	294.31	297.85	291.85	294.67	14064	0	0
2017.10.29	303.74	305.39	303.49	304.52	541	0	0
2017.10.30	304.51	308.58	301.90	303.98	13297	0	0
2017.10.31	303.98	308.57	303.78	304.19	13209	0	0
2017.11.01	304.20	304.76	289.94	291.79	18317	0	0
2017.11.02	291.79	292.79	276.52	283.41	28346	0	0
2017.11.03	283.41	302.89	281.31	302.83	19065	0	0
2017.11.05	296.03	296.05	294.51	295.07	581	0	0
2017.11.06	295.08	303.46	289.92	296.98	16907	0	0
2017.11.07	296.95	302.26	286.98	290.79	18763	0	0
2017.11.08	290.80	318.04	287.54	307.71	20500	0	0
2017.11.09	307.71	329.28	304.61	317.17	19823	0	0
2017.11.10	316.95	324.18	289.78	294.15	19815	0	0
2017.11.12	309.65	310.36	303.72	304.02	1054	0	0
2017.11.13	304.02	317.36	303.54	312.55	27190	0	0
2017.11.14	312.55	335.92	312.55	331.67	20882	0	0
2017.11.15	331.68	338.84	324.23	327.67	27357	0	0
2017.11.16	327.66	333.81	321.07	329.36	30317	0	0
2017.11.17	329.35	333.46	324.94	330.11	22883	0	0
2017.11.19	351.26	358.35	351.26	357.69	883	0	0
2017.11.20	357.69	371.92	353.13	370.70	22181	0	0
2017.11.21	370.71	371.96	350.68	357.48	28808	0	0
2017.11.22	357.48	378.27	357.30	377.16	22587	0	0
2017.11.23	377.15	425.62	374.03	422.37	30552	0	0
2017.11.24	422.37	465.47	398.73	461.30	31674	0	0
2017.11.26	463.96	469.56	463.15	466.25	1341	0	201
2017.11.27	466.24	487.30	458.63	475.19	33299	0	201
2017.11.28	475.19	476.87	456.91	467.18	25076	0	0
2017.11.29	467.18	511.68	401.68	437.31	34772	0	200
2017.11.30	437.31	464.45	394.05	433.84	39577	0	200
2017.12.01	433.85	466.30	413.46	464.24	29310	0	0
2017.12.03	455.50	462.25	443.37	459.49	1783	0	201
2017.12.04	459.21	470.55	444.11	462.80	32135	0	201
2017.12.05	462.80	467.16	449.25	457.36	25149	0	201
2017.12.06	457.35	458.85	416.77	425.93	22300	0	201
2018.02.08	817.94	845.36	780.37	808.79	5522949	0	0
2018.02.09	808.63	880.38	779.66	859.71	5985190	0	0
2018.02.11	824.58	841.04	823.09	831.75	32394	0	0
2018.02.12	831.23	870.77	806.71	868.36	153235	0	0
2018.02.13	868.55	868.55	823.86	837.12	1726726	0	0
2018.02.14	837.13	921.58	835.19	920.60	4475109	0	0
2018.02.15	920.58	949.11	903.46	927.80	5346707	0	0
2018.02.16	927.80	946.69	907.16	935.34	4475905	0	0
2018.02.18	937.37	944.77	915.35	916.49	1002598	0	0
2018.02.19	916.49	955.41	907.97	933.71	5247403	0	0
2018.02.20	933.71	958.73	882.76	889.27	4468132	0	0
2018.02.21	890.48	904.54	814.36	838.40	5816392	0	0
2018.02.22	839.64	870.86	787.48	806.74	5604538	0	0
2018.02.23	807.59	881.59	786.00	829.52	4727287	0	0
2018.02.25	826.65	847.03	823.90	844.15	830282	0	0
2018.02.26	845.40	879.62	831.67	868.26	5078797	0	0
2018.02.27	868.25	895.00	860.36	875.66	4545847	0	0
2018.02.28	875.90	888.01	852.61	856.77	4206095	0	0
2018.03.01	856.80	881.16	845.12	869.76	3956794	0	0
2018.03.02	869.68	874.95	847.99	854.98	3635960	0	0
2018.03.04	859.09	866.78	857.90	859.93	765651	0	0
2018.03.05	859.93	868.98	851.56	851.75	3357277	0	0
2018.03.06	851.75	853.56	802.18	816.20	3338292	0	0
2018.03.07	816.20	824.49	723.39	750.75	4693197	0	0
2018.03.08	750.75	771.87	686.44	688.89	4993713	0	0
2018.03.09	690.45	710.73	638.64	695.99	5565850	0	0
2018.03.11	728.45	734.57	714.38	718.94	814285	0	0
2018.03.12	718.94	739.83	675.18	688.56	4631462	0	0
2018.03.13	688.57	713.58	677.44	687.07	4785767	0	0
2018.03.14	687.24	702.70	584.03	600.05	4209435	0	0
2018.03.15	600.86	619.82	569.71	612.31	4349272	0	0
2018.03.16	613.08	625.32	583.41	612.98	3388810	0	0
2018.03.18	486.88	560.64	471.00	529.83	1363930	0	0
2018.03.19	529.91	558.27	514.40	538.47	4568912	0	0
2018.03.20	539.15	566.87	515.36	559.11	3734337	0	0
2018.03.21	559.64	589.57	544.18	553.95	2737583	0	0
2018.03.22	553.96	577.89	515.53	537.09	2777583	0	0
2018.03.23	537.11	542.95	505.98	524.10	964280	0	0
2018.03.25	519.94	532.00	519.94	531.99	145192	0	0
2018.03.26	531.99	535.15	466.65	472.88	991168	0	0
2018.03.27	472.88	496.37	446.90	459.59	1339258	0	0
