<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.09.25	3058.0	3117.0	3049.0	3074.0	121	0	0
2015.09.28	3067.0	3101.0	3005.0	3011.0	137	0	0
2015.09.29	2997.0	3046.0	2968.0	3024.0	130	0	0
2015.09.30	3063.0	3106.0	3061.0	3094.0	60	0	0
2015.10.01	3130.0	3135.0	3040.0	3075.0	136	0	0
2015.10.02	3085.0	3126.0	3023.0	3126.0	166	0	0
2015.10.05	3143.0	3208.0	3119.0	3204.0	118	0	0
2015.10.06	3189.0	3225.0	3155.0	3200.0	130	0	0
2015.10.07	3209.0	3261.0	3205.0	3240.0	82	0	0
2015.10.08	3213.0	3251.0	3194.0	3248.0	80	0	0
2015.10.09	3259.0	3260.0	3224.0	3241.0	55	0	0
2015.10.12	3244.0	3255.0	3219.0	3233.0	62	0	0
2015.10.13	3229.0	3233.0	3182.0	3195.0	69	0	0
2015.10.14	3191.0	3218.0	3169.0	3185.0	93	0	0
2015.10.15	3208.0	3256.0	3198.0	3255.0	70	0	0
2015.10.16	3254.0	3266.0	3238.0	3263.0	48	0	0
2015.10.19	3260.0	3285.0	3244.0	3265.0	78	0	0
2015.10.20	3261.0	3274.0	3231.0	3250.0	76	0	0
2015.10.21	3263.0	3275.0	3229.0	3247.0	77	0	0
2015.10.22	3251.0	3376.0	3247.0	3362.0	148	0	0
2015.10.23	3382.0	3444.0	3371.0	3431.0	98	0	0
2015.10.26	3423.0	3427.0	3394.0	3409.0	53	0	0
2015.10.27	3406.0	3410.0	3373.0	3390.0	59	0	0
2015.10.28	3386.0	3446.0	3378.0	3440.0	83	0	0
2015.10.29	3431.0	3436.0	3380.0	3406.0	88	0	0
2015.10.30	3415.0	3421.0	3384.0	3401.0	61	0	0
2015.11.02	3376.0	3442.0	3371.0	3439.0	80	0	0
2015.11.03	3433.0	3451.0	3408.0	3439.0	81	0	0
2015.11.04	3445.0	3465.0	3423.0	3433.0	73	0	0
2015.11.05	3436.0	3469.0	3413.0	3440.0	109	0	0
2015.11.06	3444.0	3481.0	3416.0	3476.0	99	0	0
2015.11.09	3467.0	3471.0	3404.0	3423.0	91	0	0
2015.11.10	3428.0	3433.0	3386.0	3424.0	91	0	0
