<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.17	157.380	157.840	155.690	155.770	111324	0	0
2008.01.18	155.760	157.770	155.750	156.210	96148	0	0
2008.01.20	155.900	156.080	155.860	156.010	1683	0	0
2008.01.21	156.020	156.040	152.300	152.330	79025	0	0
2008.01.22	152.320	157.010	152.110	156.820	140336	0	0
2008.01.23	156.810	157.120	152.770	156.140	121547	0	0
2008.01.24	156.130	158.350	154.850	158.310	110809	0	0
2008.01.25	158.300	159.120	156.540	156.680	94070	0	0
2008.01.27	156.880	156.900	156.760	156.850	1902	0	0
2008.01.28	156.840	158.520	155.550	158.180	86468	0	0
2008.01.29	158.200	158.320	157.120	158.110	83174	0	0
2008.01.30	158.100	159.450	157.260	157.500	91512	0	0
2008.01.31	157.510	158.690	156.680	157.940	112095	0	0
2008.02.01	157.930	158.880	157.170	157.620	88335	0	0
2008.02.03	157.820	157.900	157.660	157.800	2458	0	0
2008.02.04	157.790	158.690	157.710	158.200	68500	0	0
2008.02.05	158.210	158.500	155.730	155.900	83184	0	0
2008.02.06	155.920	156.520	155.140	155.470	84132	0	0
2008.02.07	155.460	156.180	154.050	155.350	94215	0	0
2008.02.08	155.320	156.150	155.030	155.720	74795	0	0
2008.02.10	156.170	156.180	155.900	156.080	2109	0	0
2008.02.11	156.090	156.280	154.310	154.960	71635	0	0
2008.02.12	154.970	157.030	154.880	156.520	69775	0	0
2008.02.13	156.530	157.880	155.810	157.610	76301	0	0
2008.02.14	157.600	158.460	157.320	157.860	74032	0	0
2008.02.15	157.850	158.850	157.510	158.270	70229	0	0
2008.02.17	158.160	158.340	158.150	158.180	1289	0	0
2008.02.18	158.190	158.710	158.090	158.480	43891	0	0
2008.02.19	158.460	159.120	157.950	158.980	72806	0	0
2008.02.20	158.990	159.280	157.710	159.050	86766	0	0
2008.02.21	159.060	159.560	158.760	159.130	73173	0	0
2008.02.22	159.110	159.270	158.140	158.930	71673	0	0
2008.02.24	159.120	159.250	159.090	159.180	1624	0	0
2008.02.25	159.200	160.410	158.910	160.270	48284	0	0
2008.02.26	160.260	161.380	159.610	161.010	70154	0	0
2008.02.27	161.020	161.150	159.820	160.810	79005	0	0
2008.02.28	160.830	160.990	159.160	159.420	83109	0	0
2008.02.29	159.410	159.440	157.440	157.440	90495	0	0
2008.03.02	157.080	157.200	156.680	156.680	3713	0	0
2008.03.03	156.690	157.720	155.940	157.340	78138	0	0
2008.03.04	157.320	157.360	156.100	157.220	87142	0	0
2008.03.05	157.210	159.190	156.990	158.780	83786	0	0
2008.03.06	158.770	158.880	157.680	157.800	84803	0	0
2008.03.07	157.810	158.400	156.700	157.680	94858	0	0
2008.03.09	157.250	157.540	157.190	157.450	2986	0	0
2008.03.10	157.430	157.570	155.600	155.600	77030	0	0
2008.03.11	155.610	158.920	155.580	158.440	86258	0	0
2008.03.12	158.430	159.120	157.330	157.740	93094	0	0
2008.03.13	157.730	157.960	155.550	157.290	133214	0	0
2008.03.14	157.330	157.580	154.840	155.210	115863	0	0
2008.03.16	155.030	155.560	154.550	154.590	12370	0	0
2008.03.17	154.600	154.620	151.820	152.840	167110	0	0
2008.03.18	152.830	157.010	152.560	156.290	124730	0	0
2008.03.19	156.310	156.670	154.050	154.250	137715	0	0
2008.03.20	154.260	155.150	151.710	153.360	106656	0	0
2008.03.21	153.370	154.150	153.150	153.660	63565	0	0
2008.03.23	153.380	153.500	153.360	153.460	1520	0	0
2008.03.24	153.450	155.610	153.090	155.510	62765	0	0
2008.03.25	155.530	156.760	155.270	156.230	98374	0	0
2008.03.26	156.240	157.430	155.670	156.870	94921	0	0
2008.03.27	156.880	158.020	155.880	157.370	112769	0	0
2008.03.28	157.380	158.350	156.560	156.730	88220	0	0
2008.03.30	156.240	156.470	156.050	156.230	2878	0	0
2008.03.31	156.240	158.160	156.210	157.330	91156	0	0
2008.04.01	157.360	159.200	156.330	158.760	89731	0	0
2008.04.02	158.770	160.720	158.550	160.360	93962	0	0
2008.04.03	160.350	161.070	159.300	160.210	87575	0	0
2008.04.04	160.240	161.090	159.610	159.680	87732	0	0
2008.04.06	159.990	160.000	159.580	159.840	2320	0	0
2008.04.07	159.810	161.460	159.750	160.890	81250	0	0
2008.04.08	160.900	161.710	160.480	161.330	86207	0	0
2008.04.09	161.320	161.480	160.610	161.090	81308	0	0
2008.04.10	161.100	161.180	158.790	160.700	108347	0	0
2008.04.11	160.690	161.350	159.340	159.670	99370	0	0
2008.04.13	159.020	159.180	158.780	159.130	3158	0	0
2008.04.14	159.140	160.230	158.240	160.090	104835	0	0
2008.04.15	160.080	161.000	159.690	160.720	88810	0	0
2008.04.16	160.730	162.480	160.430	162.440	86364	0	0
2008.04.17	162.430	163.250	162.140	162.960	94607	0	0
2008.04.18	162.950	164.670	162.670	163.980	87695	0	0
2008.04.20	164.150	164.430	164.090	164.340	2334	0	0
2008.04.21	164.330	164.860	163.870	164.350	89193	0	0
2008.04.22	164.360	164.940	163.280	164.470	94673	0	0
2008.04.23	164.460	164.970	163.800	164.230	84625	0	0
2008.04.24	164.240	164.500	162.890	163.490	91243	0	0
2008.04.25	163.500	163.820	162.650	163.190	91096	0	0
2008.04.27	163.040	163.040	162.860	162.920	1088	0	0
2008.04.28	162.930	163.880	162.840	163.100	79205	0	0
