<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.17	00:00:00	157.380	157.650	156.770	156.780	11396	0	0
2008.01.17	04:00:00	156.770	157.620	156.630	157.380	15858	0	0
2008.01.17	08:00:00	157.390	157.590	156.660	156.850	18952	0	0
2008.01.17	12:00:00	156.860	157.840	156.420	157.300	28500	0	0
2008.01.17	16:00:00	157.310	157.480	156.740	156.980	20630	0	0
2008.01.17	20:00:00	156.970	157.050	155.690	155.770	15988	0	0
2008.01.18	00:00:00	155.760	156.720	155.750	156.620	13306	0	0
2008.01.18	04:00:00	156.630	157.190	156.430	156.890	14657	0	0
2008.01.18	08:00:00	156.900	157.460	156.470	157.310	18780	0	0
2008.01.18	12:00:00	157.300	157.770	156.350	156.580	20610	0	0
2008.01.18	16:00:00	156.570	156.730	155.800	155.920	22325	0	0
2008.01.18	20:00:00	155.930	156.210	155.810	156.210	6470	0	0
2008.01.20	20:00:00	155.900	156.080	155.860	156.010	1683	0	0
2008.01.21	00:00:00	156.020	156.040	155.260	155.320	11416	0	0
2008.01.21	04:00:00	155.310	155.460	154.320	154.560	13459	0	0
2008.01.21	08:00:00	154.580	154.580	152.820	153.120	17879	0	0
2008.01.21	12:00:00	153.110	153.990	153.070	153.230	14670	0	0
2008.01.21	16:00:00	153.220	153.370	152.880	153.230	12220	0	0
2008.01.21	20:00:00	153.220	153.330	152.300	152.330	9381	0	0
2008.01.22	00:00:00	152.320	153.790	152.310	153.520	13923	0	0
2008.01.22	04:00:00	153.500	153.510	152.250	152.440	18606	0	0
2008.01.22	08:00:00	152.420	154.850	152.110	154.340	29760	0	0
2008.01.22	12:00:00	154.350	156.230	153.670	156.080	39200	0	0
2008.01.22	16:00:00	156.090	156.430	155.390	155.570	23230	0	0
2008.01.22	20:00:00	155.560	157.010	155.440	156.820	15617	0	0
2008.01.23	00:00:00	156.810	157.120	155.670	155.700	12658	0	0
2008.01.23	04:00:00	155.690	155.870	155.150	155.560	13840	0	0
2008.01.23	08:00:00	155.550	155.710	153.940	154.180	23569	0	0
2008.01.23	12:00:00	154.170	154.410	152.770	153.870	30140	0	0
2008.01.23	16:00:00	153.880	154.640	152.930	154.320	23810	0	0
2008.01.23	20:00:00	154.330	156.440	154.310	156.140	17530	0	0
2008.01.24	00:00:00	156.130	156.260	155.270	155.490	15098	0	0
2008.01.24	04:00:00	155.500	155.910	155.070	155.270	12936	0	0
2008.01.24	08:00:00	155.260	156.590	154.850	156.500	22649	0	0
2008.01.24	12:00:00	156.510	157.350	155.930	156.910	25960	0	0
2008.01.24	16:00:00	156.900	158.060	156.720	157.600	21240	0	0
2008.01.24	20:00:00	157.620	158.350	157.480	158.310	12926	0	0
2008.01.25	00:00:00	158.300	158.410	157.950	158.220	9439	0	0
2008.01.25	04:00:00	158.210	158.930	158.010	158.780	15168	0	0
2008.01.25	08:00:00	158.790	159.120	158.100	158.110	18739	0	0
2008.01.25	12:00:00	158.100	158.630	157.610	157.650	21289	0	0
2008.01.25	16:00:00	157.630	157.780	156.540	156.990	23630	0	0
2008.01.25	20:00:00	156.980	157.120	156.570	156.680	5805	0	0
2008.01.27	20:00:00	156.880	156.900	156.760	156.850	1902	0	0
2008.01.28	00:00:00	156.840	157.150	156.120	156.230	5622	0	0
2008.01.28	04:00:00	156.220	156.510	155.550	156.250	13456	0	0
2008.01.28	08:00:00	156.240	156.960	156.210	156.700	15089	0	0
2008.01.28	12:00:00	156.710	158.140	156.650	157.970	21830	0	0
2008.01.28	16:00:00	157.960	158.210	157.490	157.820	18089	0	0
2008.01.28	20:00:00	157.830	158.520	157.670	158.180	12382	0	0
2008.01.29	00:00:00	158.200	158.280	157.120	157.420	14488	0	0
2008.01.29	04:00:00	157.410	157.950	157.240	157.620	13024	0	0
2008.01.29	08:00:00	157.600	158.040	157.120	157.790	13127	0	0
2008.01.29	12:00:00	157.800	158.320	157.410	157.870	21249	0	0
2008.01.29	16:00:00	157.880	158.220	157.860	158.070	13407	0	0
2008.01.29	20:00:00	158.080	158.310	157.960	158.110	7879	0	0
2008.01.30	00:00:00	158.100	158.120	157.580	157.660	10768	0	0
2008.01.30	04:00:00	157.670	157.880	157.380	157.490	12408	0	0
2008.01.30	08:00:00	157.500	158.450	157.460	158.330	14619	0	0
2008.01.30	12:00:00	158.320	158.840	158.190	158.710	16580	0	0
2008.01.30	16:00:00	158.720	159.450	158.460	159.290	17238	0	0
2008.01.30	20:00:00	159.280	159.450	157.260	157.500	19899	0	0
2008.01.31	00:00:00	157.510	158.310	157.470	157.920	13539	0	0
2008.01.31	04:00:00	157.910	158.690	157.900	158.380	17377	0	0
2008.01.31	08:00:00	158.390	158.580	157.710	157.900	20490	0	0
2008.01.31	12:00:00	157.910	158.060	156.680	157.420	25010	0	0
2008.01.31	16:00:00	157.400	158.520	157.350	158.320	22250	0	0
2008.01.31	20:00:00	158.330	158.460	157.790	157.940	13429	0	0
2008.02.01	00:00:00	157.930	158.360	157.930	158.170	10717	0	0
2008.02.01	04:00:00	158.160	158.430	157.870	158.360	8888	0	0
2008.02.01	08:00:00	158.350	158.780	158.130	158.670	14458	0	0
2008.02.01	12:00:00	158.650	158.880	157.170	157.470	31830	0	0
2008.02.01	16:00:00	157.480	157.950	157.180	157.630	17680	0	0
2008.02.01	20:00:00	157.620	157.890	157.470	157.620	4762	0	0
2008.02.03	20:00:00	157.820	157.900	157.660	157.800	2458	0	0
2008.02.04	00:00:00	157.790	158.360	157.710	158.230	8995	0	0
2008.02.04	04:00:00	158.220	158.460	158.040	158.300	11525	0	0
2008.02.04	08:00:00	158.310	158.690	158.190	158.480	16020	0	0
2008.02.04	12:00:00	158.470	158.610	157.920	158.180	15930	0	0
2008.02.04	16:00:00	158.200	158.420	157.990	158.220	9290	0	0
2008.02.04	20:00:00	158.230	158.360	158.090	158.200	6740	0	0
2008.02.05	00:00:00	158.210	158.290	158.070	158.160	4494	0	0
2008.02.05	04:00:00	158.170	158.500	158.090	158.370	7456	0	0
2008.02.05	08:00:00	158.380	158.500	157.610	157.980	18580	0	0
2008.02.05	12:00:00	157.990	158.020	156.250	156.510	22199	0	0
2008.02.05	16:00:00	156.520	156.930	156.190	156.660	17269	0	0
2008.02.05	20:00:00	156.650	156.780	155.730	155.900	13186	0	0
2008.02.06	00:00:00	155.920	156.200	155.720	155.970	9008	0	0
2008.02.06	04:00:00	155.980	156.080	155.280	155.450	12738	0	0
2008.02.06	08:00:00	155.440	155.840	155.140	155.650	20890	0	0
2008.02.06	12:00:00	155.640	156.520	155.490	156.430	18119	0	0
2008.02.06	16:00:00	156.440	156.440	155.770	155.910	12810	0	0
2008.02.06	20:00:00	155.900	156.120	155.380	155.470	10567	0	0
2008.02.07	00:00:00	155.460	155.650	155.340	155.460	6767	0	0
2008.02.07	04:00:00	155.450	155.950	155.450	155.620	10025	0	0
2008.02.07	08:00:00	155.610	155.990	155.330	155.600	14877	0	0
2008.02.07	12:00:00	155.590	155.780	154.050	154.620	27878	0	0
2008.02.07	16:00:00	154.610	156.180	154.500	155.300	22990	0	0
