<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.02	1.46520	1.47480	1.46410	1.47150	29749	0	0
2008.01.03	1.47140	1.47800	1.46860	1.47430	41205	0	0
2008.01.04	1.47440	1.48230	1.46950	1.47400	39311	0	0
2008.01.06	1.47460	1.47490	1.47430	1.47470	578	0	0
2008.01.07	1.47460	1.47470	1.46560	1.46790	34485	0	0
2008.01.08	1.46820	1.47410	1.46770	1.47060	37590	0	0
2008.01.09	1.47050	1.47410	1.46380	1.46600	37518	0	0
2008.01.10	1.46610	1.48120	1.46400	1.47980	44831	0	0
2008.01.11	1.47990	1.48190	1.47600	1.47760	39240	0	0
2008.01.13	1.48070	1.48160	1.48010	1.48050	852	0	0
2008.01.14	1.48060	1.49130	1.47960	1.48660	35415	0	0
2008.01.15	1.48670	1.49210	1.47750	1.48000	44693	0	0
2008.01.16	1.48010	1.48580	1.45930	1.46590	58695	0	0
2008.01.17	1.46600	1.47140	1.45890	1.46380	59539	0	0
2008.01.18	1.46390	1.46930	1.46020	1.46200	49619	0	0
2008.01.20	1.45970	1.46010	1.45870	1.45950	1366	0	0
2008.01.21	1.45970	1.45970	1.44110	1.44170	50076	0	0
2008.01.22	1.44180	1.46830	1.43650	1.46430	77168	0	0
2008.01.23	1.46420	1.46490	1.45100	1.46270	63450	0	0
2008.01.24	1.46260	1.47780	1.45910	1.47710	49999	0	0
2008.01.25	1.47700	1.47720	1.46600	1.46810	44561	0	0
2008.01.27	1.46910	1.47070	1.46850	1.46900	802	0	0
2008.01.28	1.46910	1.47980	1.46610	1.47850	39851	0	0
2008.01.29	1.47840	1.47860	1.47370	1.47680	35783	0	0
2008.01.30	1.47670	1.49060	1.47540	1.48270	49487	0	0
2008.01.31	1.48280	1.49130	1.48010	1.48640	55873	0	0
2008.02.01	1.48630	1.49490	1.47860	1.48010	50012	0	0
2008.02.03	1.47960	1.48030	1.47940	1.48010	1031	0	0
2008.02.04	1.48000	1.48470	1.47920	1.48270	36981	0	0
2008.02.05	1.48260	1.48300	1.46210	1.46340	49081	0	0
2008.02.06	1.46330	1.46700	1.45910	1.46120	43711	0	0
2008.02.07	1.46130	1.46510	1.44380	1.44750	53865	0	0
2008.02.08	1.44760	1.45460	1.44510	1.45040	41799	0	0
2008.02.10	1.45240	1.45260	1.45170	1.45260	863	0	0
2008.02.11	1.45270	1.45760	1.44810	1.45000	37403	0	0
2008.02.12	1.45010	1.46140	1.44960	1.45780	41901	0	0
2008.02.13	1.45790	1.45960	1.45310	1.45530	40187	0	0
2008.02.14	1.45540	1.46480	1.45480	1.46410	38318	0	0
2008.02.15	1.46390	1.47070	1.46300	1.46810	37163	0	0
2008.02.17	1.46720	1.46730	1.46670	1.46730	298	0	0
2008.02.18	1.46710	1.46900	1.46100	1.46480	29154	0	0
2008.02.19	1.46460	1.47560	1.46420	1.47280	40448	0	0
2008.02.20	1.47270	1.47300	1.46130	1.47200	45342	0	0
2008.02.21	1.47210	1.48360	1.47020	1.48120	42768	0	0
2008.02.22	1.48110	1.48610	1.47880	1.48280	37569	0	0
2008.02.24	1.48340	1.48370	1.48290	1.48310	411	0	0
2008.02.25	1.48300	1.48430	1.47940	1.48330	26543	0	0
2008.02.26	1.48320	1.50460	1.47780	1.49960	46453	0	0
2008.02.27	1.49950	1.51420	1.49810	1.51150	53721	0	0
2008.02.28	1.51160	1.52280	1.50720	1.51910	51943	0	0
2008.02.29	1.51870	1.52380	1.51430	1.51780	53144	0	0
2008.03.02	1.52120	1.52240	1.51890	1.52000	1249	0	0
2008.03.03	1.51990	1.52730	1.51590	1.51960	46032	0	0
2008.03.04	1.51950	1.52480	1.51730	1.52060	44226	0	0
2008.03.05	1.52070	1.53010	1.51450	1.52760	47091	0	0
2008.03.06	1.52750	1.53940	1.52710	1.53840	52536	0	0
2008.03.07	1.53830	1.54620	1.53130	1.53540	50886	0	0
2008.03.09	1.53990	1.54030	1.53930	1.53940	1096	0	0
2008.03.10	1.53930	1.54000	1.53120	1.53370	36147	0	0
2008.03.11	1.53380	1.54920	1.52810	1.53390	49203	0	0
2008.03.12	1.53380	1.55710	1.53380	1.55400	55996	0	0
2008.03.13	1.55390	1.56440	1.55220	1.56200	67464	0	0
2008.03.14	1.56210	1.56870	1.55310	1.56730	61860	0	0
2008.03.16	1.57040	1.57700	1.56850	1.57480	5970	0	0
2008.03.17	1.57500	1.59020	1.56850	1.57440	90759	0	0
2008.03.18	1.57430	1.58300	1.56130	1.56530	71955	0	0
2008.03.19	1.56550	1.57860	1.55810	1.56360	75254	0	0
2008.03.20	1.56370	1.56390	1.53960	1.54370	64100	0	0
2008.03.21	1.54340	1.54720	1.54060	1.54320	21129	0	0
2008.03.23	1.54120	1.54160	1.54050	1.54050	640	0	0
2008.03.24	1.54060	1.54550	1.53430	1.54330	35031	0	0
2008.03.25	1.54340	1.56580	1.54130	1.56100	52776	0	0
2008.03.26	1.56090	1.58590	1.55840	1.58210	58453	0	0
2008.03.27	1.58200	1.58450	1.57260	1.58100	64929	0	0
2008.03.28	1.58090	1.58380	1.57420	1.57940	56669	0	0
2008.03.30	1.58040	1.58070	1.57800	1.57880	1439	0	0
2008.03.31	1.57900	1.58960	1.57480	1.57570	53348	0	0
2008.04.01	1.57580	1.57850	1.55630	1.56130	57501	0	0
2008.04.02	1.56140	1.57010	1.55320	1.56750	59573	0	0
2008.04.03	1.56760	1.56850	1.55100	1.56630	57768	0	0
2008.04.04	1.56640	1.57730	1.56370	1.57370	57699	0	0
2008.04.06	1.57290	1.57290	1.57100	1.57280	1036	0	0
2008.04.07	1.57270	1.57360	1.56260	1.57020	45128	0	0
2008.04.08	1.57010	1.57980	1.56740	1.56920	55081	0	0
2008.04.09	1.56910	1.58640	1.56870	1.58220	47668	0	0
2008.04.10	1.58210	1.59130	1.57250	1.57410	60645	0	0
2008.04.11	1.57400	1.58550	1.57380	1.58070	54602	0	0
2008.04.13	1.57040	1.57220	1.56980	1.57210	1576	0	0
2008.04.14	1.57200	1.58840	1.56710	1.58240	57200	0	0
2008.04.15	1.58230	1.58740	1.57520	1.57830	52008	0	0
2008.04.16	1.57820	1.59780	1.57700	1.59530	58296	0	0
2008.04.17	1.59520	1.59830	1.58470	1.59000	62214	0	0
2008.04.18	1.59010	1.59560	1.57100	1.58160	57123	0	0
2008.04.20	1.58130	1.58210	1.57980	1.57980	1425	0	0
2008.04.21	1.57990	1.59450	1.57900	1.59100	48999	0	0
2008.04.22	1.59090	1.60180	1.58340	1.59850	61836	0	0
2008.04.23	1.59860	1.59980	1.58590	1.58730	53820	0	0
2008.04.24	1.58740	1.58840	1.56380	1.56820	64134	0	0
2008.04.25	1.56810	1.57070	1.55540	1.56290	63624	0	0
2008.04.27	1.56150	1.56150	1.55940	1.55990	717	0	0
2008.04.28	1.55980	1.56930	1.55960	1.56500	49420	0	0
2008.04.29	1.56490	1.56590	1.55390	1.55640	49433	0	0
2008.04.30	1.55650	1.56430	1.55160	1.56210	61197	0	0
2008.05.01	1.56230	1.56430	1.54290	1.54740	52529	0	0
2008.05.02	1.54750	1.54980	1.53600	1.54230	54808	0	0
2008.05.04	1.54290	1.54370	1.54230	1.54330	699	0	0
2008.05.05	1.54320	1.55190	1.54250	1.54950	37695	0	0
2008.05.06	1.54940	1.55940	1.54510	1.55350	45013	0	0
2008.05.07	1.55340	1.55350	1.53650	1.53820	48358	0	0
2008.05.08	1.53810	1.54400	1.52840	1.53990	59424	0	0
2008.05.09	1.53980	1.54870	1.53930	1.54800	45563	0	0
2008.05.11	1.54560	1.54590	1.54420	1.54530	1282	0	0
2008.05.12	1.54540	1.55690	1.53650	1.55350	51123	0	0
2008.05.13	1.55340	1.55650	1.54300	1.54720	56561	0	0
2008.05.14	1.54730	1.54850	1.53960	1.54660	49887	0	0
2008.05.15	1.54670	1.55460	1.54190	1.54490	54545	0	0
2008.05.16	1.54510	1.56010	1.54370	1.55760	50354	0	0
2008.05.18	1.55950	1.55950	1.55730	1.55800	704	0	0
2008.05.19	1.55780	1.56320	1.54870	1.55260	42225	0	0
2008.05.20	1.55270	1.56800	1.55030	1.56510	51205	0	0
2008.05.21	1.56500	1.57970	1.56310	1.57850	53019	0	0
2008.05.22	1.57830	1.58130	1.56930	1.57290	46896	0	0
2008.05.23	1.57280	1.57940	1.56960	1.57610	38345	0	0
2008.05.25	1.57650	1.57680	1.57490	1.57600	766	0	0
2008.05.26	1.57610	1.57910	1.57410	1.57770	22664	0	0
2008.05.27	1.57760	1.58180	1.56710	1.56900	43552	0	0
2008.05.28	1.56910	1.57600	1.56090	1.56540	47335	0	0
2008.05.29	1.56530	1.56630	1.54850	1.55130	54098	0	0
2008.05.30	1.55120	1.55670	1.54620	1.55540	45817	0	0
2008.06.01	1.55610	1.55630	1.55440	1.55630	1542	0	0
2008.06.02	1.55620	1.55880	1.54860	1.55440	45053	0	0
2008.06.03	1.55450	1.56280	1.54100	1.54470	55654	0	0
2008.06.04	1.54480	1.54830	1.54190	1.54300	52599	0	0
2008.06.05	1.54310	1.56000	1.53650	1.55850	54858	0	0
2008.06.06	1.55860	1.57770	1.55710	1.57770	53420	0	0
