<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.07.07	3095.0	3113.0	3025.0	3046.0	1271	0	0
2009.07.08	3025.0	3049.0	2989.0	3009.0	1041	0	0
2009.07.09	3014.0	3059.0	3011.0	3024.0	861	0	0
2009.07.10	3012.0	3024.0	2975.0	2984.0	701	0	0
2009.07.13	2976.0	3074.0	2957.0	3052.0	1581	0	0
2009.07.14	3058.0	3095.0	3044.0	3082.0	781	0	0
2009.07.15	3113.0	3187.0	3097.0	3172.0	1211	0	0
2009.07.16	3171.0	3245.0	3157.0	3200.0	1471	0	0
2009.07.17	3224.0	3235.0	3207.0	3221.0	531	0	0
2009.07.20	3251.0	3284.0	3232.0	3269.0	861	0	0
2009.07.21	3284.0	3330.0	3265.0	3302.0	1121	0	0
2009.07.22	3311.0	3318.0	3267.0	3303.0	941	0	0
2009.07.23	3311.0	3386.0	3281.0	3374.0	1471	0	0
2009.07.24	3363.0	3410.0	3347.0	3367.0	1221	0	0
2009.07.27	3413.0	3426.0	3351.0	3372.0	1091	0	0
2009.07.28	3394.0	3401.0	3321.0	3330.0	961	0	0
2009.07.29	3353.0	3401.0	3311.0	3365.0	1681	0	0
2009.07.30	3392.0	3457.0	3371.0	3436.0	1281	0	0
2009.07.31	3428.0	3454.0	3407.0	3423.0	891	0	0
2009.08.03	3446.0	3507.0	3416.0	3481.0	1471	0	0
2009.08.04	3478.0	3489.0	3441.0	3474.0	921	0	0
2009.08.05	3475.0	3508.0	3443.0	3458.0	1131	0	0
2009.08.06	3481.0	3513.0	3453.0	3479.0	1181	0	0
2009.08.07	3470.0	3540.0	3437.0	3522.0	1541	0	0
2009.08.10	3509.0	3511.0	3481.0	3505.0	561	0	0
2009.08.11	3505.0	3529.0	3444.0	3456.0	1211	0	0
2009.08.12	3466.0	3525.0	3436.0	3508.0	1361	0	0
2009.08.13	3508.0	3559.0	3500.0	3523.0	1031	0	0
2009.08.14	3528.0	3553.0	3478.0	3493.0	1151	0	0
2009.08.17	3493.0	3493.0	3394.0	3418.0	1231	0	0
2009.08.18	3438.0	3462.0	3418.0	3451.0	751	0	0
2009.08.19	3437.0	3482.0	3403.0	3450.0	1451	0	0
2009.08.20	3487.0	3517.0	3476.0	3506.0	631	0	0
2009.08.21	3487.0	3593.0	3485.0	3581.0	1221	0	0
2009.08.24	3630.0	3655.0	3613.0	3645.0	691	0	0
2009.08.25	3619.0	3685.0	3612.0	3675.0	901	0	0
2009.08.26	3665.0	3689.0	3651.0	3664.0	751	0	0
2009.08.27	3660.0	3687.0	3627.0	3645.0	1051	0	0
2009.08.28	3666.0	3726.0	3666.0	3695.0	911	0	0
2009.08.31	3670.0	3685.0	3648.0	3656.0	601	0	0
2009.09.01	3684.0	3688.0	3563.0	3580.0	1461	0	0
2009.09.02	3578.0	3584.0	3528.0	3575.0	1091	0	0
2009.09.03	3574.0	3596.0	3543.0	3553.0	851	0	0
2009.09.04	3562.0	3626.0	3562.0	3597.0	931	0	0
2009.09.07	3615.0	3660.0	3613.0	3651.0	581	0	0
2009.09.08	3655.0	3678.0	3642.0	3661.0	661	0	0
2009.09.09	3650.0	3716.0	3644.0	3708.0	861	0	0
2009.09.10	3719.0	3733.0	3679.0	3707.0	961	0	0
2009.09.11	3722.0	3758.0	3717.0	3736.0	681	0	0
2009.09.14	3700.0	3746.0	3674.0	3731.0	1131	0	0
2009.09.15	3733.0	3770.0	3724.0	3751.0	741	0	0
2009.09.16	3768.0	3835.0	3763.0	3815.0	971	0	0
2009.09.17	3841.0	3846.0	3805.0	3835.0	761	0	0
2009.09.18	3820.0	3855.0	3811.0	3844.0	641	0	0
2009.09.21	3835.0	3838.0	3789.0	3813.0	761	0	0
2009.09.22	3832.0	3859.0	3813.0	3823.0	831	0	0
2009.09.23	3822.0	3853.0	3799.0	3823.0	1071	0	0
2009.09.24	3809.0	3853.0	3742.0	3759.0	1721	0	0
2009.09.25	3761.0	3770.0	3723.0	3738.0	711	0	0
2009.09.28	3724.0	3837.0	3702.0	3827.0	1671	0	0
2009.09.29	3825.0	3846.0	3798.0	3816.0	871	0	0
2009.09.30	3822.0	3844.0	3761.0	3797.0	1411	0	0
2009.10.01	3803.0	3823.0	3694.0	3720.0	1751	0	0
2009.10.02	3694.0	3697.0	3627.0	3649.0	951	0	0
2009.10.05	3648.0	3700.0	3629.0	3677.0	1131	0	0
2009.10.06	3690.0	3773.0	3678.0	3772.0	1081	0	0
2009.10.07	3761.0	3794.0	3749.0	3759.0	881	0	0
2009.10.08	3806.0	3822.0	3778.0	3808.0	861	0	0
