<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.06.09	4405.2	4445.5	4387.3	4404.8	1161	0	0
2009.06.10	4404.8	4505.9	4404.8	4436.8	1703	0	0
2009.06.11	4436.8	4478.4	4409.2	4461.9	1134	0	0
2009.06.12	4461.9	4472.0	4427.2	4442.0	698	0	0
2009.06.15	4442.0	4442.0	4319.8	4326.0	1285	0	0
2009.06.16	4326.0	4372.9	4321.6	4328.6	1001	0	0
2009.06.17	4328.6	4328.7	4254.6	4278.5	982	0	0
2009.06.18	4278.5	4305.4	4239.7	4280.9	1291	0	0
2009.06.19	4280.9	4370.3	4279.9	4345.9	1159	0	0
2009.06.22	4345.9	4345.9	4234.1	4234.1	1119	0	0
2009.06.23	4234.1	4264.0	4214.9	4230.0	942	0	0
2009.06.24	4230.0	4293.0	4218.4	4280.0	993	0	0
2009.06.25	4280.0	4290.4	4213.4	4252.6	1267	0	0
2009.06.26	4252.6	4307.2	4216.5	4241.0	1699	0	0
2009.06.29	4241.0	4303.6	4235.2	4294.0	839	0	0
2009.06.30	4294.0	4311.2	4230.6	4249.2	1165	0	0
2009.07.01	4249.2	4353.0	4249.2	4340.7	1162	0	0
2009.07.02	4340.7	4340.7	4230.8	4234.3	1135	0	0
2009.07.03	4234.3	4264.8	4221.2	4236.3	853	0	0
2009.07.06	4236.3	4236.3	4172.3	4194.9	867	0	0
2009.07.07	4194.9	4242.1	4184.4	4187.0	1076	0	0
2009.07.08	4187.0	4197.6	4130.6	4140.2	873	0	0
2009.07.09	4140.2	4186.4	4140.2	4158.7	740	0	0
2009.07.10	4158.7	4160.5	4123.5	4127.2	426	0	0
2009.07.13	4127.2	4209.3	4096.1	4202.1	1516	0	0
2009.07.14	4202.1	4256.4	4198.7	4237.7	799	0	0
2009.07.15	4237.7	4346.5	4237.7	4346.5	1089	0	0
2009.07.16	4346.5	4385.2	4329.4	4361.8	964	0	0
2009.07.17	4361.8	4411.9	4361.8	4388.8	733	0	0
2009.07.20	4388.8	4464.8	4388.8	4443.6	973	0	0
2009.07.21	4443.6	4502.1	4437.8	4481.2	911	0	0
2009.07.22	4481.2	4498.0	4449.2	4493.7	852	0	0
2009.07.23	4493.7	4566.8	4472.1	4559.8	1234	0	0
2009.07.24	4559.8	4603.2	4536.5	4576.6	1167	0	0
2009.07.27	4576.6	4615.1	4553.1	4586.1	1146	0	0
2009.07.28	4586.1	4616.4	4520.3	4528.8	1350	0	0
2009.07.29	4528.8	4581.8	4512.1	4547.5	1208	0	0
2009.07.30	4547.5	4646.9	4547.5	4631.6	1148	0	0
2009.07.31	4631.6	4645.5	4599.7	4608.4	685	0	0
2009.08.03	4608.4	4710.2	4595.6	4682.5	1552	0	0
2009.08.04	4682.5	4682.5	4627.7	4671.4	986	0	0
2009.08.05	4671.4	4696.6	4630.6	4647.1	1078	0	0
2009.08.06	4647.1	4729.6	4647.1	4690.5	1217	0	0
2009.08.07	4690.5	4743.6	4632.2	4731.6	1818	0	0
2009.08.10	4731.6	4731.6	4688.8	4722.2	763	0	0
2009.08.11	4722.2	4744.1	4657.8	4671.3	1218	0	0
2009.08.12	4671.3	4722.6	4631.7	4716.8	1364	0	0
2009.08.13	4716.8	4790.0	4716.8	4755.5	1078	0	0
2009.08.14	4755.5	4790.2	4699.5	4714.0	1400	0	0
2009.08.17	4714.0	4714.0	4610.3	4645.0	1385	0	0
2009.08.18	4645.0	4688.2	4645.0	4685.8	457	0	0
2009.08.19	4685.8	4698.5	4625.4	4689.7	1424	0	0
2009.08.20	4689.7	4766.9	4689.7	4756.6	876	0	0
2009.08.21	4756.6	4858.5	4735.8	4850.9	1512	0	0
2009.08.24	4850.9	4911.4	4850.9	4896.2	758	0	0
2009.08.25	4896.2	4923.3	4858.9	4916.8	1083	0	0
2009.08.26	4916.8	4927.1	4872.4	4890.6	833	0	0
2009.08.27	4890.6	4906.2	4855.3	4869.4	807	0	0
2009.08.28	4869.4	4944.2	4869.4	4908.9	1102	0	0
2009.09.01	4908.9	4921.2	4819.7	4819.7	1139	0	0
2009.09.02	4819.7	4821.9	4776.5	4817.6	888	0	0
2009.09.03	4817.6	4841.5	4788.9	4796.8	845	0	0
2009.09.04	4796.8	4873.8	4796.8	4851.7	992	0	0
2009.09.07	4851.7	4941.7	4851.7	4933.2	986	0	0
2009.09.08	4933.2	4972.0	4926.1	4947.3	778	0	0
2009.09.09	4947.3	5004.3	4928.4	5004.3	949	0	0
2009.09.10	5004.3	5035.3	4956.6	4987.7	1409	0	0
2009.09.11	4987.7	5038.8	4987.7	5011.5	785	0	0
2009.09.14	5011.5	5020.9	4953.7	5018.9	1271	0	0
2009.09.15	5018.9	5062.7	4996.5	5042.1	1093	0	0
2009.09.16	5042.1	5131.3	5042.1	5124.1	965	0	0
2009.09.17	5124.1	5173.1	5124.1	5164.0	582	0	0
2009.09.18	5164.0	5183.9	5147.1	5172.9	648	0	0
2009.09.21	5172.9	5182.2	5107.7	5134.4	1106	0	0
