<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.02	1.98130	1.98730	1.97740	1.98150	45197	0	0
2008.01.03	1.98160	1.98380	1.97030	1.97370	57393	0	0
2008.01.04	1.97360	1.98490	1.96730	1.97410	58179	0	0
2008.01.06	1.97360	1.97380	1.97150	1.97180	1394	0	0
2008.01.07	1.97170	1.97550	1.96540	1.96670	47262	0	0
2008.01.08	1.96680	1.98270	1.96660	1.97160	55751	0	0
2008.01.09	1.97150	1.97620	1.95520	1.95720	54927	0	0
2008.01.10	1.95700	1.96690	1.95390	1.96130	68308	0	0
2008.01.11	1.96140	1.96350	1.94810	1.95650	59446	0	0
2008.01.13	1.95890	1.95940	1.95790	1.95890	1161	0	0
2008.01.14	1.95910	1.96470	1.95250	1.95400	47020	0	0
2008.01.15	1.95410	1.97400	1.95360	1.95800	64262	0	0
2008.01.16	1.95780	1.97200	1.95270	1.96240	78102	0	0
2008.01.17	1.96230	1.97890	1.96040	1.97010	81063	0	0
2008.01.18	1.97000	1.97240	1.95120	1.95530	65926	0	0
2008.01.20	1.95710	1.95830	1.95670	1.95710	732	0	0
2008.01.21	1.95680	1.95700	1.94000	1.94030	59100	0	0
2008.01.22	1.94020	1.96450	1.93370	1.96030	96873	0	0
2008.01.23	1.96020	1.96160	1.94630	1.95670	78059	0	0
2008.01.24	1.95680	1.97820	1.95010	1.97780	70114	0	0
2008.01.25	1.97750	1.98470	1.97460	1.98300	60502	0	0
2008.01.27	1.98310	1.98710	1.98310	1.98650	935	0	0
2008.01.28	1.98660	1.98900	1.97310	1.98450	47795	0	0
2008.01.29	1.98500	1.99280	1.98110	1.98910	51868	0	0
2008.01.30	1.98920	1.99570	1.98240	1.98380	63286	0	0
2008.01.31	1.98370	1.99440	1.98320	1.99020	68028	0	0
2008.02.01	1.99000	1.99380	1.96460	1.96500	66190	0	0
2008.02.03	1.96390	1.96570	1.96270	1.96520	1756	0	0
2008.02.04	1.96490	1.97860	1.96490	1.97460	47852	0	0
2008.02.05	1.97470	1.97630	1.96030	1.96450	60550	0	0
2008.02.06	1.96460	1.96610	1.95520	1.96030	53747	0	0
2008.02.07	1.96040	1.96210	1.93860	1.94230	66335	0	0
2008.02.08	1.94210	1.95080	1.94010	1.94580	50484	0	0
2008.02.10	1.94640	1.94640	1.94540	1.94620	376	0	0
2008.02.11	1.94630	1.95290	1.94010	1.94940	49380	0	0
