<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.01	833.60	833.89	833.51	833.70	67	0	0
2008.01.02	836.70	861.35	834.80	857.50	3231	0	0
2008.01.03	857.50	869.15	853.40	864.90	2411	0	0
2008.01.04	864.75	868.35	854.55	859.60	2246	0	0
2008.01.07	860.00	865.20	855.60	858.10	1731	0	0
2008.01.08	858.05	881.25	856.55	878.00	2946	0	0
2008.01.09	877.95	891.70	872.10	878.80	3836	0	0
2008.01.10	878.85	895.25	866.40	893.30	4326	0	0
2008.01.11	893.35	898.10	887.90	895.40	1836	0	0
2008.01.14	896.20	914.30	892.70	904.00	3541	0	0
2008.01.15	904.31	914.00	887.60	887.90	3640	0	0
2008.01.16	887.70	899.83	874.55	877.00	3987	0	0
2008.01.17	876.50	890.45	874.90	877.80	2981	0	0
2008.01.18	877.80	888.35	870.42	883.10	3057	0	0
2008.01.21	884.55	884.55	858.95	865.00	3166	0	0
2008.01.22	865.10	894.25	850.05	892.30	6121	0	0
2008.01.23	892.40	895.80	876.85	891.07	3658	0	0
2008.01.24	890.88	913.40	889.20	912.90	2639	0	0
2008.01.25	913.00	923.75	907.20	913.90	3221	0	0
2008.01.28	913.50	929.60	911.50	928.38	2133	0	0
2008.01.29	928.80	933.45	920.00	923.44	2155	0	0
2008.01.30	923.44	936.30	916.50	929.40	3365	0	0
2008.01.31	929.50	930.10	919.20	926.10	1841	0	0
2008.02.01	926.30	936.95	904.00	905.30	4491	0	0
2008.02.04	910.38	912.90	892.45	903.60	3413	0	0
2008.02.05	903.80	907.10	885.00	888.20	2861	0	0
2008.02.06	888.40	907.48	886.10	900.30	3087	0	0
2008.02.07	900.50	911.30	896.90	910.70	1861	0	0
2008.02.08	910.80	923.35	905.63	922.95	2330	0	0
2008.02.11	923.85	927.35	916.35	923.45	2161	0	0
2008.02.12	923.40	924.95	903.20	906.40	2651	0	0
2008.02.13	906.40	910.40	896.65	906.60	2731	0	0
2008.02.14	906.55	914.05	901.70	908.20	2306	0	0
2008.02.15	908.25	915.65	898.30	902.50	2896	0	0
2008.02.18	902.60	907.73	900.50	905.20	1187	0	0
2008.02.19	905.40	930.75	905.20	927.80	2871	0	0
2008.02.20	927.90	945.75	913.70	944.00	4801	0	0
2008.02.21	944.10	954.00	938.05	946.10	2991	0	0
2008.02.22	945.95	949.80	935.85	945.20	2716	0	0
2008.02.25	944.75	952.30	933.15	939.60	3316	0	0
2008.02.26	939.70	950.30	926.80	948.10	3861	0	0
2008.02.27	948.10	965.05	948.10	957.90	2411	0	0
2008.02.28	957.95	972.60	953.40	970.90	2546	0	0
2008.02.29	970.50	976.30	965.00	973.90	1921	0	0
2008.03.03	974.10	989.70	973.63	983.70	2255	0	0
2008.03.04	983.65	988.25	957.10	964.00	4266	0	0
2008.03.05	964.05	992.37	960.00	989.80	3900	0	0
2008.03.06	989.70	992.20	965.45	979.00	4281	0	0
2008.03.07	979.05	988.30	969.87	973.20	3102	0	0
2008.03.10	973.00	980.70	961.45	972.90	3841	0	0
2008.03.11	972.95	985.60	964.95	973.30	4096	0	0
2008.03.12	973.35	982.90	968.55	982.90	1916	0	0
2008.03.13	982.70	1000.25	981.80	994.80	2481	0	0
2008.03.14	994.85	1007.45	990.90	1002.90	2506	0	0
2008.03.17	1003.25	1031.90	994.53	1002.70	7420	0	0
2008.03.18	1002.53	1012.55	976.70	981.40	5058	0	0
2008.03.19	981.55	997.30	937.50	944.10	8216	0	0
2008.03.20	944.20	944.90	905.32	910.40	4537	0	0
2008.03.21	910.30	920.99	910.00	919.50	1279	0	0
2008.03.24	919.50	926.70	906.90	915.30	3541	0	0
2008.03.25	915.00	939.20	911.90	939.00	3061	0	0
2008.03.26	938.90	954.60	934.70	954.00	2471	0	0
2008.03.27	954.05	954.90	940.60	947.30	2186	0	0
2008.03.28	947.20	950.90	923.76	931.40	3849	0	0
2008.03.31	930.40	941.10	912.70	916.90	4331	0	0
2008.04.01	916.72	921.00	873.35	882.70	6129	0	0
2008.04.02	882.65	905.70	882.15	904.50	2526	0	0
2008.04.03	904.55	908.95	889.75	902.90	3676	0	0
2008.04.04	902.95	914.80	900.40	913.80	1796	0	0
2008.04.07	912.90	929.55	911.05	920.00	2991	0	0
2008.04.08	920.15	925.90	908.75	914.90	2906	0	0
2008.04.09	914.85	935.73	903.20	934.00	4592	0	0
2008.04.10	933.95	939.80	922.33	928.80	2980	0	0
2008.04.11	928.85	932.20	918.40	925.30	2406	0	0
2008.04.14	925.30	931.50	914.50	924.50	3321	0	0
2008.04.15	924.30	936.88	923.40	927.90	2337	0	0
2008.04.16	927.80	949.25	924.65	944.40	3261	0	0
2008.04.17	944.50	953.05	937.70	938.80	2501	0	0
2008.04.18	938.75	946.85	905.01	916.90	6184	0	0
2008.04.21	916.40	929.00	911.75	914.20	3231	0	0
2008.04.22	914.20	925.67	912.30	915.90	2505	0	0
2008.04.23	915.80	923.05	897.47	904.25	3962	0	0
2008.04.24	904.28	906.72	883.45	886.25	2852	0	0
2008.04.25	886.28	896.83	878.05	886.30	3755	0	0
2008.04.28	886.15	895.98	886.15	893.25	1257	0	0
2008.04.29	893.23	893.85	868.90	870.50	2718	0	0
2008.04.30	870.58	878.85	862.80	877.55	2514	0	0
2008.05.01	877.45	881.80	847.55	852.70	4376	0	0
2008.05.02	852.68	859.33	845.50	856.45	2390	0	0
2008.05.05	856.45	874.75	856.45	874.20	1886	0	0
2008.05.06	874.12	883.20	871.70	876.40	2073	0	0
2008.05.07	876.33	881.55	864.22	868.75	2709	0	0
2008.05.08	868.70	885.87	865.50	881.85	2760	0	0
2008.05.09	881.90	889.93	870.68	884.85	3556	0	0
2008.05.12	884.25	889.76	877.95	882.70	2208	0	0
2008.05.13	882.65	885.47	861.53	866.95	3219	0	0
2008.05.14	866.90	870.98	860.25	864.00	1857	0	0
2008.05.15	864.05	887.88	862.24	881.65	3369	0	0
2008.05.16	881.78	905.08	880.38	902.40	2879	0	0
2008.05.19	902.30	913.87	900.96	905.20	2293	0	0
2008.05.20	905.15	923.75	903.05	919.25	2731	0	0
2008.05.21	919.22	932.55	916.88	932.55	1802	0	0
