<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.08.18	10105.0	10365.0	10105.0	10320.0	306	0	0
2009.08.19	10300.0	10325.0	10145.0	10290.0	351	0	0
2009.08.20	10325.0	10460.0	10305.0	10425.0	211	0	0
2009.08.21	10420.0	10555.0	10320.0	10530.0	361	0	0
2009.08.24	10520.0	10670.0	10520.0	10610.0	211	0	0
2009.08.25	10575.0	10705.0	10575.0	10605.0	231	0	0
2009.08.26	10655.0	10680.0	10580.0	10640.0	186	0	0
2009.08.27	10655.0	10655.0	10460.0	10570.0	306	0	0
2009.08.28	10570.0	10660.0	10535.0	10590.0	231	0	0
2009.08.31	10615.0	10615.0	10400.0	10465.0	281	0	0
2009.09.01	10505.0	10545.0	10275.0	10290.0	326	0	0
2009.09.02	10295.0	10300.0	10180.0	10245.0	191	0	0
2009.09.03	10260.0	10275.0	10165.0	10245.0	206	0	0
2009.09.04	10235.0	10360.0	10205.0	10335.0	211	0	0
2009.09.08	10315.0	10440.0	10250.0	10420.0	276	0	0
2009.09.09	10415.0	10460.0	10300.0	10455.0	281	0	0
2009.09.10	10450.0	10560.0	10425.0	10545.0	176	0	0
2009.09.11	10570.0	10570.0	10415.0	10445.0	186	0	0
2009.09.14	10255.0	10370.0	10215.0	10330.0	236	0	0
2009.09.15	10375.0	10375.0	10225.0	10315.0	241	0	0
2009.09.16	10310.0	10410.0	10280.0	10385.0	186	0	0
2009.09.17	10430.0	10510.0	10390.0	10455.0	216	0	0
2009.09.18	10440.0	10490.0	10400.0	10450.0	171	0	0
2009.09.21	10420.0	10450.0	10365.0	10435.0	156	0	0
2009.09.22	10495.0	10505.0	10420.0	10450.0	126	0	0
2009.09.23	10445.0	10505.0	10375.0	10400.0	216	0	0
2009.09.24	10385.0	10560.0	10360.0	10400.0	386	0	0
2009.09.25	10355.0	10375.0	10185.0	10200.0	226	0	0
2009.09.28	10070.0	10255.0	10065.0	10245.0	206	0	0
2009.09.29	10175.0	10205.0	10085.0	10115.0	181	0	0
2009.09.30	10160.0	10170.0	10010.0	10065.0	226	0	0
2009.10.01	10045.0	10060.0	9815.0	9845.0	291	0	0
2009.10.02	9795.0	9795.0	9600.0	9735.0	331	0	0
2009.10.05	9775.0	9800.0	9685.0	9785.0	221	0	0
2009.10.06	9840.0	9850.0	9730.0	9745.0	146	0	0
2009.10.07	9780.0	9805.0	9730.0	9795.0	136	0	0
2009.10.08	9795.0	9945.0	9790.0	9900.0	206	0	0
2009.10.09	10030.0	10095.0	9955.0	10085.0	226	0	0
2009.10.12	10105.0	10190.0	10085.0	10105.0	211	0	0
2009.10.13	10105.0	10130.0	10030.0	10075.0	171	0	0
2009.10.14	10150.0	10215.0	10120.0	10205.0	136	0	0
2009.10.15	10235.0	10345.0	10165.0	10325.0	271	0	0
2009.10.16	10310.0	10320.0	10170.0	10215.0	206	0	0
2009.10.19	10305.0	10365.0	10265.0	10310.0	196	0	0
2009.10.20	10355.0	10370.0	10240.0	10335.0	241	0	0
2009.10.21	10350.0	10410.0	10255.0	10270.0	231	0	0
2009.10.22	10270.0	10365.0	10215.0	10355.0	216	0	0
2009.10.23	10350.0	10370.0	10220.0	10255.0	206	0	0
