<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.08.18	00:00:00	10105.0	10365.0	10105.0	10320.0	306	0	0
2009.08.19	00:00:00	10300.0	10325.0	10145.0	10290.0	351	0	0
2009.08.20	00:00:00	10325.0	10460.0	10305.0	10425.0	211	0	0
2009.08.21	00:00:00	10420.0	10555.0	10320.0	10530.0	361	0	0
2009.08.24	00:00:00	10520.0	10670.0	10520.0	10610.0	211	0	0
2009.08.25	00:00:00	10575.0	10705.0	10575.0	10605.0	231	0	0
2009.08.26	00:00:00	10655.0	10680.0	10580.0	10640.0	186	0	0
2009.08.27	00:00:00	10655.0	10655.0	10460.0	10570.0	306	0	0
2009.08.28	00:00:00	10570.0	10660.0	10535.0	10590.0	231	0	0
2009.08.31	00:00:00	10615.0	10615.0	10400.0	10465.0	281	0	0
2009.09.01	00:00:00	10505.0	10545.0	10275.0	10290.0	326	0	0
2009.09.02	00:00:00	10295.0	10300.0	10180.0	10245.0	191	0	0
2009.09.03	00:00:00	10260.0	10275.0	10165.0	10245.0	206	0	0
2009.09.04	00:00:00	10235.0	10360.0	10205.0	10335.0	211	0	0
2009.09.08	00:00:00	10315.0	10440.0	10250.0	10420.0	276	0	0
2009.09.09	00:00:00	10415.0	10460.0	10300.0	10455.0	281	0	0
2009.09.10	00:00:00	10450.0	10560.0	10425.0	10545.0	176	0	0
2009.09.11	00:00:00	10570.0	10570.0	10415.0	10445.0	186	0	0
2009.09.14	00:00:00	10255.0	10370.0	10215.0	10330.0	236	0	0
2009.09.15	00:00:00	10375.0	10375.0	10225.0	10315.0	241	0	0
2009.09.16	00:00:00	10310.0	10410.0	10280.0	10385.0	186	0	0
2009.09.17	00:00:00	10430.0	10510.0	10390.0	10455.0	216	0	0
2009.09.18	00:00:00	10440.0	10490.0	10400.0	10450.0	171	0	0
2009.09.21	00:00:00	10420.0	10450.0	10365.0	10435.0	156	0	0
2009.09.22	00:00:00	10495.0	10505.0	10420.0	10450.0	126	0	0
2009.09.23	00:00:00	10445.0	10505.0	10375.0	10400.0	216	0	0
2009.09.24	00:00:00	10385.0	10560.0	10360.0	10400.0	386	0	0
