<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.12.23	5.732	5.857	5.598	5.821	430	0	0
2009.12.24	5.860	5.926	5.600	5.643	436	0	0
2009.12.28	5.752	6.006	5.752	5.990	271	0	0
2009.12.29	5.985	6.035	5.780	5.814	340	0	0
2009.12.30	5.835	5.929	5.672	5.709	389	0	0
2009.12.31	5.700	5.873	5.505	5.572	609	0	0
2010.01.04	5.705	5.894	5.705	5.884	200	0	0
2010.01.05	5.837	5.858	5.615	5.637	287	0	0
2010.01.06	5.690	6.075	5.650	6.009	532	0	0
2010.01.07	6.033	6.108	5.763	5.806	464	0	0
2010.01.08	5.827	5.853	5.621	5.749	387	0	0
2010.01.11	5.584	5.625	5.371	5.454	379	0	0
2010.01.12	5.470	5.605	5.354	5.591	382	0	0
2010.01.13	5.588	5.785	5.432	5.733	562	0	0
2010.01.14	5.746	5.804	5.483	5.588	485	0	0
2010.01.15	5.587	5.732	5.519	5.691	323	0	0
2010.01.19	5.640	5.687	5.444	5.557	404	0	0
2010.01.20	5.595	5.624	5.464	5.496	222	0	0
2010.01.21	5.487	5.719	5.480	5.615	351	0	0
2010.01.22	5.653	5.869	5.650	5.819	273	0	0
2010.01.25	5.821	5.854	5.671	5.722	268	0	0
2010.01.26	5.707	5.721	5.434	5.485	353	0	0
2010.01.27	5.460	5.482	5.223	5.274	333	0	0
2010.01.28	5.230	5.258	5.060	5.138	305	0	0
2010.01.29	5.190	5.285	5.094	5.131	324	0	0
2010.02.01	5.250	5.450	5.236	5.434	245	0	0
2010.02.02	5.434	5.538	5.378	5.454	301	0	0
2010.02.03	5.446	5.558	5.360	5.419	370	0	0
2010.02.04	5.406	5.500	5.227	5.416	537	0	0
2010.02.05	5.485	5.598	5.383	5.515	401	0	0
2010.02.08	5.602	5.679	5.396	5.401	366	0	0
2010.02.09	5.420	5.466	5.262	5.290	279	0	0
2010.02.10	5.348	5.380	5.240	5.292	225	0	0
2010.02.11	5.297	5.416	5.286	5.396	162	0	0
2010.02.12	5.405	5.556	5.204	5.468	642	0	0
2010.02.16	5.493	5.560	5.305	5.310	328	0	0
2010.02.17	5.350	5.414	5.274	5.386	245	0	0
2010.02.18	5.386	5.419	5.135	5.172	355	0	0
2010.02.19	5.150	5.167	5.008	5.044	213	0	0
2010.02.22	4.942	4.977	4.841	4.895	226	0	0
2010.02.23	4.915	4.934	4.766	4.778	200	0	0
2010.02.24	4.773	4.884	4.745	4.816	236	0	0
2010.02.25	4.876	4.894	4.743	4.767	194	0	0
2010.02.26	4.808	4.853	4.739	4.813	224	0	0
2010.03.01	4.773	4.869	4.660	4.679	325	0	0
2010.03.02	4.687	4.755	4.655	4.708	180	0	0
2010.03.03	4.720	4.790	4.680	4.757	184	0	0
2010.03.04	4.764	4.787	4.556	4.575	274	0	0
2010.03.05	4.595	4.626	4.540	4.593	171	0	0
2010.03.08	4.537	4.575	4.458	4.527	225	0	0
2010.03.09	4.571	4.603	4.476	4.516	200	0	0
2010.03.10	4.510	4.595	4.450	4.559	242	0	0
2010.03.11	4.576	4.593	4.415	4.440	221	0	0
2010.03.12	4.415	4.469	4.377	4.400	170	0	0
2010.03.15	4.389	4.447	4.334	4.391	225	0	0
2010.03.16	4.385	4.423	4.323	4.347	163	0	0
2010.03.17	4.334	4.368	4.280	4.303	146	0	0
2010.03.18	4.289	4.292	4.054	4.085	273	0	0
2010.03.19	4.091	4.175	4.050	4.169	173	0	0
2010.03.22	4.158	4.168	4.036	4.079	186	0	0
2010.03.23	4.116	4.160	4.058	4.130	191	0	0
2010.03.24	4.142	4.142	4.052	4.105	144	0	0
2010.03.25	4.092	4.112	3.940	3.981	234	0	0
2010.03.26	3.974	3.997	3.856	3.872	181	0	0
2010.03.29	3.866	3.950	3.820	3.842	237	0	0
2010.03.30	3.885	4.015	3.847	3.973	249	0	0
2010.03.31	4.003	4.079	3.853	3.869	319	0	0
2010.04.01	3.874	4.157	3.810	4.086	483	0	0
2010.04.05	4.096	4.313	4.002	4.277	442	0	0
2010.04.06	4.284	4.334	4.066	4.096	349	0	0
2010.04.07	4.119	4.173	4.008	4.019	231	0	0
2010.04.08	4.009	4.099	3.857	3.909	385	0	0
2010.04.09	3.950	4.102	3.907	4.070	271	0	0
2010.04.12	4.093	4.180	3.936	4.008	404	0	0
2010.04.13	4.012	4.167	3.947	4.160	293	0	0
2010.04.14	4.154	4.269	4.114	4.199	266	0	0
2010.04.15	4.185	4.216	3.967	3.985	299	0	0
2010.04.16	4.012	4.099	3.985	4.039	202	0	0
2010.04.19	4.038	4.077	3.902	3.944	257	0	0
2010.04.20	3.958	3.993	3.879	3.975	212	0	0
2010.04.21	3.975	4.044	3.933	3.955	203	0	0
2010.04.22	3.982	4.150	3.930	4.128	295	0	0
2010.04.23	4.110	4.322	4.067	4.257	364	0	0
2010.04.26	4.290	4.313	4.174	4.262	251	0	0
2010.04.27	4.239	4.293	4.191	4.216	182	0	0
2010.04.28	4.207	4.326	4.186	4.271	217	0	0
2010.04.29	4.345	4.386	3.967	3.980	474	0	0
2010.04.30	4.010	4.065	3.885	3.920	271	0	0
2010.05.03	3.910	4.020	3.890	4.000	171	0	0
2010.05.04	3.990	4.046	3.963	4.013	144	0	0
2010.05.05	4.030	4.040	3.925	3.991	192	0	0
2010.05.06	3.978	4.086	3.855	3.929	414	0	0
2010.05.07	3.936	4.039	3.900	4.015	200	0	0
2010.05.10	4.015	4.235	4.006	4.170	304	0	0
2010.05.11	4.157	4.225	4.109	4.131	207	0	0
2010.05.12	4.138	4.292	4.133	4.284	173	0	0
2010.05.13	4.285	4.414	4.154	4.339	467	0	0
2010.05.14	4.307	4.350	4.252	4.312	192	0	0
2010.05.17	4.290	4.413	4.282	4.398	155	0	0
2010.05.18	4.412	4.494	4.296	4.342	327	0	0
2010.05.19	4.336	4.341	4.131	4.158	243	0	0
2010.05.20	4.162	4.207	4.040	4.106	279	0	0
2010.05.21	4.117	4.175	4.020	4.035	229	0	0
2010.05.24	4.037	4.068	3.986	4.017	145	0	0
2010.05.25	4.045	4.097	3.986	4.051	217	0	0
2010.05.26	4.098	4.245	4.070	4.155	294	0	0
2010.05.27	4.175	4.336	4.154	4.294	246	0	0
2010.05.28	4.337	4.399	4.260	4.341	275	0	0
2010.06.01	4.371	4.431	4.217	4.248	306	0	0
2010.06.02	4.217	4.440	4.217	4.424	240	0	0
2010.06.03	4.437	4.713	4.379	4.690	416	0	0
2010.06.04	4.699	4.977	4.609	4.797	639	0	0
2010.06.07	4.841	4.960	4.660	4.916	526	0	0
2010.06.08	4.969	4.995	4.747	4.808	336	0	0
2010.06.09	4.786	4.836	4.667	4.677	230	0	0
2010.06.10	4.675	4.808	4.628	4.647	333	0	0
2010.06.11	4.699	4.815	4.675	4.781	199	0	0
2010.06.14	4.861	5.069	4.861	5.006	272	0	0
2010.06.15	5.084	5.194	5.024	5.189	236	0	0
2010.06.16	5.152	5.196	4.965	4.978	289	0	0
2010.06.17	5.012	5.178	4.980	5.162	247	0	0
2010.06.18	5.128	5.190	4.987	4.997	276	0	0
2010.06.21	5.070	5.182	4.826	4.873	516	0	0
2010.06.22	4.870	4.888	4.691	4.756	281	0	0
2010.06.23	4.777	4.878	4.746	4.804	238	0	0
2010.06.24	4.811	4.855	4.698	4.748	252	0	0
2010.06.25	4.769	4.893	4.740	4.861	215	0	0
2010.06.28	4.829	4.841	4.695	4.717	181	0	0
2010.06.29	4.730	4.756	4.525	4.548	281	0	0
2010.06.30	4.562	4.637	4.477	4.616	267	0	0
2010.07.01	4.636	4.923	4.534	4.854	561	0	0
2010.07.02	4.830	4.871	4.613	4.687	374	0	0
2010.07.06	4.660	4.900	4.640	4.682	499	0	0
2010.07.07	4.662	4.780	4.555	4.565	354	0	0
2010.07.08	4.600	4.619	4.355	4.399	328	0	0
2010.07.09	4.375	4.455	4.339	4.402	206	0	0
2010.07.12	4.421	4.454	4.352	4.388	172	0	0
2010.07.13	4.419	4.487	4.334	4.354	242	0	0
2010.07.14	4.373	4.389	4.303	4.306	106	0	0
2010.07.15	4.319	4.623	4.288	4.586	404	0	0
2010.07.16	4.625	4.659	4.472	4.519	269	0	0
2010.07.19	4.490	4.555	4.454	4.510	183	0	0
2010.07.20	4.515	4.617	4.466	4.590	228	0	0
2010.07.21	4.616	4.662	4.480	4.513	262	0	0
2010.07.22	4.527	4.719	4.509	4.643	305	0	0
2010.07.23	4.655	4.665	4.552	4.580	152	0	0
2010.07.26	4.561	4.634	4.511	4.612	196	0	0
2010.07.27	4.612	4.691	4.600	4.675	120	0	0
2010.07.28	4.685	4.881	4.679	4.774	316	0	0
2010.07.29	4.685	4.870	4.678	4.827	243	0	0
2010.07.30	4.828	4.937	4.784	4.923	212	0	0
2010.08.02	4.988	5.007	4.681	4.701	366	0	0
2010.08.03	4.719	4.825	4.625	4.639	321	0	0
2010.08.04	4.664	4.756	4.632	4.737	176	0	0
2010.08.05	4.736	4.825	4.556	4.598	401	0	0
2010.08.06	4.610	4.646	4.456	4.467	238	0	0
2010.08.10	4.330	4.370	4.276	4.297	156	0	0
2010.08.11	4.295	4.376	4.257	4.326	208	0	0
2010.08.12	4.320	4.363	4.264	4.296	175	0	0
2010.08.13	4.279	4.342	4.269	4.328	98	0	0
2010.08.16	4.336	4.350	4.182	4.228	229	0	0
2010.08.17	4.226	4.322	4.186	4.267	232	0	0
2010.08.18	4.275	4.308	4.196	4.239	189	0	0
2010.08.19	4.237	4.375	4.141	4.171	403	0	0
2010.08.20	4.161	4.177	4.109	4.117	93	0	0
2010.08.23	4.066	4.129	4.029	4.066	201	0	0
2010.08.24	4.085	4.091	4.027	4.039	83	0	0
