<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.02	86.150	86.430	84.260	84.730	48899	0	0
2008.01.03	84.720	85.400	83.690	84.190	70515	0	0
2008.01.04	84.180	84.690	82.910	83.180	66582	0	0
2008.01.06	83.320	83.620	83.310	83.550	1965	0	0
2008.01.07	83.560	84.190	82.930	83.870	67605	0	0
2008.01.08	83.880	84.790	83.520	83.920	72505	0	0
2008.01.09	83.910	85.210	83.630	85.120	73072	0	0
2008.01.10	85.090	86.160	84.650	86.050	69446	0	0
2008.01.11	86.060	86.140	84.870	85.130	65110	0	0
2008.01.13	85.290	85.630	85.190	85.460	3047	0	0
2008.01.14	85.470	85.600	84.670	85.170	58342	0	0
2008.01.15	85.160	85.460	82.450	82.820	80643	0	0
2008.01.16	82.830	83.420	80.950	82.160	112856	0	0
2008.01.17	82.150	83.430	81.060	81.570	102409	0	0
2008.01.18	81.560	82.550	80.600	81.160	92646	0	0
2008.01.20	81.350	81.360	80.900	81.170	4559	0	0
2008.01.21	81.180	81.250	78.160	78.610	81120	0	0
2008.01.22	78.590	82.210	78.150	81.530	119680	0	0
2008.01.23	81.520	81.930	79.290	81.520	114732	0	0
2008.01.24	81.530	83.010	80.940	82.590	78076	0	0
2008.01.25	82.580	83.440	81.790	81.930	75570	0	0
2008.01.27	82.180	82.310	82.040	82.180	814	0	0
2008.01.28	82.200	83.350	81.300	83.010	67433	0	0
2008.01.29	83.000	83.510	82.520	83.050	64025	0	0
2008.01.30	83.060	84.650	82.250	82.840	78682	0	0
2008.01.31	82.850	84.190	82.500	83.690	94388	0	0
2008.02.01	83.680	84.720	83.470	84.590	72715	0	0
2008.02.03	84.320	84.590	84.320	84.560	2227	0	0
2008.02.04	84.570	85.080	84.370	84.510	53075	0	0
2008.02.05	84.490	85.130	83.010	83.320	73836	0	0
2008.02.06	83.310	84.110	82.730	83.460	74024	0	0
2008.02.07	83.490	85.190	82.880	84.510	87399	0	0
2008.02.08	84.500	85.060	84.050	84.550	60489	0	0
2008.02.10	84.700	84.810	84.440	84.710	2271	0	0
2008.02.11	84.720	84.810	83.840	84.120	62038	0	0
2008.02.12	84.130	85.410	84.060	84.750	52093	0	0
2008.02.13	84.730	84.980	83.890	84.730	63491	0	0
2008.02.14	84.730	84.830	84.520	84.670	4997	0	0
2008.02.15	84.680	85.550	84.530	85.140	57369	0	0
2008.02.17	85.240	85.640	85.100	85.550	3280	0	0
2008.02.18	85.560	86.420	85.320	86.170	49037	0	0
2008.02.19	86.160	86.360	85.620	86.130	65550	0	0
2008.02.20	86.120	86.380	85.200	86.210	79470	0	0
2008.02.21	86.200	86.650	85.570	86.010	67505	0	0
2008.02.22	86.000	86.870	85.760	86.640	58816	0	0
2008.02.24	86.570	86.740	86.510	86.630	1054	0	0
2008.02.25	86.620	88.070	86.530	87.920	35816	0	0
2008.02.26	87.900	87.960	87.100	87.250	65729	0	0
2008.02.27	87.240	87.500	86.560	86.870	73408	0	0
2008.02.28	86.890	86.920	84.900	84.960	81046	0	0
2008.02.29	84.950	85.480	82.770	82.800	84891	0	0
2008.03.02	81.980	82.160	81.920	82.010	1544	0	0
2008.03.03	82.020	83.610	81.660	83.070	64674	0	0
2008.03.04	83.060	83.310	81.650	82.470	84639	0	0
2008.03.05	82.450	83.650	82.130	83.260	75989	0	0
2008.03.06	83.270	83.440	81.430	81.840	69333	0	0
2008.03.07	81.830	82.210	80.710	81.450	67558	0	0
2008.03.09	81.150	81.260	81.100	81.170	2397	0	0
2008.03.10	81.160	81.430	79.890	80.090	64595	0	0
2008.03.11	80.110	83.250	80.080	82.550	74072	0	0
2008.03.12	82.560	82.930	81.350	81.890	75647	0	0
2008.03.13	81.880	82.780	80.150	82.350	102871	0	0
2008.03.14	82.340	82.920	80.400	80.500	79021	0	0
2008.03.16	80.100	80.100	78.920	79.300	7569	0	0
2008.03.17	79.320	79.490	76.710	77.530	140118	0	0
2008.03.18	77.520	81.780	77.410	80.830	129565	0	0
2008.03.19	80.820	81.310	78.610	78.840	101175	0	0
2008.03.20	78.870	80.010	77.480	78.660	71340	0	0
2008.03.21	78.650	79.240	78.460	78.820	18536	0	0
2008.03.23	78.710	78.910	78.660	78.900	800	0	0
2008.03.24	78.930	80.760	78.650	80.560	45695	0	0
2008.03.25	80.570	81.020	79.840	80.540	69271	0	0
2008.03.26	80.530	80.530	79.320	79.340	77491	0	0
2008.03.27	79.320	80.610	79.110	79.920	78872	0	0
2008.03.28	79.930	80.740	78.780	79.080	65527	0	0
2008.03.30	78.280	78.610	78.200	78.570	3119	0	0
2008.03.31	78.600	79.320	77.910	78.270	67546	0	0
2008.04.01	78.280	80.230	77.980	79.870	70785	0	0
2008.04.02	79.860	81.270	79.850	80.620	71309	0	0
2008.04.03	80.610	81.330	79.810	80.390	66478	0	0
2008.04.04	80.400	80.690	79.790	80.050	62279	0	0
2008.04.06	80.120	80.200	80.040	80.080	1528	0	0
2008.04.07	80.070	82.000	80.060	81.660	61966	0	0
2008.04.08	81.650	82.080	80.720	81.900	68283	0	0
2008.04.09	81.910	81.990	80.910	81.050	63756	0	0
2008.04.10	81.060	81.610	80.060	81.180	80887	0	0
2008.04.11	81.190	81.610	79.880	80.080	68789	0	0
2008.04.13	79.840	79.880	79.560	79.620	2739	0	0
2008.04.14	79.610	80.190	79.220	79.830	77302	0	0
2008.04.15	79.820	80.350	79.070	79.790	66905	0	0
2008.04.16	79.800	80.680	79.350	80.560	68689	0	0
2008.04.17	80.570	81.130	80.000	80.910	74307	0	0
2008.04.18	80.920	82.370	80.880	81.860	70930	0	0
2008.04.20	82.200	82.290	82.070	82.100	2318	0	0
2008.04.21	82.110	82.420	81.530	82.040	57949	0	0
2008.04.22	82.050	82.380	81.460	82.030	68884	0	0
2008.04.23	82.040	82.870	81.940	82.070	69042	0	0
2008.04.24	82.080	82.420	81.710	81.960	72258	0	0
2008.04.25	81.950	82.220	81.260	81.610	70130	0	0
2008.04.27	81.690	81.970	81.680	81.940	2177	0	0
2008.04.28	81.930	82.280	81.450	81.460	49466	0	0
2008.04.29	81.450	81.600	79.930	80.360	67057	0	0
2008.04.30	80.350	81.920	80.280	81.180	68164	0	0
2008.05.01	81.200	81.340	80.430	81.080	60997	0	0
2008.05.02	81.090	82.530	81.080	82.130	60676	0	0
2008.05.04	82.000	82.210	82.000	82.190	1213	0	0
2008.05.05	82.180	82.830	82.150	82.390	46959	0	0
2008.05.06	82.380	83.000	82.070	82.830	58417	0	0
2008.05.07	82.820	82.920	80.910	80.940	62110	0	0
2008.05.08	80.930	81.240	79.770	80.140	77049	0	0
2008.05.09	80.130	80.150	78.490	79.120	60119	0	0
2008.05.11	78.780	78.840	78.490	78.540	2489	0	0
2008.05.12	78.550	80.200	78.510	79.840	61504	0	0
2008.05.13	79.850	80.390	79.290	79.930	62997	0	0
2008.05.14	79.940	80.320	79.340	79.540	64714	0	0
2008.05.15	79.550	80.080	79.130	79.910	65538	0	0
2008.05.16	79.900	80.850	79.540	80.530	63580	0	0
2008.05.18	80.370	80.440	80.320	80.330	1202	0	0
2008.05.19	80.320	80.880	80.160	80.740	43976	0	0
2008.05.20	80.730	80.890	80.120	80.210	59254	0	0
2008.05.21	80.200	80.760	79.820	80.090	61843	0	0
2008.05.22	80.100	81.840	79.760	81.630	66941	0	0
2008.05.23	81.640	81.850	81.020	81.100	50639	0	0
2008.05.25	80.940	81.030	80.880	80.960	1540	0	0
2008.05.26	80.970	81.510	80.940	81.390	27414	0	0
2008.05.27	81.380	82.420	81.350	82.100	56352	0	0
2008.05.28	82.090	82.510	81.770	82.270	61158	0	0
2008.05.29	82.260	82.470	81.970	82.320	62647	0	0
2008.05.30	82.310	82.720	82.150	82.570	49597	0	0
2008.06.01	82.500	82.600	82.470	82.600	1215	0	0
2008.06.02	82.610	82.640	81.520	81.820	59503	0	0
2008.06.03	81.830	82.540	81.430	81.830	62602	0	0
2008.06.04	81.840	82.380	80.870	80.970	70604	0	0
2008.06.05	80.960	81.370	80.670	81.060	66322	0	0
2008.06.06	81.050	81.610	80.420	80.500	58688	0	0
2008.06.08	80.370	80.560	80.360	80.500	1885	0	0
2008.06.09	80.490	81.180	80.310	80.690	65867	0	0
2008.06.10	80.680	80.970	80.180	80.820	75751	0	0
2008.06.11	80.810	81.450	80.510	80.680	60687	0	0
2008.06.12	80.690	81.100	80.610	80.890	66715	0	0
2008.06.13	80.880	81.200	80.600	81.060	52953	0	0
2008.06.15	81.200	81.260	81.130	81.240	1781	0	0
2008.06.16	81.250	81.550	81.130	81.520	50116	0	0
2008.06.17	81.510	81.700	81.220	81.590	61012	0	0
2008.06.18	81.600	81.880	81.420	81.710	46907	0	0
2008.06.19	81.700	82.380	81.380	82.120	48117	0	0
2008.06.20	82.110	82.300	81.480	81.650	46513	0	0
2008.06.22	81.700	82.010	81.610	81.830	2487	0	0
2008.06.23	81.840	81.910	81.520	81.670	47035	0	0
2008.06.24	81.660	81.960	81.400	81.870	46847	0	0
2008.06.25	81.860	81.970	81.420	81.580	49299	0	0
2008.06.26	81.570	81.820	80.460	80.590	56226	0	0
2008.06.27	80.570	81.480	80.420	80.730	56139	0	0
2008.06.29	80.900	81.070	80.860	81.020	1756	0	0
2008.06.30	81.010	81.200	80.320	80.780	55600	0	0
2008.07.01	80.770	80.920	79.700	80.430	63108	0	0
2008.07.02	80.420	80.850	80.090	80.450	55866	0	0
2008.07.03	80.460	80.870	80.310	80.490	50852	0	0
2008.07.04	80.500	81.130	80.440	81.060	28964	0	0
2008.07.06	80.930	81.060	80.920	80.970	856	0	0
2008.07.07	80.980	81.220	80.430	80.550	54030	0	0
2008.07.08	80.540	81.030	79.880	80.860	55867	0	0
2008.07.09	80.850	81.640	80.710	80.880	55603	0	0
2008.07.10	80.890	81.320	80.560	81.140	54833	0	0
2008.07.11	81.130	81.340	80.650	80.880	56728	0	0
2008.07.13	80.770	80.950	80.700	80.910	2096	0	0
2008.07.14	80.900	81.330	80.830	81.040	50897	0	0
2008.07.15	81.050	81.250	80.590	80.800	71285	0	0
2008.07.16	80.810	81.100	80.130	80.980	64434	0	0
2008.07.17	80.970	81.290	80.720	81.070	65628	0	0
2008.07.18	81.080	81.590	80.880	81.360	46416	0	0
2008.07.20	81.180	81.290	81.160	81.280	1139	0	0
2008.07.21	81.290	81.570	80.900	80.990	48754	0	0
2008.07.22	80.980	81.510	80.880	81.370	51753	0	0
2008.07.23	81.380	81.490	80.010	80.270	67251	0	0
2008.07.24	80.260	80.290	79.400	79.700	62197	0	0
2008.07.25	79.690	80.200	79.200	79.940	58246	0	0
2008.07.27	80.140	80.150	80.010	80.010	1119	0	0
2008.07.28	80.000	80.260	79.860	80.070	43646	0	0
2008.07.29	80.090	80.180	79.350	79.790	50104	0	0
2008.07.30	79.770	79.840	78.920	79.340	52012	0	0
2008.07.31	79.040	79.070	78.760	78.760	3642	0	0
2008.08.01	78.750	78.770	77.860	78.290	56915	0	0
2008.08.03	78.180	78.310	78.110	78.280	1304	0	0
2008.08.04	78.270	79.140	78.130	78.690	42090	0	0
2008.08.05	78.700	78.740	77.880	78.640	55506	0	0
2008.08.06	78.630	79.010	78.290	78.930	51656	0	0
2008.08.07	78.920	78.930	77.910	77.950	52107	0	0
2008.08.08	77.940	78.000	76.520	77.570	71616	0	0
2008.08.10	77.170	77.260	76.780	76.810	2548	0	0
2008.08.11	76.800	77.750	76.700	76.960	63454	0	0
2008.08.12	76.940	77.040	75.550	75.590	74133	0	0
2008.08.13	75.580	77.320	73.940	76.310	89238	0	0
2008.08.14	76.280	77.230	76.180	76.710	72656	0	0
2008.08.15	76.720	78.160	76.440	78.010	57182	0	0
2008.08.17	77.640	77.860	77.600	77.740	1735	0	0
2008.08.18	77.730	78.950	77.540	78.100	58062	0	0
2008.08.19	78.110	78.480	77.370	78.380	58918	0	0
2008.08.20	78.390	78.590	77.900	78.180	49658	0	0
2008.08.21	78.170	78.280	77.150	77.940	61432	0	0
2008.08.22	77.950	78.400	77.790	77.970	38253	0	0
2008.08.24	77.890	77.980	77.840	77.920	1155	0	0
2008.08.25	77.910	77.990	76.030	76.210	53200	0	0
2008.08.26	76.230	76.640	75.650	76.170	61383	0	0
2008.08.27	76.160	77.110	76.160	76.880	61769	0	0
