<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.02	08:00:00	86.150	86.430	86.010	86.080	11959	0	0
2008.01.02	12:00:00	86.060	86.410	84.430	84.700	17679	0	0
2008.01.02	16:00:00	84.710	84.870	84.260	84.830	12566	0	0
2008.01.02	20:00:00	84.850	85.020	84.580	84.730	6695	0	0
2008.01.03	00:00:00	84.720	85.000	84.560	84.970	6777	0	0
2008.01.03	04:00:00	84.960	85.020	84.760	84.870	8423	0	0
2008.01.03	08:00:00	84.860	84.880	83.690	84.150	16239	0	0
2008.01.03	12:00:00	84.140	85.400	84.120	84.870	18010	0	0
2008.01.03	16:00:00	84.880	84.900	83.980	84.110	9988	0	0
2008.01.03	20:00:00	84.100	84.710	83.900	84.190	11078	0	0
2008.01.04	00:00:00	84.180	84.330	83.590	84.320	9921	0	0
2008.01.04	04:00:00	84.330	84.510	84.080	84.430	9448	0	0
2008.01.04	08:00:00	84.440	84.690	84.300	84.520	9393	0	0
2008.01.04	12:00:00	84.530	84.600	82.910	83.490	22620	0	0
2008.01.04	16:00:00	83.500	83.830	82.970	82.970	13327	0	0
2008.01.04	20:00:00	82.960	83.370	82.950	83.180	1873	0	0
2008.01.06	20:00:00	83.320	83.620	83.310	83.550	1965	0	0
2008.01.07	00:00:00	83.560	83.750	82.940	83.130	10776	0	0
2008.01.07	04:00:00	83.140	83.820	83.030	83.550	10392	0	0
2008.01.07	08:00:00	83.540	84.190	83.530	83.670	11860	0	0
2008.01.07	12:00:00	83.660	83.740	82.930	83.550	15309	0	0
2008.01.07	16:00:00	83.560	83.730	83.290	83.620	11218	0	0
2008.01.07	20:00:00	83.610	84.040	83.580	83.870	8050	0	0
2008.01.08	00:00:00	83.880	84.340	83.800	84.130	8219	0	0
2008.01.08	04:00:00	84.140	84.580	84.120	84.500	10078	0	0
2008.01.08	08:00:00	84.490	84.560	84.120	84.440	12366	0	0
2008.01.08	12:00:00	84.450	84.790	83.950	84.290	15880	0	0
2008.01.08	16:00:00	84.280	84.760	83.650	83.700	14710	0	0
2008.01.08	20:00:00	83.690	83.930	83.520	83.920	11252	0	0
2008.01.09	00:00:00	83.910	83.920	83.630	83.850	7407	0	0
2008.01.09	04:00:00	83.840	84.490	83.840	84.250	12596	0	0
2008.01.09	08:00:00	84.260	84.690	84.080	84.560	12558	0	0
2008.01.09	12:00:00	84.550	84.710	84.150	84.330	15490	0	0
2008.01.09	16:00:00	84.340	84.800	84.040	84.770	14290	0	0
2008.01.09	20:00:00	84.780	85.210	84.680	85.120	10731	0	0
2008.01.10	00:00:00	85.090	85.170	84.780	84.970	7172	0	0
2008.01.10	04:00:00	84.980	85.040	84.650	85.030	9153	0	0
2008.01.10	08:00:00	85.040	85.400	84.940	85.060	11866	0	0
2008.01.10	12:00:00	85.050	85.620	84.730	85.430	17059	0	0
2008.01.10	16:00:00	85.450	86.160	85.420	85.930	16169	0	0
2008.01.10	20:00:00	85.920	86.140	85.670	86.050	8027	0	0
2008.01.11	00:00:00	86.060	86.140	85.400	85.600	8110	0	0
2008.01.11	04:00:00	85.590	85.640	84.870	85.310	15415	0	0
2008.01.11	08:00:00	85.330	85.600	85.150	85.500	13218	0	0
2008.01.11	12:00:00	85.510	85.860	85.430	85.540	16460	0	0
2008.01.11	16:00:00	85.530	85.540	85.050	85.290	10163	0	0
2008.01.11	20:00:00	85.300	85.370	85.080	85.130	1744	0	0
2008.01.13	20:00:00	85.290	85.630	85.190	85.460	3047	0	0
2008.01.14	00:00:00	85.470	85.530	85.150	85.310	5934	0	0
2008.01.14	04:00:00	85.300	85.450	84.840	85.120	12073	0	0
2008.01.14	08:00:00	85.110	85.210	84.670	85.150	12518	0	0
2008.01.14	12:00:00	85.160	85.480	85.060	85.410	11490	0	0
2008.01.14	16:00:00	85.400	85.570	85.070	85.410	8119	0	0
2008.01.14	20:00:00	85.420	85.600	85.100	85.170	8208	0	0
2008.01.15	00:00:00	85.160	85.460	85.140	85.380	7484	0	0
2008.01.15	04:00:00	85.350	85.400	84.790	84.980	13274	0	0
2008.01.15	08:00:00	84.970	85.220	84.740	84.890	11920	0	0
2008.01.15	12:00:00	84.900	85.010	83.420	83.580	19790	0	0
2008.01.15	16:00:00	83.570	83.840	83.210	83.250	12548	0	0
2008.01.15	20:00:00	83.260	83.260	82.450	82.820	15627	0	0
2008.01.16	00:00:00	82.830	83.310	82.380	82.810	13958	0	0
2008.01.16	04:00:00	82.830	82.830	82.110	82.220	17310	0	0
2008.01.16	08:00:00	82.210	82.320	80.950	81.590	20840	0	0
2008.01.16	12:00:00	81.600	82.760	81.330	82.530	27180	0	0
2008.01.16	16:00:00	82.510	83.420	82.240	82.810	18300	0	0
2008.01.16	20:00:00	82.790	83.250	82.120	82.160	15268	0	0
2008.01.17	00:00:00	82.150	82.550	82.070	82.280	9662	0	0
2008.01.17	04:00:00	82.230	83.330	82.130	83.260	15570	0	0
2008.01.17	08:00:00	83.270	83.430	82.190	82.450	19070	0	0
2008.01.17	12:00:00	82.440	83.390	82.060	82.280	24740	0	0
2008.01.17	16:00:00	82.230	82.480	81.460	81.550	17080	0	0
2008.01.17	20:00:00	81.540	82.000	81.060	81.570	16287	0	0
2008.01.18	00:00:00	81.560	81.960	80.600	81.760	17267	0	0
2008.01.18	04:00:00	81.750	82.260	81.460	81.960	15798	0	0
2008.01.18	08:00:00	81.970	82.420	81.570	82.310	16368	0	0
2008.01.18	12:00:00	82.300	82.550	80.820	80.890	25760	0	0
2008.01.18	16:00:00	80.880	81.400	80.780	81.040	14405	0	0
2008.01.18	20:00:00	81.050	81.190	81.040	81.160	3048	0	0
2008.01.20	20:00:00	81.350	81.360	80.900	81.170	4559	0	0
2008.01.21	00:00:00	81.180	81.250	80.970	81.060	8252	0	0
2008.01.21	04:00:00	81.070	81.080	79.940	80.020	15207	0	0
2008.01.21	08:00:00	80.030	80.350	79.090	79.620	17119	0	0
2008.01.21	12:00:00	79.640	79.780	78.900	79.150	18040	0	0
2008.01.21	16:00:00	79.140	79.410	78.850	79.020	10582	0	0
2008.01.21	20:00:00	79.040	79.170	78.160	78.610	11920	0	0
2008.01.22	00:00:00	78.590	79.400	78.490	78.920	9708	0	0
2008.01.22	04:00:00	78.910	79.700	78.150	79.600	17649	0	0
2008.01.22	08:00:00	79.590	80.020	79.260	79.800	22269	0	0
2008.01.22	12:00:00	79.790	81.890	79.590	81.500	35490	0	0
2008.01.22	16:00:00	81.520	82.030	81.260	81.620	16928	0	0
2008.01.22	20:00:00	81.610	82.210	81.200	81.530	17636	0	0
2008.01.23	00:00:00	81.520	81.660	80.420	80.660	14068	0	0
2008.01.23	04:00:00	80.650	81.620	80.530	81.480	13605	0	0
2008.01.23	08:00:00	81.450	81.450	80.030	80.300	20810	0	0
2008.01.23	12:00:00	80.290	80.580	79.290	79.900	29210	0	0
2008.01.23	16:00:00	79.890	81.700	79.440	81.660	22470	0	0
2008.01.23	20:00:00	81.640	81.930	81.290	81.520	14569	0	0
2008.01.24	00:00:00	81.530	81.710	80.940	81.640	11927	0	0
2008.01.24	04:00:00	81.610	81.700	80.990	81.240	7960	0	0
2008.01.24	08:00:00	81.290	82.310	81.140	82.170	12063	0	0
2008.01.24	12:00:00	82.160	82.730	81.780	82.480	22519	0	0
2008.01.24	16:00:00	82.470	82.790	82.110	82.660	14174	0	0
2008.01.24	20:00:00	82.650	83.010	82.490	82.590	9433	0	0
2008.01.25	00:00:00	82.580	82.760	82.400	82.610	9782	0	0
2008.01.25	04:00:00	82.620	83.400	82.590	83.180	14766	0	0
2008.01.25	08:00:00	83.190	83.300	82.650	83.160	13893	0	0
2008.01.25	12:00:00	83.150	83.440	82.200	82.610	19567	0	0
2008.01.25	16:00:00	82.600	82.640	81.790	82.220	15929	0	0
2008.01.25	20:00:00	82.240	82.270	81.900	81.930	1633	0	0
2008.01.27	20:00:00	82.180	82.310	82.040	82.180	814	0	0
2008.01.28	00:00:00	82.200	82.240	81.450	81.510	2810	0	0
2008.01.28	04:00:00	81.520	82.270	81.300	82.270	12372	0	0
2008.01.28	08:00:00	82.300	82.420	82.010	82.390	12043	0	0
2008.01.28	12:00:00	82.380	82.900	82.170	82.590	19640	0	0
2008.01.28	16:00:00	82.580	83.120	82.490	83.020	12528	0	0
2008.01.28	20:00:00	83.000	83.350	82.950	83.010	8040	0	0
2008.01.29	00:00:00	83.000	83.110	82.520	82.580	9457	0	0
2008.01.29	04:00:00	82.560	83.080	82.560	82.770	11060	0	0
2008.01.29	08:00:00	82.780	83.420	82.770	83.170	10666	0	0
2008.01.29	12:00:00	83.180	83.510	82.950	83.290	16820	0	0
2008.01.29	16:00:00	83.310	83.430	83.030	83.260	8198	0	0
2008.01.29	20:00:00	83.240	83.440	82.910	83.050	7824	0	0
2008.01.30	00:00:00	83.060	83.220	82.840	82.900	8261	0	0
2008.01.30	04:00:00	82.910	83.100	82.720	82.940	8497	0	0
2008.01.30	08:00:00	82.930	83.340	82.770	83.230	9832	0	0
2008.01.30	12:00:00	83.220	84.030	83.140	83.760	14399	0	0
2008.01.30	16:00:00	83.730	84.650	83.460	83.610	20383	0	0
2008.01.30	20:00:00	83.620	83.870	82.250	82.840	17310	0	0
2008.01.31	00:00:00	82.850	83.360	82.830	83.150	13058	0	0
2008.01.31	04:00:00	83.160	83.770	83.090	83.440	16710	0	0
2008.01.31	08:00:00	83.460	83.680	83.040	83.140	13799	0	0
2008.01.31	12:00:00	83.150	84.190	82.500	84.120	23280	0	0
2008.01.31	16:00:00	84.100	84.160	83.660	83.820	16509	0	0
2008.01.31	20:00:00	83.830	84.010	83.550	83.690	11032	0	0
2008.02.01	00:00:00	83.680	84.000	83.550	83.650	7842	0	0
2008.02.01	04:00:00	83.660	84.230	83.640	84.080	10404	0	0
2008.02.01	08:00:00	84.070	84.540	84.000	84.490	11946	0	0
2008.02.01	12:00:00	84.480	84.620	83.470	84.430	28070	0	0
2008.02.01	16:00:00	84.440	84.580	83.930	84.580	12817	0	0
2008.02.01	20:00:00	84.570	84.720	84.530	84.590	1636	0	0
2008.02.03	20:00:00	84.320	84.590	84.320	84.560	2227	0	0
2008.02.04	00:00:00	84.570	84.790	84.370	84.440	7223	0	0
2008.02.04	04:00:00	84.430	84.870	84.370	84.720	10706	0	0
2008.02.04	08:00:00	84.710	84.990	84.610	84.840	11747	0	0
2008.02.04	12:00:00	84.830	85.080	84.680	84.800	13227	0	0
2008.02.04	16:00:00	84.810	84.840	84.500	84.610	5797	0	0
2008.02.04	20:00:00	84.600	84.660	84.460	84.510	4375	0	0
2008.02.05	00:00:00	84.490	84.750	84.390	84.600	4646	0	0
2008.02.05	04:00:00	84.610	85.130	84.560	85.060	7170	0	0
2008.02.05	08:00:00	85.050	85.130	84.390	84.510	16350	0	0
2008.02.05	12:00:00	84.520	84.860	83.450	83.910	21310	0	0
2008.02.05	16:00:00	83.900	83.960	83.090	83.180	14298	0	0
2008.02.05	20:00:00	83.190	83.500	83.010	83.320	10062	0	0
2008.02.06	00:00:00	83.310	83.460	83.140	83.240	6169	0	0
2008.02.06	04:00:00	83.230	83.420	82.730	83.370	13745	0	0
2008.02.06	08:00:00	83.380	83.600	82.820	83.540	15400	0	0
2008.02.06	12:00:00	83.530	83.950	83.420	83.780	16116	0	0
2008.02.06	16:00:00	83.820	83.870	83.370	83.420	11566	0	0
2008.02.06	20:00:00	83.430	84.110	83.320	83.460	11028	0	0
2008.02.07	00:00:00	83.490	83.740	83.220	83.650	3137	0	0
2008.02.07	04:00:00	83.680	84.440	83.670	84.110	11927	0	0
2008.02.07	08:00:00	84.080	84.270	82.950	83.130	17028	0	0
2008.02.07	12:00:00	83.110	84.390	82.880	84.320	24098	0	0
2008.02.07	16:00:00	84.340	85.190	84.190	84.560	20590	0	0
2008.02.07	20:00:00	84.550	84.750	84.230	84.510	10619	0	0
2008.02.08	00:00:00	84.500	84.790	84.460	84.640	6440	0	0
2008.02.08	04:00:00	84.630	84.930	84.480	84.800	9520	0	0
2008.02.08	08:00:00	84.820	84.920	84.050	84.370	14960	0	0
2008.02.08	12:00:00	84.360	85.060	84.160	84.530	15980	0	0
2008.02.08	16:00:00	84.520	84.810	84.370	84.520	12492	0	0
2008.02.08	20:00:00	84.530	84.630	84.440	84.550	1097	0	0
2008.02.10	20:00:00	84.700	84.810	84.440	84.710	2271	0	0
2008.02.11	00:00:00	84.720	84.810	84.430	84.460	6370	0	0
2008.02.11	04:00:00	84.450	84.680	83.910	84.230	11564	0	0
2008.02.11	08:00:00	84.240	84.510	83.840	84.480	13408	0	0
2008.02.11	12:00:00	84.470	84.530	83.870	84.000	14840	0	0
2008.02.11	16:00:00	84.010	84.490	84.000	84.320	9509	0	0
2008.02.11	20:00:00	84.300	84.470	84.010	84.120	6347	0	0
2008.02.12	00:00:00	84.130	84.450	84.060	84.410	2704	0	0
2008.02.12	04:00:00	84.420	84.680	84.360	84.470	4628	0	0
2008.02.12	08:00:00	84.480	85.140	84.250	84.880	10332	0	0
2008.02.12	12:00:00	84.890	85.410	84.840	85.300	15860	0	0
2008.02.12	16:00:00	85.310	85.360	84.660	84.740	10103	0	0
2008.02.12	20:00:00	84.720	84.890	84.620	84.750	8466	0	0
2008.02.13	00:00:00	84.730	84.830	84.480	84.540	5690	0	0
2008.02.13	04:00:00	84.530	84.610	83.890	83.980	13248	0	0
2008.02.13	08:00:00	83.990	84.730	83.980	84.560	14276	0	0
2008.02.13	12:00:00	84.550	84.980	84.310	84.600	19010	0	0
