<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.11.10	335.5	335.6	331.0	335.2	90	0	0
2009.11.11	334.0	349.0	334.0	345.4	187	0	0
2009.11.12	346.2	358.9	344.0	350.8	253	0	0
2009.11.13	350.1	359.0	348.0	356.7	155	0	0
2009.11.16	356.0	378.7	356.0	376.0	255	0	0
2009.11.17	372.4	378.5	367.7	372.0	213	0	0
2009.11.18	374.4	379.9	370.0	374.1	196	0	0
2009.11.19	372.4	372.4	362.6	369.9	172	0	0
2009.11.20	364.2	368.9	353.3	364.3	312	0	0
2009.11.23	365.5	378.0	364.7	373.3	189	0	0
2009.11.24	374.4	376.6	366.6	369.2	149	0	0
2009.11.25	370.7	375.9	369.4	370.9	129	0	0
2009.11.27	375.0	375.1	350.0	365.7	410	0	0
2009.11.30	371.0	371.0	357.0	363.6	207	0	0
2009.12.03	384.3	386.0	384.3	384.5	33	0	0
2009.12.04	380.5	380.5	370.4	376.9	167	0	0
2009.12.08	365.0	373.2	365.0	373.2	83	0	0
2009.12.09	369.7	369.7	360.2	363.7	131	0	0
2009.12.10	361.1	364.2	361.1	362.9	45	0	0
2009.12.14	366.1	366.1	366.1	366.1	1	0	0
2009.12.15	363.9	363.9	363.9	363.9	1	0	0
2009.12.16	371.0	371.0	371.0	371.0	1	0	0
2009.12.18	365.8	365.8	365.8	365.8	1	0	0
2009.12.21	363.3	363.3	363.3	363.3	1	0	0
2009.12.22	358.5	358.5	350.1	352.2	106	0	0
2009.12.23	355.4	355.4	355.4	355.4	1	0	0
2009.12.28	386.8	386.8	386.8	386.8	1	0	0
2009.12.29	386.8	386.8	386.8	386.8	1	0	0
2009.12.30	388.5	401.5	386.0	396.1	235	0	0
2009.12.31	396.1	410.0	396.1	408.8	152	0	0
2010.01.04	409.5	427.4	408.0	421.3	271	0	0
2010.01.05	422.4	427.8	419.2	421.9	168	0	0
2010.01.06	421.7	431.5	419.5	427.2	186	0	0
2010.01.07	430.0	439.9	423.6	424.6	273	0	0
2010.01.08	427.6	432.5	424.0	425.2	147	0	0
2010.01.11	428.0	435.8	426.2	431.9	154	0	0
2010.01.12	432.5	448.8	420.6	425.8	498	0	0
2010.01.13	423.2	427.7	415.2	424.9	234	0	0
2010.01.14	425.0	446.9	425.0	443.0	259	0	0
2010.01.15	443.3	454.0	441.6	447.7	205	0	0
2010.01.19	451.0	467.0	450.9	461.9	214	0	0
2010.01.20	464.5	469.9	449.0	462.1	395	0	0
2010.01.21	465.5	474.5	448.2	454.0	412	0	0
2010.01.22	450.0	451.0	425.0	440.1	422	0	0
2010.01.25	430.0	443.4	430.0	440.0	169	0	0
2010.01.26	442.9	444.3	421.5	427.5	303	0	0
2010.01.27	427.5	427.9	409.0	416.7	271	0	0
2010.01.28	413.0	428.0	409.0	413.3	378	0	0
2010.01.29	420.4	424.8	412.0	412.7	180	0	0
2010.02.01	418.0	432.8	415.0	428.5	252	0	0
2010.02.02	428.5	444.9	426.0	444.7	217	0	0
2010.02.03	443.3	448.8	434.5	436.8	222	0	0
2010.02.04	433.9	436.9	405.0	408.4	384	0	0
2010.02.05	405.6	408.4	380.1	398.3	494	0	0
2010.02.08	396.0	410.5	396.0	407.6	175	0	0
2010.02.09	407.8	419.6	405.1	416.5	204	0	0
2010.02.10	419.5	424.9	407.4	413.4	290	0	0
2010.02.11	416.0	422.4	408.8	418.9	244	0	0
2010.02.12	419.5	422.9	409.5	418.2	256	0	0
2010.02.16	418.0	434.0	417.0	432.4	197	0	0
2010.02.17	433.5	441.9	432.0	438.0	154	0	0
2010.02.18	435.1	438.6	426.0	435.2	252	0	0
2010.02.19	429.7	448.4	425.3	442.3	337	0	0
2010.02.22	443.5	445.7	434.8	442.1	205	0	0
2010.02.23	442.9	451.1	430.0	434.0	334	0	0
2010.02.24	432.0	433.7	420.3	422.7	176	0	0
2010.02.25	420.5	425.4	414.5	423.2	192	0	0
2010.02.26	426.2	432.9	426.0	432.3	78	0	0
2010.03.01	433.9	437.4	432.1	436.5	81	0	0
2010.03.03	449.1	452.2	449.1	449.4	60	0	0
2010.03.04	461.7	461.9	455.4	461.7	131	0	0
2010.03.05	466.0	476.9	465.2	475.3	142	0	0
2010.03.09	466.8	471.5	457.5	468.2	267	0	0
2010.03.10	463.7	463.7	463.7	463.7	1	0	0
2010.03.11	451.0	462.1	451.0	460.1	132	0	0
2010.03.12	462.2	462.2	462.2	462.2	1	0	0
2010.03.15	459.6	459.6	459.6	459.6	1	0	0
2010.03.16	471.4	471.4	471.4	471.4	1	0	0
2010.03.18	477.9	477.9	477.9	477.9	1	0	0
2010.03.19	467.5	467.5	467.5	467.5	1	0	0
2010.03.22	459.5	459.5	459.5	459.5	1	0	0
2010.03.26	456.6	457.3	454.6	454.7	36	0	0
2010.03.30	472.6	476.6	469.2	470.4	127	0	0
2010.03.31	470.0	487.5	469.9	479.9	254	0	0
2010.04.01	478.9	493.9	478.0	491.3	195	0	0
2010.04.05	489.0	511.7	488.5	508.0	275	0	0
2010.04.06	502.2	511.6	496.0	508.4	251	0	0
2010.04.07	507.5	514.0	505.6	512.3	121	0	0
2010.04.08	509.5	509.5	498.4	503.5	163	0	0
2010.04.09	503.5	514.1	502.5	513.6	132	0	0
2010.04.12	516.7	525.5	512.7	524.1	183	0	0
2010.04.13	519.7	530.2	508.3	521.8	418	0	0
2010.04.14	528.4	552.0	528.4	548.0	277	0	0
2010.04.15	548.1	550.0	539.2	545.9	195	0	0
2010.04.16	545.0	547.6	524.6	531.9	330	0	0
2010.04.19	527.5	538.6	516.1	533.6	390	0	0
2010.04.20	537.7	554.7	534.9	551.3	261	0	0
2010.04.21	553.1	571.7	551.8	568.2	248	0	0
2010.04.22	563.3	572.3	552.3	565.1	383	0	0
2010.04.23	563.5	567.3	553.2	563.2	280	0	0
2010.04.26	564.5	573.6	562.0	566.4	214	0	0
2010.04.27	566.5	570.9	545.5	549.0	334	0	0
2010.04.28	547.5	554.8	533.8	541.9	365	0	0
2010.04.29	540.0	552.9	540.0	549.0	169	0	0
2010.04.30	551.7	559.7	547.2	555.7	211	0	0
2010.05.03	551.4	554.5	540.6	548.3	248	0	0
2010.05.04	542.9	546.4	512.0	515.2	412	0	0
2010.05.05	516.0	516.0	485.0	508.5	546	0	0
2010.05.06	505.4	517.6	496.0	514.0	347	0	0
2010.05.07	505.0	523.7	495.2	510.1	520	0	0
2010.05.10	514.2	534.6	513.0	524.4	331	0	0
2010.05.11	530.2	535.0	511.6	532.2	449	0	0
2010.05.12	531.5	550.0	526.5	547.4	312	0	0
2010.05.13	546.5	549.9	536.5	543.3	237	0	0
2010.05.14	543.3	543.5	521.2	527.9	293	0	0
2010.05.17	526.8	529.0	495.0	503.6	449	0	0
2010.05.18	505.0	510.5	495.9	507.0	273	0	0
2010.05.19	499.5	499.5	450.3	459.7	587	0	0
2010.05.20	458.4	464.7	406.0	409.0	681	0	0
2010.05.21	415.0	447.5	391.2	439.4	883	0	0
2010.05.24	430.9	457.0	430.9	453.5	297	0	0
2010.05.25	446.7	446.7	423.0	430.4	312	0	0
2010.05.26	443.7	454.3	437.4	446.3	313	0	0
2010.05.27	437.7	464.8	434.0	462.2	372	0	0
2010.05.28	464.5	470.4	452.2	461.8	338	0	0
2010.06.01	464.0	466.3	453.6	460.8	223	0	0
2010.06.02	458.0	458.2	445.9	451.4	181	0	0
2010.06.04	444.9	446.0	427.2	429.8	226	0	0
2010.06.08	434.7	443.3	434.7	441.4	106	0	0
2010.06.10	449.0	455.0	446.1	448.8	177	0	0
2010.06.11	453.0	453.0	446.3	448.3	88	0	0
2010.06.16	474.3	474.3	474.3	474.3	1	0	0
2010.06.18	491.0	491.0	489.0	490.9	40	0	0
2010.06.21	499.1	499.1	490.7	494.1	119	0	0
2010.06.22	489.4	489.4	489.4	489.4	1	0	0
2010.06.23	473.3	473.3	473.3	473.3	1	0	0
2010.06.24	469.0	469.0	469.0	469.0	1	0	0
2010.06.28	470.0	470.0	470.0	470.0	1	0	0
2010.06.29	469.5	470.5	448.0	454.4	300	0	0
2010.06.30	452.0	462.0	438.5	444.4	395	0	0
2010.07.01	441.5	445.4	424.0	429.0	304	0	0
2010.07.02	430.9	440.4	425.0	426.9	269	0	0
2010.07.06	428.6	444.7	427.9	440.4	219	0	0
2010.07.07	437.0	450.0	428.9	442.3	370	0	0
2010.07.08	448.9	452.1	435.7	444.4	284	0	0
2010.07.09	445.0	460.7	445.0	456.9	196	0	0
2010.07.12	458.5	461.2	451.7	454.2	148	0	0
2010.07.13	454.2	470.4	453.4	469.1	192	0	0
2010.07.14	466.5	471.8	463.7	465.8	156	0	0
2010.07.15	464.5	472.5	464.5	467.1	135	0	0
2010.07.16	469.2	469.2	445.6	448.6	267	0	0
2010.07.19	448.0	456.7	439.6	443.9	302	0	0
2010.07.20	446.9	454.3	435.2	451.0	342	0	0
2010.07.21	450.1	456.8	447.0	452.1	177	0	0
2010.07.22	447.1	459.5	444.6	456.8	202	0	0
2010.07.23	459.6	470.0	458.8	466.7	154	0	0
2010.07.26	466.8	478.9	466.8	474.9	162	0	0
2010.07.27	475.0	481.5	465.9	466.6	229	0	0
2010.07.28	467.6	472.0	467.1	468.7	88	0	0
2010.07.29	471.5	492.7	469.0	491.2	278	0	0
2010.07.30	487.4	500.9	485.0	499.9	194	0	0
2010.08.02	500.0	518.6	496.7	515.8	281	0	0
2010.08.03	517.1	517.1	499.8	506.5	241	0	0
2010.08.04	500.9	508.9	495.7	500.1	257	0	0
2010.08.05	500.3	500.3	489.0	496.0	184	0	0
2010.08.06	499.0	509.9	484.0	487.6	405	0	0
2010.08.09	493.7	493.7	476.1	479.6	212	0	0
2010.08.11	474.5	482.3	461.0	464.7	329	0	0
2010.08.12	465.0	474.7	459.0	471.0	255	0	0
2010.08.13	471.4	478.9	468.5	477.2	151	0	0
2010.08.16	478.1	486.0	476.5	485.7	115	0	0
2010.08.17	485.9	498.1	482.6	497.2	198	0	0
2010.08.18	498.5	498.5	482.3	490.4	244	0	0
2010.08.19	488.5	496.9	479.9	485.6	312	0	0
2010.08.20	485.1	486.9	473.0	476.2	190	0	0
2010.08.23	477.8	484.7	476.2	483.6	113	0	0
2010.08.24	481.2	487.5	473.5	484.2	251	0	0
2010.08.25	486.5	495.6	484.0	491.5	183	0	0
2010.08.26	497.9	507.4	492.7	502.4	250	0	0
2010.08.27	506.9	506.9	496.2	503.0	176	0	0
2010.08.30	506.1	507.9	495.5	497.9	167	0	0
2010.08.31	492.5	502.7	486.0	500.4	256	0	0
2010.09.01	503.7	525.2	503.3	518.3	293	0	0
2010.09.02	515.0	524.1	515.0	523.4	99	0	0
2010.09.07	529.0	530.6	519.0	521.6	159	0	0
2010.09.08	524.7	527.2	524.7	525.5	43	0	0
2010.09.10	522.6	522.6	512.7	517.6	149	0	0
2010.09.15	540.1	559.9	539.8	557.1	233	0	0
2010.09.17	543.3	543.3	543.3	543.3	1	0	0
2010.09.20	536.7	540.2	536.7	539.4	44	0	0
2010.09.21	527.8	527.8	527.8	527.8	1	0	0
2010.09.22	539.6	539.6	539.6	539.6	1	0	0
2010.09.23	554.8	554.8	554.8	554.8	1	0	0
2010.09.29	564.0	572.7	563.2	567.3	158	0	0
2010.09.30	568.0	582.6	554.0	571.2	541	0	0
2010.10.01	565.1	579.9	565.1	574.8	200	0	0
2010.10.04	574.8	574.8	560.6	561.3	150	0	0
2010.10.05	560.5	581.0	556.1	578.2	322	0	0
2010.10.06	580.8	594.0	578.8	589.6	217	0	0
2010.10.07	592.7	606.2	582.2	587.1	425	0	0
2010.10.08	584.2	592.9	570.2	587.5	422	0	0
2010.10.11	586.5	592.0	582.1	588.7	177	0	0
2010.10.12	589.6	592.2	576.3	580.7	230	0	0
2010.10.13	586.1	595.9	585.8	593.6	128	0	0
2010.10.14	595.8	604.9	595.8	601.5	126	0	0
2010.10.15	601.1	604.2	586.6	589.2	234	0	0
2010.10.18	589.0	594.5	567.3	588.1	536	0	0
2010.10.19	586.5	590.4	568.1	578.5	367	0	0
2010.10.20	570.2	590.9	569.2	590.6	231	0	0
2010.10.21	587.4	599.8	582.3	586.3	340	0	0
2010.10.22	586.4	594.9	578.4	591.1	284	0	0
2010.10.25	593.7	619.9	589.9	608.7	451	0	0
2010.10.26	610.4	629.7	602.9	625.4	387	0	0
2010.10.27	628.5	639.5	612.9	619.2	440	0	0
2010.10.28	618.9	631.7	616.4	629.4	202	0	0
2010.10.29	630.0	648.4	626.5	645.1	288	0	0
2010.11.01	648.0	657.3	644.7	648.7	246	0	0
2010.11.02	649.0	656.0	642.5	645.5	236	0	0
