<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.11.16	1393.8	1459.9	1393.8	1444.6	815	0	0
2009.11.17	1453.7	1464.6	1433.5	1462.5	535	0	0
2009.11.18	1463.0	1471.7	1442.5	1452.0	475	0	0
2009.11.19	1444.7	1455.9	1423.6	1443.9	639	0	0
2009.11.20	1445.9	1452.4	1426.0	1441.9	489	0	0
2009.11.23	1445.6	1480.0	1445.6	1467.6	469	0	0
2009.11.24	1462.0	1467.7	1440.8	1443.8	357	0	0
2009.11.25	1451.1	1482.0	1445.5	1479.5	447	0	0
2009.11.27	1479.1	1487.9	1426.1	1447.1	917	0	0
2009.11.30	1453.9	1464.6	1440.1	1460.2	428	0	0
2009.12.01	1458.2	1494.8	1454.5	1486.6	523	0	0
2009.12.02	1494.9	1514.8	1486.6	1506.3	451	0	0
2009.12.03	1508.0	1513.0	1486.1	1493.7	396	0	0
2009.12.04	1486.1	1497.4	1433.0	1449.7	925	0	0
2009.12.07	1458.9	1458.9	1424.6	1444.6	544	0	0
2009.12.08	1443.7	1463.0	1411.9	1440.4	990	0	0
2009.12.09	1420.0	1439.7	1407.4	1409.2	539	0	0
2009.12.10	1424.0	1432.6	1414.0	1424.5	368	0	0
2009.12.11	1428.9	1452.2	1416.5	1422.7	653	0	0
2009.12.14	1432.0	1455.1	1421.2	1447.0	529	0	0
2009.12.15	1452.5	1456.4	1431.8	1452.5	493	0	0
2009.12.16	1452.5	1463.8	1441.4	1457.6	398	0	0
2009.12.17	1458.1	1464.0	1423.8	1425.9	483	0	0
2009.12.18	1427.1	1444.5	1420.7	1429.3	455	0	0
2009.12.21	1433.9	1438.4	1417.5	1423.5	315	0	0
2009.12.22	1417.0	1427.4	1382.0	1396.9	708	0	0
2009.12.23	1395.6	1428.1	1390.0	1426.8	451	0	0
2009.12.24	1423.5	1471.4	1421.0	1467.9	565	0	0
2009.12.28	1471.0	1492.2	1468.8	1480.3	376	0	0
2009.12.29	1484.3	1485.0	1462.9	1467.1	271	0	0
2009.12.30	1462.1	1470.6	1441.7	1452.3	481	0	0
2009.12.31	1451.6	1466.5	1451.6	1460.0	215	0	0
2010.01.04	1477.2	1521.7	1477.2	1517.3	490	0	0
2010.01.06	1531.8	1557.6	1531.8	1552.2	313	0	0
2010.01.07	1553.0	1553.0	1553.0	1553.0	1	0	0
2010.01.11	1577.5	1589.5	1563.0	1588.3	423	0	0
2010.01.13	1574.5	1574.5	1569.6	1570.2	56	0	0
2010.01.15	1590.5	1593.0	1590.5	1591.4	42	0	0
2010.01.19	1621.5	1635.5	1613.7	1635.1	301	0	0
2010.01.20	1622.9	1622.9	1606.4	1611.1	213	0	0
2010.01.22	1560.7	1560.7	1530.7	1536.4	358	0	0
2010.01.26	1500.0	1529.4	1500.0	1522.2	367	0	0
2010.01.28	1505.0	1526.4	1486.0	1493.9	698	0	0
2010.01.29	1508.1	1524.5	1495.0	1506.0	570	0	0
2010.02.01	1505.0	1552.0	1502.5	1539.3	648	0	0
2010.02.02	1550.0	1584.5	1534.5	1578.8	713	0	0
2010.02.03	1579.0	1594.0	1567.2	1576.2	509	0	0
2010.02.04	1569.3	1573.3	1498.0	1515.3	967	0	0
2010.02.05	1505.0	1514.1	1452.0	1475.1	944	0	0
2010.02.08	1474.4	1493.8	1470.3	1481.0	405	0	0
2010.02.09	1477.5	1513.1	1473.5	1502.4	544	0	0
2010.02.10	1502.1	1528.2	1493.2	1512.9	593	0	0
2010.02.11	1509.6	1530.7	1496.1	1519.3	596	0	0
2010.02.12	1527.2	1531.0	1489.5	1511.1	670	0	0
2010.02.16	1517.9	1544.0	1509.1	1537.7	501	0	0
2010.02.17	1538.0	1555.7	1526.0	1537.1	586	0	0
2010.02.18	1530.0	1535.2	1504.7	1519.6	507	0	0
2010.02.19	1512.4	1546.0	1500.4	1543.6	601	0	0
2010.02.22	1543.9	1548.9	1518.1	1531.9	497	0	0
2010.02.23	1529.6	1547.6	1506.1	1510.3	638	0	0
2010.02.24	1516.9	1524.3	1496.8	1507.3	455	0	0
2010.02.25	1511.5	1536.0	1504.0	1531.2	444	0	0
2010.02.26	1534.9	1545.0	1521.6	1539.9	419	0	0
2010.03.01	1540.0	1565.5	1540.0	1544.0	471	0	0
2010.03.02	1551.0	1578.7	1545.1	1576.0	423	0	0
2010.03.03	1571.1	1589.0	1571.1	1583.5	235	0	0
2010.03.04	1579.5	1589.4	1566.7	1583.6	414	0	0
2010.03.05	1583.0	1587.5	1568.5	1579.1	342	0	0
2010.03.08	1579.9	1611.7	1573.1	1600.1	571	0	0
2010.03.09	1600.5	1600.5	1570.8	1596.9	559	0	0
2010.03.10	1594.0	1618.2	1579.7	1590.2	733	0	0
2010.03.11	1592.6	1616.0	1577.1	1612.7	578	0	0
2010.03.12	1612.8	1629.2	1600.9	1608.4	523	0	0
2010.03.15	1609.0	1626.0	1604.1	1615.8	371	0	0
2010.03.16	1623.3	1636.0	1618.5	1630.7	277	0	0
2010.03.17	1627.3	1644.5	1627.3	1635.6	262	0	0
2010.03.18	1630.9	1638.0	1624.7	1631.0	266	0	0
2010.03.19	1628.0	1629.6	1598.2	1608.6	435	0	0
2010.03.22	1609.5	1609.5	1575.0	1601.3	609	0	0
2010.03.23	1603.4	1615.0	1584.5	1608.5	560	0	0
2010.03.24	1606.3	1610.3	1578.0	1587.9	463	0	0
2010.03.25	1578.2	1609.4	1572.2	1606.4	463	0	0
2010.03.26	1602.5	1607.9	1591.2	1596.0	270	0	0
2010.03.29	1596.4	1630.8	1596.0	1627.9	382	0	0
2010.03.30	1624.5	1631.8	1612.9	1618.1	315	0	0
2010.03.31	1612.7	1646.6	1612.7	1639.8	408	0	0
2010.04.01	1649.1	1670.2	1648.5	1669.8	228	0	0
2010.04.05	1681.9	1705.1	1677.6	1703.8	332	0	0
2010.04.06	1701.0	1701.0	1680.9	1698.5	378	0	0
2010.04.07	1703.0	1723.6	1702.4	1717.2	283	0	0
2010.04.08	1709.0	1712.4	1695.2	1711.1	324	0	0
2010.04.09	1721.0	1723.1	1713.7	1722.2	177	0	0
2010.04.13	1721.8	1722.0	1702.8	1711.8	285	0	0
2010.04.16	1720.0	1721.1	1689.9	1690.8	333	0	0
2010.04.20	1715.8	1722.0	1715.3	1718.0	113	0	0
2010.04.21	1737.0	1737.0	1737.0	1737.0	1	0	0
2010.04.22	1749.1	1749.1	1723.4	1742.7	451	0	0
2010.04.26	1754.9	1755.0	1742.0	1742.8	140	0	0
2010.04.28	1711.4	1711.4	1711.4	1711.4	1	0	0
2010.04.29	1714.0	1739.4	1712.8	1733.7	336	0	0
2010.04.30	1734.6	1749.5	1733.5	1745.1	216	0	0
2010.05.03	1744.6	1746.2	1724.0	1728.9	288	0	0
2010.05.04	1727.0	1734.2	1669.0	1685.8	893	0	0
2010.05.05	1673.0	1689.9	1627.1	1649.6	1023	0	0
2010.05.06	1652.9	1688.0	1632.1	1666.5	983	0	0
2010.05.07	1655.8	1670.3	1645.5	1665.8	397	0	0
2010.05.10	1672.0	1704.9	1665.6	1693.5	572	0	0
2010.05.11	1700.0	1710.9	1677.0	1700.8	671	0	0
2010.05.12	1707.7	1753.4	1695.5	1747.3	763	0	0
2010.05.13	1743.4	1746.7	1717.6	1739.4	543	0	0
2010.05.14	1738.0	1740.0	1705.0	1715.4	475	0	0
2010.05.17	1718.0	1727.0	1653.6	1663.2	921	0	0
2010.05.18	1671.0	1699.4	1665.7	1690.5	480	0	0
2010.05.19	1673.4	1680.3	1585.5	1605.7	1220	0	0
2010.05.20	1602.0	1625.0	1490.3	1495.8	1633	0	0
2010.05.21	1499.1	1516.2	1446.2	1501.2	1380	0	0
2010.05.24	1506.1	1539.9	1491.0	1534.5	695	0	0
2010.05.25	1529.0	1532.0	1484.5	1491.9	580	0	0
2010.05.26	1524.5	1543.2	1511.9	1530.3	569	0	0
2010.05.27	1522.9	1567.0	1517.0	1552.9	701	0	0
2010.05.28	1562.9	1572.5	1541.0	1549.4	496	0	0
2010.06.01	1542.5	1574.9	1542.5	1549.4	580	0	0
2010.06.02	1548.9	1563.5	1536.1	1550.4	534	0	0
2010.06.03	1556.9	1568.1	1541.2	1542.9	399	0	0
2010.06.04	1546.0	1553.9	1509.5	1525.3	682	0	0
2010.06.07	1520.0	1520.0	1492.4	1517.3	526	0	0
2010.06.08	1515.0	1532.4	1511.5	1528.8	281	0	0
2010.06.09	1529.6	1542.0	1520.7	1534.0	383	0	0
2010.06.10	1525.0	1550.0	1521.1	1536.2	467	0	0
2010.06.11	1539.8	1551.9	1531.1	1535.0	369	0	0
2010.06.14	1538.9	1567.7	1538.9	1563.4	332	0	0
2010.06.15	1563.7	1580.0	1551.0	1578.0	438	0	0
2010.06.16	1575.9	1585.1	1566.0	1567.5	299	0	0
2010.06.17	1567.6	1579.5	1563.6	1572.0	275	0	0
2010.06.18	1577.9	1593.5	1562.5	1587.0	530	0	0
2010.06.21	1598.6	1609.3	1585.3	1590.3	398	0	0
2010.06.22	1590.2	1597.0	1575.0	1593.0	413	0	0
2010.06.23	1585.7	1586.0	1553.7	1567.0	460	0	0
2010.06.24	1572.0	1573.0	1541.0	1561.5	536	0	0
2010.06.25	1563.4	1579.0	1548.2	1570.4	547	0	0
2010.06.28	1575.9	1592.3	1564.1	1565.6	462	0	0
2010.06.29	1568.9	1569.7	1532.5	1548.1	537	0	0
