<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.01	1035.0	1052.3	1032.8	1039.8	343	0	0
2010.01.05	1043.0	1065.5	1041.3	1049.5	420	0	0
2010.01.06	1047.0	1056.0	1042.0	1052.3	228	0	0
2010.01.07	1050.0	1058.5	1042.8	1050.5	310	0	0
2010.01.08	1050.5	1052.0	1016.5	1017.8	384	0	0
2010.01.09	1018.3	1018.3	1005.0	1013.0	214	0	0
2010.01.12	1014.0	1022.0	997.5	1001.8	369	0	0
2010.01.13	999.5	1001.3	961.8	969.5	491	0	0
2010.01.14	965.5	983.8	964.0	983.5	217	0	0
2010.01.15	983.8	986.0	967.5	968.5	218	0	0
2010.01.16	983.5	988.8	971.8	974.0	246	0	0
2010.01.20	974.0	984.0	962.8	963.5	320	0	0
2010.01.21	963.8	971.0	940.8	950.0	467	0	0
2010.01.22	950.0	959.5	948.5	954.0	181	0	0
2010.01.23	956.0	957.0	945.5	951.5	186	0	0
2010.01.26	955.0	956.0	935.3	940.5	270	0	0
2010.01.27	941.0	949.5	932.0	947.5	286	0	0
2010.01.28	945.8	946.5	928.5	929.0	193	0	0
2010.01.29	931.3	937.5	921.0	931.8	326	0	0
2010.01.30	931.5	936.8	913.0	914.0	302	0	0
2010.02.02	915.3	924.8	908.3	909.8	276	0	0
2010.02.03	911.3	930.0	905.3	925.5	353	0	0
2010.02.04	926.5	934.0	908.0	908.0	336	0	0
2010.02.05	911.3	916.0	900.0	914.0	294	0	0
2010.02.06	914.0	921.5	909.0	913.5	246	0	0
2010.02.09	919.8	939.8	918.8	929.5	324	0	0
2010.02.10	929.5	944.0	920.0	924.5	431	0	0
2010.02.11	924.0	939.8	918.8	937.5	286	0	0
2010.02.12	938.0	950.5	936.0	943.0	241	0	0
2010.02.13	942.0	948.0	926.0	945.0	411	0	0
2010.02.17	948.0	966.0	945.3	965.5	240	0	0
2010.02.18	963.5	964.0	948.0	951.5	201	0	0
2010.02.19	952.0	957.8	942.0	948.0	277	0	0
2010.02.20	939.5	948.5	931.8	945.0	280	0	0
2010.02.23	946.3	962.5	944.3	961.5	213	0	0
2010.02.24	960.0	978.8	952.0	952.5	462	0	0
2010.02.25	952.5	963.0	945.3	955.5	325	0	0
2010.02.26	954.8	957.0	934.8	941.5	312	0	0
2010.02.27	940.5	953.3	937.8	951.0	206	0	0
2010.03.02	954.3	959.0	944.0	952.5	283	0	0
2010.03.03	952.0	959.5	948.5	954.3	198	0	0
2010.03.04	954.8	962.5	953.5	954.5	178	0	0
2010.03.05	952.0	952.0	928.0	932.5	286	0	0
2010.03.06	934.8	939.5	929.8	934.8	195	0	0
2010.03.09	938.0	944.8	932.0	940.5	232	0	0
2010.03.10	941.0	942.0	929.0	941.5	256	0	0
2010.03.11	941.3	957.0	936.8	952.0	298	0	0
2010.03.12	956.0	956.0	924.8	925.5	320	0	0
2010.03.13	931.5	936.0	924.0	926.0	186	0	0
2010.03.16	926.3	933.3	921.8	930.0	194	0	0
2010.03.17	930.5	948.0	930.5	945.0	206	0	0
2010.03.18	944.0	962.3	942.0	959.0	257	0	0
2010.03.19	957.5	962.5	947.3	959.5	285	0	0
2010.03.20	959.5	964.0	952.3	961.8	212	0	0
2010.03.23	959.8	975.0	956.5	968.5	284	0	0
2010.03.24	966.8	976.5	964.8	968.0	223	0	0
2010.03.25	967.8	967.8	953.3	960.0	213	0	0
2010.03.26	958.0	966.5	942.0	942.5	336	0	0
2010.03.27	942.8	955.0	941.8	952.0	173	0	0
2010.03.30	952.5	977.5	951.5	967.5	371	0	0
2010.03.31	967.5	974.3	960.3	974.0	216	0	0
