<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.01	00:00:00	14.795	14.810	14.785	14.795	51	0	0
2008.01.02	00:00:00	14.855	15.295	14.805	15.245	591	0	0
2008.01.03	00:00:00	15.265	15.415	15.055	15.345	641	0	0
2008.01.04	00:00:00	15.355	15.450	15.135	15.265	541	0	0
2008.01.07	00:00:00	15.275	15.360	15.095	15.145	401	0	0
2008.01.08	00:00:00	15.155	15.735	15.130	15.675	691	0	0
2008.01.09	00:00:00	15.685	16.160	15.555	15.695	1201	0	0
2008.01.10	00:00:00	15.700	16.265	15.335	16.135	1426	0	0
2008.01.11	00:00:00	16.125	16.305	15.955	16.225	601	0	0
2008.01.14	00:00:00	16.235	16.595	16.155	16.385	731	0	0
2008.01.15	00:00:00	16.395	16.535	15.910	15.910	766	0	0
2008.01.16	00:00:00	15.905	16.155	15.695	15.790	806	0	0
2008.01.17	00:00:00	15.775	16.095	15.745	15.845	631	0	0
2008.01.18	00:00:00	15.853	16.326	15.665	16.166	1010	0	0
2008.01.21	00:00:00	16.175	16.175	15.505	15.575	741	0	0
2008.01.22	00:00:00	15.565	16.195	15.215	16.055	1471	0	0
2008.01.23	00:00:00	16.065	16.185	15.725	16.085	901	0	0
2008.01.24	00:00:00	16.080	16.445	15.955	16.425	636	0	0
2008.01.25	00:00:00	16.435	16.605	16.315	16.475	541	0	0
2008.01.28	00:00:00	16.465	16.730	16.355	16.715	501	0	0
2008.01.29	00:00:00	16.735	16.810	16.520	16.715	561	0	0
2008.01.30	00:00:00	16.725	16.895	16.595	16.815	511	0	0
2008.01.31	00:00:00	16.825	17.025	16.695	16.915	571	0	0
2008.02.01	00:00:00	16.910	17.290	16.745	16.785	966	0	0
2008.02.04	00:00:00	16.815	16.925	16.425	16.685	871	0	0
2008.02.05	00:00:00	16.690	16.835	16.275	16.355	786	0	0
2008.02.06	00:00:00	16.363	16.656	16.215	16.526	720	0	0
2008.02.07	00:00:00	16.535	16.835	16.465	16.815	461	0	0
2008.02.08	00:00:00	16.805	17.195	16.745	17.190	516	0	0
2008.02.11	00:00:00	17.195	17.565	17.115	17.485	611	0	0
2008.02.12	00:00:00	17.490	17.620	17.135	17.185	666	0	0
2008.02.13	00:00:00	17.165	17.378	16.925	17.295	777	0	0
2008.02.14	00:00:00	17.285	17.495	17.135	17.245	681	0	0
2008.02.15	00:00:00	17.235	17.505	16.967	17.095	937	0	0
2008.02.18	00:00:00	17.085	17.235	16.955	17.105	541	0	0
2008.02.19	00:00:00	17.115	17.585	17.085	17.535	581	0	0
2008.02.20	00:00:00	17.545	17.845	17.215	17.815	991	0	0
2008.02.21	00:00:00	17.825	18.055	17.775	17.875	511	0	0
2008.02.22	00:00:00	17.870	18.115	17.745	18.025	586	0	0
2008.02.25	00:00:00	18.015	18.165	17.885	18.110	466	0	0
2008.02.26	00:00:00	18.115	18.865	17.935	18.720	1256	0	0
2008.02.27	00:00:00	18.780	19.475	18.780	19.285	886	0	0
2008.02.28	00:00:00	19.285	19.855	19.055	19.755	1131	0	0
2008.02.29	00:00:00	19.765	19.940	19.375	19.815	1081	0	0
2008.03.03	00:00:00	19.825	20.615	19.755	20.330	1216	0	0
