<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	00:00:00	19.40	19.68	19.40	19.67	30	0	0
2010.01.05	00:00:00	19.70	19.86	19.51	19.68	69	0	0
2010.01.06	00:00:00	19.42	19.81	19.20	19.60	105	0	0
2010.01.07	00:00:00	19.55	19.55	19.01	19.18	72	0	0
2010.01.12	00:00:00	18.67	18.70	18.20	18.37	71	0	0
2010.01.15	00:00:00	18.50	18.50	18.40	18.42	13	0	0
2010.01.19	00:00:00	18.70	18.86	18.60	18.83	40	0	0
2010.01.20	00:00:00	18.85	18.92	18.37	18.43	69	0	0
2010.01.21	00:00:00	18.25	18.75	18.24	18.69	59	0	0
2010.01.22	00:00:00	18.44	18.66	18.40	18.48	49	0	0
2010.01.25	00:00:00	18.60	18.95	18.60	18.90	41	0	0
2010.01.26	00:00:00	18.80	18.95	18.71	18.71	40	0	0
2010.01.27	00:00:00	18.51	18.51	18.20	18.44	56	0	0
2010.02.03	00:00:00	19.11	19.57	19.06	19.48	66	0	0
2010.02.04	00:00:00	19.40	19.51	19.35	19.37	30	0	0
2010.02.05	00:00:00	19.32	19.37	18.89	19.05	70	0	0
2010.02.09	00:00:00	19.15	19.15	18.90	19.11	47	0	0
2010.02.10	00:00:00	19.10	19.17	18.90	19.11	54	0	0
2010.02.11	00:00:00	19.12	19.27	19.05	19.18	39	0	0
2010.02.12	00:00:00	19.25	19.25	19.00	19.01	27	0	0
2010.02.16	00:00:00	19.01	19.34	19.01	19.33	35	0	0
2010.02.17	00:00:00	19.30	19.30	18.88	19.01	56	0	0
2010.02.18	00:00:00	18.83	19.25	18.75	19.11	73	0	0
2010.02.23	00:00:00	18.70	18.90	18.55	18.56	57	0	0
2010.02.25	00:00:00	19.00	19.02	18.48	18.68	77	0	0
2010.02.26	00:00:00	18.60	18.91	18.60	18.78	45	0	0
2010.03.01	00:00:00	19.06	19.06	18.20	18.30	97	0	0
2010.03.02	00:00:00	18.33	18.45	17.80	18.43	121	0	0
2010.03.03	00:00:00	18.31	18.45	18.02	18.07	63	0	0
2010.03.04	00:00:00	18.28	18.28	17.61	18.08	115	0	0
2010.03.05	00:00:00	18.07	18.45	18.02	18.37	57	0	0
2010.03.08	00:00:00	18.35	18.35	17.95	18.13	59	0	0
2010.03.09	00:00:00	18.00	18.00	17.31	17.34	73	0	0
2010.03.10	00:00:00	17.35	17.35	16.37	16.79	141	0	0
2010.03.12	00:00:00	16.88	17.18	16.88	17.16	33	0	0
2010.03.15	00:00:00	17.16	17.16	16.98	17.06	27	0	0
2010.03.16	00:00:00	17.05	17.11	16.45	16.59	87	0	0
2010.03.17	00:00:00	16.71	16.84	16.41	16.77	81	0	0
2010.03.18	00:00:00	17.26	17.26	16.80	17.25	92	0	0
2010.03.19	00:00:00	17.26	17.54	17.10	17.39	76	0	0
2010.03.22	00:00:00	17.40	17.60	17.05	17.14	85	0	0
2010.03.24	00:00:00	16.30	17.07	16.05	17.05	130	0	0
2010.03.25	00:00:00	17.05	17.06	16.58	16.90	82	0	0
2010.03.26	00:00:00	16.50	17.37	16.18	16.53	236	0	0
2010.03.29	00:00:00	16.70	17.00	16.51	16.82	87	0	0
2010.03.30	00:00:00	16.86	17.30	16.70	17.06	101	0	0
2010.03.31	00:00:00	16.90	17.06	16.41	16.53	94	0	0
2010.04.05	00:00:00	16.78	16.98	16.66	16.96	47	0	0
2010.04.06	00:00:00	17.02	17.10	16.66	16.84	71	0	0
2010.04.07	00:00:00	16.80	17.14	16.75	17.14	45	0	0
2010.04.08	00:00:00	17.06	17.20	16.90	17.12	55	0	0
2010.04.09	00:00:00	17.28	17.51	16.88	17.46	109	0	0
2010.04.12	00:00:00	17.30	17.92	17.30	17.55	100	0	0
2010.04.13	00:00:00	17.55	17.96	17.50	17.91	57	0	0
2010.04.14	00:00:00	17.96	18.06	17.85	18.02	37	0	0
2010.04.15	00:00:00	18.00	18.09	17.48	17.85	108	0	0
2010.04.16	00:00:00	17.85	18.05	17.33	17.38	98	0	0
2010.04.19	00:00:00	17.35	18.12	17.35	18.12	78	0	0
2010.04.21	00:00:00	17.79	17.80	17.40	17.53	55	0	0
2010.04.22	00:00:00	17.65	17.65	17.24	17.26	44	0	0
2010.04.23	00:00:00	17.26	17.27	16.74	16.87	68	0	0
2010.04.26	00:00:00	16.89	17.10	16.87	16.99	37	0	0
2010.04.27	00:00:00	16.98	16.98	16.57	16.69	54	0	0
2010.04.28	00:00:00	16.55	16.70	16.20	16.22	68	0	0
2010.04.29	00:00:00	16.38	16.51	16.11	16.47	72	0	0
2010.04.30	00:00:00	16.58	16.60	16.37	16.47	36	0	0
2010.05.03	00:00:00	16.46	16.46	16.24	16.33	32	0	0
2010.05.04	00:00:00	16.17	16.17	15.84	15.90	40	0	0
2010.05.05	00:00:00	15.86	15.86	15.27	15.74	107	0	0
2010.05.06	00:00:00	15.75	15.76	14.87	14.99	103	0	0
2010.05.07	00:00:00	15.00	15.18	14.50	15.04	133	0	0
2010.05.10	00:00:00	15.19	15.55	15.16	15.41	57	0	0
2010.05.11	00:00:00	15.25	15.49	15.09	15.25	81	0	0
2010.05.13	00:00:00	15.80	15.95	15.62	15.90	57	0	0
2010.05.14	00:00:00	15.90	15.90	15.20	15.43	94	0	0
2010.05.17	00:00:00	15.24	15.68	15.15	15.23	106	0	0
2010.05.19	00:00:00	15.67	16.07	15.65	16.02	50	0	0
2010.05.20	00:00:00	16.00	16.12	15.70	15.95	80	0	0
2010.05.24	00:00:00	16.28	16.28	15.95	16.14	53	0	0
2010.05.25	00:00:00	16.00	16.36	15.67	16.16	123	0	0
2010.05.26	00:00:00	16.16	16.33	15.99	16.24	61	0	0
2010.05.27	00:00:00	16.24	16.27	15.97	16.03	40	0	0
2010.05.28	00:00:00	16.07	16.07	15.53	15.67	69	0	0
2010.06.01	00:00:00	15.78	16.06	15.69	15.95	58	0	0
2010.06.02	00:00:00	15.91	15.99	15.45	15.74	92	0	0
2010.06.03	00:00:00	15.79	15.98	15.56	15.69	75	0	0
2010.06.04	00:00:00	15.70	16.07	15.55	15.94	81	0	0
2010.06.07	00:00:00	15.93	16.20	15.73	15.95	93	0	0
2010.06.08	00:00:00	15.95	16.37	15.91	16.33	55	0	0
2010.06.09	00:00:00	16.34	16.65	16.34	16.57	40	0	0
2010.06.10	00:00:00	16.41	16.77	16.41	16.58	56	0	0
2010.06.11	00:00:00	16.47	16.81	16.43	16.71	53	0	0
2010.06.14	00:00:00	16.75	16.85	16.61	16.73	47	0	0
2010.06.15	00:00:00	16.75	16.82	16.49	16.67	59	0	0
2010.06.16	00:00:00	16.84	16.85	16.56	16.72	47	0	0
2010.06.17	00:00:00	16.55	16.65	16.30	16.32	48	0	0
2010.06.18	00:00:00	16.32	16.40	15.70	16.07	116	0	0
2010.06.21	00:00:00	16.30	16.70	15.98	16.62	113	0	0
2010.06.22	00:00:00	16.53	16.61	16.29	16.44	56	0	0
2010.06.23	00:00:00	16.38	16.72	16.14	16.22	101	0	0
2010.06.24	00:00:00	16.18	16.49	16.18	16.46	35	0	0
2010.06.25	00:00:00	16.51	16.67	16.32	16.59	63	0	0
2010.06.28	00:00:00	16.70	16.70	16.12	16.14	61	0	0
2010.06.29	00:00:00	15.93	16.26	15.66	15.68	96	0	0
2010.06.30	00:00:00	15.73	16.22	15.73	16.20	52	0	0
2010.07.01	00:00:00	16.17	16.39	15.83	16.37	93	0	0
2010.07.02	00:00:00	16.20	16.67	16.20	16.59	56	0	0
2010.07.06	00:00:00	16.60	16.73	16.36	16.54	69	0	0
2010.07.07	00:00:00	16.52	16.86	16.34	16.82	75	0	0
2010.07.08	00:00:00	16.72	16.90	16.65	16.82	41	0	0
2010.07.09	00:00:00	16.80	17.00	16.34	16.38	91	0	0
2010.07.12	00:00:00	16.54	16.99	16.38	16.96	81	0	0
2010.07.13	00:00:00	16.90	17.19	16.82	17.16	49	0	0
2010.07.14	00:00:00	17.09	17.18	16.89	17.00	50	0	0
2010.07.15	00:00:00	17.00	17.28	17.00	17.26	31	0	0
2010.07.16	00:00:00	17.25	17.34	16.80	16.98	82	0	0
2010.07.19	00:00:00	16.95	17.34	16.95	17.33	41	0	0
2010.07.20	00:00:00	17.33	17.34	16.99	16.99	37	0	0
2010.07.21	00:00:00	17.09	17.28	17.09	17.18	30	0	0
2010.07.22	00:00:00	17.18	17.50	17.18	17.27	56	0	0
2010.07.23	00:00:00	17.25	17.48	17.02	17.28	90	0	0
2010.07.26	00:00:00	17.30	17.54	17.29	17.51	30	0	0
2010.07.27	00:00:00	17.54	17.68	17.29	17.37	62	0	0
2010.07.28	00:00:00	17.32	17.61	17.24	17.54	53	0	0
2010.07.29	00:00:00	17.57	17.79	17.53	17.58	52	0	0
2010.07.30	00:00:00	17.64	17.77	17.51	17.68	49	0	0
2010.08.02	00:00:00	17.78	17.95	17.70	17.79	50	0	0
2010.08.03	00:00:00	17.72	17.72	17.16	17.27	68	0	0
2010.08.04	00:00:00	17.25	17.85	16.80	17.49	187	0	0
2010.08.05	00:00:00	17.49	17.65	16.93	16.98	94	0	0
2010.08.06	00:00:00	17.23	17.34	17.00	17.18	64	0	0
2010.08.09	00:00:00	17.25	17.57	16.87	16.99	115	0	0
2010.08.10	00:00:00	17.08	17.60	16.85	17.41	118	0	0
2010.08.11	00:00:00	17.27	17.44	17.10	17.16	58	0	0
2010.08.12	00:00:00	17.29	17.62	17.21	17.44	68	0	0
2010.08.13	00:00:00	17.51	17.80	17.35	17.77	65	0	0
2010.08.16	00:00:00	17.78	17.98	17.57	17.65	70	0	0
2010.08.17	00:00:00	17.58	18.04	17.48	17.99	72	0	0
2010.08.18	00:00:00	17.91	18.00	17.51	17.81	89	0	0
2010.08.19	00:00:00	17.80	17.83	17.59	17.76	45	0	0
2010.08.20	00:00:00	17.60	18.02	17.56	17.85	68	0	0
2010.08.23	00:00:00	17.89	18.08	17.84	18.05	33	0	0
2010.08.24	00:00:00	18.05	18.30	17.59	18.26	122	0	0
2010.08.25	00:00:00	18.17	18.44	18.00	18.27	79	0	0
2010.08.26	00:00:00	18.25	18.30	17.82	17.85	57	0	0
2010.08.27	00:00:00	17.85	18.44	17.80	18.29	85	0	0
2010.08.30	00:00:00	18.38	18.50	18.03	18.34	91	0	0
2010.08.31	00:00:00	18.28	18.67	18.00	18.26	133	0	0
2010.09.01	00:00:00	18.24	18.90	18.24	18.89	68	0	0
2010.09.02	00:00:00	18.80	19.30	18.75	19.21	70	0	0
2010.09.03	00:00:00	19.20	19.33	19.06	19.17	52	0	0
2010.09.07	00:00:00	19.34	19.86	19.34	19.85	54	0	0
2010.09.08	00:00:00	19.85	19.93	19.56	19.74	64	0	0
2010.09.09	00:00:00	19.73	20.42	19.64	20.28	102	0	0
2010.09.10	00:00:00	20.31	20.84	20.13	20.48	126	0	0
2010.09.13	00:00:00	20.48	21.20	20.46	21.15	82	0	0
2010.09.14	00:00:00	21.15	21.73	21.02	21.60	98	0	0
2010.09.15	00:00:00	21.60	21.89	20.84	21.08	159	0	0
2010.09.16	00:00:00	20.96	21.65	20.76	21.59	116	0	0
2010.09.17	00:00:00	21.58	21.80	21.21	21.55	116	0	0
2010.09.20	00:00:00	21.79	22.02	21.25	21.37	113	0	0
2010.09.21	00:00:00	21.37	21.60	20.90	21.19	123	0	0
2010.09.22	00:00:00	21.19	21.61	21.13	21.51	65	0	0
2010.09.23	00:00:00	21.51	21.85	21.43	21.78	58	0	0
2010.09.24	00:00:00	21.70	22.60	21.68	22.59	96	0	0
2010.09.27	00:00:00	22.60	23.12	22.59	23.08	59	0	0
2010.09.28	00:00:00	23.08	23.36	22.78	23.32	93	0	0
2010.09.29	00:00:00	23.35	23.35	22.60	23.08	124	0	0
2010.09.30	00:00:00	23.07	23.07	21.64	21.78	158	0	0
2010.10.01	00:00:00	21.97	21.97	21.10	21.56	134	0	0
2010.10.04	00:00:00	21.47	21.70	20.96	21.41	143	0	0
2010.10.05	00:00:00	21.29	22.04	21.29	21.96	84	0	0
2010.10.06	00:00:00	22.05	22.05	21.61	21.84	68	0	0
2010.10.07	00:00:00	21.97	23.25	21.91	23.04	162	0	0
2010.10.08	00:00:00	23.09	24.23	23.07	23.97	145	0	0
2010.10.11	00:00:00	24.10	24.79	23.95	24.34	145	0	0
2010.10.12	00:00:00	24.40	25.02	23.68	24.82	227	0	0
