<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.08.27	71.55	72.94	70.42	72.51	409	0	0
2009.08.28	72.96	73.35	71.90	72.79	274	0	0
2009.08.31	72.79	72.95	68.85	69.65	507	0	0
2009.09.01	69.65	71.05	67.61	67.73	497	0	0
2009.09.02	67.99	68.55	66.76	67.66	326	0	0
2009.09.03	67.51	68.70	66.95	67.12	312	0	0
2009.09.04	67.40	67.67	65.96	66.82	285	0	0
2009.09.07	66.69	68.05	66.38	66.53	319	0	0
2009.09.08	66.79	70.10	66.79	69.42	400	0	0
2009.09.09	69.45	70.88	69.09	69.83	321	0	0
2009.09.10	70.06	70.70	69.11	69.86	299	0	0
2009.09.11	69.95	70.77	67.05	67.69	519	0	0
2009.09.14	67.68	68.00	66.66	67.44	245	0	0
2009.09.15	67.55	67.93	66.68	67.35	231	0	0
2009.09.16	69.56	71.72	69.01	71.67	332	0	0
2009.09.17	71.63	72.20	70.92	71.55	249	0	0
2009.09.18	71.53	71.79	70.51	71.32	236	0	0
2009.09.21	71.17	71.45	68.07	68.69	429	0	0
2009.09.22	68.84	70.75	68.82	70.53	218	0	0
2009.09.23	70.39	70.48	67.30	67.99	397	0	0
2009.09.24	67.56	67.98	64.58	64.82	407	0	0
2009.09.25	64.81	65.85	64.08	65.11	325	0	0
2009.09.28	65.42	66.29	64.49	65.54	349	0	0
2009.09.29	65.93	66.00	64.66	65.49	225	0	0
2009.09.30	65.35	69.34	65.00	69.07	497	0	0
2009.10.01	68.92	69.79	67.61	69.19	410	0	0
2009.10.02	68.65	68.74	66.74	68.07	343	0	0
2009.10.05	67.45	68.69	65.90	68.04	500	0	0
2009.10.06	68.11	69.74	67.66	68.56	372	0	0
2009.10.07	69.12	69.45	66.65	67.20	369	0	0
2009.10.08	67.40	70.49	67.07	69.77	448	0	0
2009.10.09	69.35	70.56	68.85	70.00	278	0	0
2009.10.12	70.29	72.02	70.29	71.36	240	0	0
2009.10.13	71.13	72.83	70.84	72.40	272	0	0
2009.10.14	72.75	73.45	72.32	73.10	192	0	0
2009.10.15	73.40	74.65	72.84	74.45	258	0	0
2009.10.16	76.60	77.22	75.39	76.99	328	0	0
2009.10.19	77.09	77.87	76.51	77.77	205	0	0
2009.10.20	77.72	78.18	76.45	77.24	299	0	0
2009.10.21	76.92	80.26	76.04	79.69	568	0	0
2009.10.22	79.41	79.93	78.30	79.51	317	0	0
2009.10.23	79.73	80.15	78.05	78.92	340	0	0
2009.10.26	78.49	80.10	76.62	77.26	574	0	0
2009.10.27	77.23	78.45	76.42	77.92	338	0	0
2009.10.28	78.00	78.10	75.62	75.86	283	0	0
2009.10.29	75.72	78.63	75.57	78.04	381	0	0
2009.10.30	78.19	78.23	75.09	75.20	330	0	0
2009.11.02	75.24	77.08	74.98	76.55	290	0	0
2009.11.03	76.55	78.32	75.08	78.11	493	0	0
2009.11.04	77.79	79.45	77.67	78.89	247	0	0
2009.11.05	78.31	78.95	77.80	77.99	199	0	0
2009.11.06	78.29	78.81	75.25	75.87	471	0	0
2009.11.09	76.26	78.52	76.26	77.77	302	0	0
2009.11.10	77.50	78.92	76.36	77.50	513	0	0
2009.11.11	77.70	78.62	77.07	77.95	286	0	0
2009.11.12	77.95	78.26	75.63	76.02	334	0	0
2009.11.13	75.73	76.92	75.03	75.55	361	0	0
2009.11.16	76.79	79.27	76.57	78.76	344	0	0
2009.11.17	78.80	79.56	78.02	78.97	292	0	0
2009.11.18	79.45	80.14	78.67	79.47	293	0	0
2009.11.19	79.40	79.79	77.20	77.64	343	0	0
2009.11.20	77.93	78.15	76.50	77.20	258	0	0
2009.11.23	77.55	79.58	77.12	77.46	484	0	0
2009.11.24	77.46	77.84	76.01	76.46	267	0	0
2009.11.25	76.60	78.63	76.31	78.44	281	0	0
2009.11.26	78.31	78.31	76.95	76.99	141	0	0
2009.11.27	77.18	77.37	73.70	77.18	735	0	0
2009.11.30	77.46	79.30	76.40	78.47	480	0	0
2009.12.01	78.42	79.91	78.25	79.35	240	0	0
2009.12.02	79.34	79.67	77.48	77.88	293	0	0
2009.12.03	78.09	78.95	77.41	78.36	282	0	0
2009.12.04	77.59	79.80	76.94	77.52	566	0	0
2009.12.07	77.83	78.25	76.28	76.43	255	0	0
2009.12.08	76.78	77.02	75.08	75.19	230	0	0
2009.12.09	75.47	76.19	72.00	72.39	531	0	0
2009.12.10	72.75	73.26	71.15	71.86	334	0	0
2009.12.11	71.85	72.60	71.02	71.88	314	0	0
2009.12.14	71.47	72.37	71.16	71.89	201	0	0
2009.12.15	72.04	72.81	71.57	72.05	248	0	0
2009.12.16	72.29	73.86	72.03	73.55	241	0	0
2009.12.17	74.78	74.78	72.35	73.37	346	0	0
2009.12.18	73.20	74.84	72.76	73.75	362	0	0
2009.12.21	73.62	74.64	72.48	72.99	370	0	0
2009.12.22	72.99	74.00	71.97	73.46	360	0	0
2009.12.23	73.61	75.66	73.24	75.45	301	0	0
2009.12.24	75.53	76.50	74.71	76.31	281	0	0
2009.12.28	76.30	77.42	76.20	77.32	143	0	0
2009.12.29	77.42	78.03	76.80	77.64	225	0	0
2009.12.30	77.53	78.65	77.51	78.03	179	0	0
2009.12.31	78.65	78.94	77.77	77.93	163	0	0
2010.01.04	78.49	80.48	78.34	80.12	266	0	0
2010.01.05	80.29	80.84	79.75	80.59	189	0	0
2010.01.06	80.38	82.21	79.77	81.89	338	0	0
2010.01.07	82.00	82.05	81.05	81.51	152	0	0
2010.01.08	81.51	82.05	80.59	81.37	279	0	0
2010.01.11	81.53	82.45	80.41	80.97	353	0	0
2010.01.12	80.55	80.86	78.49	79.30	350	0	0
2010.01.13	78.49	79.09	77.04	78.31	393	0	0
2010.01.14	78.55	78.98	77.49	77.82	226	0	0
2010.01.15	78.35	78.35	76.81	77.11	185	0	0
2010.01.18	76.91	77.59	76.39	77.10	222	0	0
2010.01.19	77.23	77.85	75.37	77.63	457	0	0
2010.01.20	77.50	77.56	75.70	76.32	255	0	0
2010.01.21	76.06	76.82	74.23	74.58	371	0	0
2010.01.22	74.40	75.15	72.17	72.83	440	0	0
2010.01.25	72.46	73.80	72.46	73.69	146	0	0
2010.01.26	73.69	73.70	72.45	73.29	211	0	0
2010.01.27	73.20	73.62	71.28	72.24	373	0	0
2010.01.28	72.36	73.11	71.51	72.13	298	0	0
2010.01.29	72.20	73.28	71.02	71.46	379	0	0
2010.02.01	71.35	73.65	71.13	73.11	329	0	0
2010.02.02	73.60	76.17	73.00	76.06	389	0	0
2010.02.03	75.80	76.99	75.46	75.92	295	0	0
2010.02.04	75.90	75.95	71.43	72.13	528	0	0
2010.02.05	72.13	72.52	67.87	69.59	677	0	0
2010.02.08	70.36	70.82	69.21	70.11	298	0	0
2010.02.09	69.63	72.47	69.61	72.13	323	0	0
2010.02.10	71.89	73.00	70.83	72.54	370	0	0
2010.02.11	72.80	73.58	72.02	73.05	288	0	0
2010.02.12	73.91	74.00	71.65	72.90	370	0	0
2010.02.15	73.12	73.15	72.29	72.51	112	0	0
2010.02.16	72.62	76.00	72.55	75.68	385	0	0
2010.02.17	75.75	76.48	75.40	76.27	165	0	0
2010.02.18	75.85	78.00	75.27	77.78	354	0	0
2010.02.19	76.99	78.45	76.45	78.19	281	0	0
2010.02.22	78.44	78.94	77.85	78.61	202	0	0
2010.02.23	78.40	78.64	76.57	77.25	300	0	0
2010.02.24	77.35	78.50	76.63	78.09	301	0	0
2010.02.25	77.74	78.42	75.29	76.29	482	0	0
2010.02.26	76.45	77.99	75.91	77.59	303	0	0
2010.03.01	77.69	78.47	76.21	76.89	373	0	0
2010.03.02	77.05	79.25	76.55	78.18	428	0	0
2010.03.03	78.27	79.58	77.88	79.25	243	0	0
2010.03.04	79.32	79.42	78.15	78.54	177	0	0
2010.03.05	78.93	80.53	78.80	79.89	251	0	0
2010.03.08	80.21	80.92	79.45	80.47	269	0	0
2010.03.09	80.26	80.40	78.70	79.91	306	0	0
2010.03.10	79.70	81.46	79.22	80.48	371	0	0
2010.03.11	80.25	80.67	79.65	80.28	202	0	0
2010.03.12	80.41	81.29	78.70	79.39	417	0	0
