<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.08.27	00:00:00	71.55	72.94	70.42	72.51	409	0	0
2009.08.28	00:00:00	72.96	73.35	71.90	72.79	274	0	0
2009.08.31	00:00:00	72.79	72.95	68.85	69.65	507	0	0
2009.09.01	00:00:00	69.65	71.05	67.61	67.73	497	0	0
2009.09.02	00:00:00	67.99	68.55	66.76	67.66	326	0	0
2009.09.03	00:00:00	67.51	68.70	66.95	67.12	312	0	0
2009.09.04	00:00:00	67.40	67.67	65.96	66.82	285	0	0
2009.09.07	00:00:00	66.69	68.05	66.38	66.53	319	0	0
2009.09.08	00:00:00	66.79	70.10	66.79	69.42	400	0	0
2009.09.09	00:00:00	69.45	70.88	69.09	69.83	321	0	0
2009.09.10	00:00:00	70.06	70.70	69.11	69.86	299	0	0
2009.09.11	00:00:00	69.95	70.77	67.05	67.69	519	0	0
2009.09.14	00:00:00	67.68	68.00	66.66	67.44	245	0	0
2009.09.15	00:00:00	67.55	67.93	66.68	67.35	231	0	0
2009.09.16	00:00:00	69.56	71.72	69.01	71.67	332	0	0
2009.09.17	00:00:00	71.63	72.20	70.92	71.55	249	0	0
2009.09.18	00:00:00	71.53	71.79	70.51	71.32	236	0	0
2009.09.21	00:00:00	71.17	71.45	68.07	68.69	429	0	0
2009.09.22	00:00:00	68.84	70.75	68.82	70.53	218	0	0
2009.09.23	00:00:00	70.39	70.48	67.30	67.99	397	0	0
2009.09.24	00:00:00	67.56	67.98	64.58	64.82	407	0	0
2009.09.25	00:00:00	64.81	65.85	64.08	65.11	325	0	0
2009.09.28	00:00:00	65.42	66.29	64.49	65.54	349	0	0
2009.09.29	00:00:00	65.93	66.00	64.66	65.49	225	0	0
2009.09.30	00:00:00	65.35	69.34	65.00	69.07	497	0	0
2009.10.01	00:00:00	68.92	69.79	67.61	69.19	410	0	0
2009.10.02	00:00:00	68.65	68.74	66.74	68.07	343	0	0
2009.10.05	00:00:00	67.45	68.69	65.90	68.04	500	0	0
2009.10.06	00:00:00	68.11	69.74	67.66	68.56	372	0	0
2009.10.07	00:00:00	69.12	69.45	66.65	67.20	369	0	0
2009.10.08	00:00:00	67.40	70.49	67.07	69.77	448	0	0
2009.10.09	00:00:00	69.35	70.56	68.85	70.00	278	0	0
2009.10.12	00:00:00	70.29	72.02	70.29	71.36	240	0	0
2009.10.13	00:00:00	71.13	72.83	70.84	72.40	272	0	0
2009.10.14	00:00:00	72.75	73.45	72.32	73.10	192	0	0
2009.10.15	00:00:00	73.40	74.65	72.84	74.45	258	0	0
2009.10.16	00:00:00	76.60	77.22	75.39	76.99	328	0	0
2009.10.19	00:00:00	77.09	77.87	76.51	77.77	205	0	0
2009.10.20	00:00:00	77.72	78.18	76.45	77.24	299	0	0
2009.10.21	00:00:00	76.92	80.26	76.04	79.69	568	0	0
2009.10.22	00:00:00	79.41	79.93	78.30	79.51	317	0	0
2009.10.23	00:00:00	79.73	80.15	78.05	78.92	340	0	0
2009.10.26	00:00:00	78.49	80.10	76.62	77.26	574	0	0
2009.10.27	00:00:00	77.23	78.45	76.42	77.92	338	0	0
2009.10.28	00:00:00	78.00	78.10	75.62	75.86	283	0	0
2009.10.29	00:00:00	75.72	78.63	75.57	78.04	381	0	0
2009.10.30	00:00:00	78.19	78.23	75.09	75.20	330	0	0
2009.11.02	00:00:00	75.24	77.08	74.98	76.55	290	0	0
2009.11.03	00:00:00	76.55	78.32	75.08	78.11	493	0	0
2009.11.04	00:00:00	77.79	79.45	77.67	78.89	247	0	0
2009.11.05	00:00:00	78.31	78.95	77.80	77.99	199	0	0
2009.11.06	00:00:00	78.29	78.81	75.25	75.87	471	0	0
2009.11.09	00:00:00	76.26	78.52	76.26	77.77	302	0	0
2009.11.10	00:00:00	77.50	78.92	76.36	77.50	513	0	0
2009.11.11	00:00:00	77.70	78.62	77.07	77.95	286	0	0
2009.11.12	00:00:00	77.95	78.26	75.63	76.02	334	0	0
2009.11.13	00:00:00	75.73	76.92	75.03	75.55	361	0	0
2009.11.16	00:00:00	76.79	79.27	76.57	78.76	344	0	0
2009.11.17	00:00:00	78.80	79.56	78.02	78.97	292	0	0
2009.11.18	00:00:00	79.45	80.14	78.67	79.47	293	0	0
2009.11.19	00:00:00	79.40	79.79	77.20	77.64	343	0	0
2009.11.20	00:00:00	77.93	78.15	76.50	77.20	258	0	0
2009.11.23	00:00:00	77.55	79.58	77.12	77.46	484	0	0
2009.11.24	00:00:00	77.46	77.84	76.01	76.46	267	0	0
2009.11.25	00:00:00	76.60	78.63	76.31	78.44	281	0	0
2009.11.26	00:00:00	78.31	78.31	76.95	76.99	141	0	0
2009.11.27	00:00:00	77.18	77.37	73.70	77.18	735	0	0
2009.11.30	00:00:00	77.46	79.30	76.40	78.47	480	0	0
2009.12.01	00:00:00	78.42	79.91	78.25	79.35	240	0	0
2009.12.02	00:00:00	79.34	79.67	77.48	77.88	293	0	0
2009.12.03	00:00:00	78.09	78.95	77.41	78.36	282	0	0
