<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.08.21	9318	9508	9249	9489	348	0	0
2009.08.24	9487	9576	9474	9493	199	0	0
2009.08.25	9490	9617	9441	9523	320	0	0
2009.08.26	9521	9572	9473	9526	194	0	0
2009.08.27	9522	9598	9443	9567	266	0	0
2009.08.28	9569	9638	9485	9536	274	0	0
2009.08.31	9523	9558	9426	9486	228	0	0
2009.09.01	9494	9554	9284	9303	350	0	0
2009.09.02	9302	9341	9258	9277	142	0	0
2009.09.03	9273	9353	9247	9330	156	0	0
2009.09.04	9330	9442	9315	9417	168	0	0
2009.09.08	9410	9528	9401	9496	169	0	0
2009.09.09	9492	9577	9444	9538	221	0	0
2009.09.10	9536	9632	9504	9605	188	0	0
2009.09.11	9609	9649	9570	9592	142	0	0
2009.09.14	9592	9629	9497	9611	246	0	0
2009.09.15	9611	9714	9578	9662	222	0	0
2009.09.16	9664	9803	9654	9786	177	0	0
2009.09.17	9789	9857	9751	9799	203	0	0
2009.09.18	9800	9859	9745	9838	191	0	0
2009.09.21	9716	9744	9662	9718	163	0	0
2009.09.22	9718	9792	9710	9771	112	0	0
2009.09.23	9768	9857	9679	9717	306	0	0
2009.09.24	9713	9757	9600	9635	237	0	0
2009.09.25	9635	9677	9576	9619	187	0	0
2009.09.28	9622	9764	9571	9728	281	0	0
2009.09.29	9731	9775	9670	9673	153	0	0
2009.09.30	9673	9735	9544	9653	363	0	0
2009.10.01	9664	9684	9438	9471	300	0	0
2009.10.02	9462	9470	9336	9435	242	0	0
2009.10.05	9432	9568	9416	9546	191	0	0
2009.10.06	9546	9717	9529	9654	269	0	0
2009.10.07	9650	9702	9621	9673	140	0	0
2009.10.08	9675	9783	9670	9747	155	0	0
2009.10.09	9743	9814	9706	9807	153	0	0
2009.10.12	9809	9876	9793	9819	157	0	0
2009.10.13	9819	9848	9759	9809	169	0	0
2009.10.14	9831	9973	9831	9952	164	0	0
2009.10.15	9952	10007	9906	9964	191	0	0
2009.10.16	9970	10004	9884	9924	195	0	0
2009.10.19	9912	10064	9874	10011	282	0	0
2009.10.20	10013	10070	9936	10000	256	0	0
2009.10.21	9998	10068	9829	9901	382	0	0
2009.10.22	9889	10056	9861	10038	242	0	0
2009.10.23	10041	10068	9882	9931	263	0	0
2009.10.26	9925	10025	9793	9841	381	0	0
2009.10.27	9838	9899	9787	9835	222	0	0
