<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.08.28	00:00:00	1029.3	1038.8	1022.0	1027.5	319	0	0
2009.08.31	00:00:00	1026.5	1031.0	1013.3	1019.8	288	0	0
2009.09.01	00:00:00	1021.0	1027.8	995.3	996.5	406	0	0
2009.09.02	00:00:00	996.3	1001.0	991.0	994.3	181	0	0
2009.09.03	00:00:00	994.0	1004.3	991.3	1001.8	183	0	0
2009.09.04	00:00:00	1001.5	1016.3	1000.0	1014.0	202	0	0
2009.09.08	00:00:00	1013.5	1027.0	1012.3	1025.0	180	0	0
2009.09.09	00:00:00	1024.5	1036.3	1018.8	1032.5	271	0	0
2009.09.10	00:00:00	1032.5	1044.0	1027.5	1041.8	238	0	0
2009.09.11	00:00:00	1041.3	1048.3	1038.0	1041.5	205	0	0
2009.09.14	00:00:00	1040.5	1049.8	1032.8	1048.0	266	0	0
2009.09.15	00:00:00	1047.5	1056.5	1042.8	1050.3	247	0	0
2009.09.16	00:00:00	1050.3	1068.8	1048.8	1068.0	224	0	0
2009.09.17	00:00:00	1067.8	1076.5	1061.0	1067.5	308	0	0
2009.09.18	00:00:00	1067.3	1073.0	1060.8	1071.6	202	0	0
2009.09.21	00:00:00	1059.3	1062.8	1051.5	1060.5	215	0	0
2009.09.22	00:00:00	1060.0	1069.3	1059.5	1067.3	124	0	0
2009.09.23	00:00:00	1067.3	1075.8	1055.3	1059.0	328	0	0
2009.09.24	00:00:00	1058.5	1064.0	1041.0	1044.3	319	0	0
2009.09.25	00:00:00	1044.0	1049.5	1036.3	1041.0	235	0	0
2009.09.28	00:00:00	1042.3	1061.0	1035.8	1059.0	338	0	0
2009.09.29	00:00:00	1059.3	1065.8	1053.3	1054.8	206	0	0
2009.09.30	00:00:00	1054.8	1063.3	1041.5	1053.0	419	0	0
2009.10.01	00:00:00	1053.5	1056.0	1024.5	1027.5	371	0	0
2009.10.02	00:00:00	1027.0	1027.8	1012.0	1021.8	265	0	0
2009.10.05	00:00:00	1021.8	1038.5	1019.5	1036.5	234	0	0
2009.10.06	00:00:00	1036.8	1056.8	1035.5	1048.5	310	0	0
2009.10.07	00:00:00	1048.3	1054.8	1045.3	1053.5	139	0	0
2009.10.08	00:00:00	1053.5	1067.3	1053.3	1063.8	178	0	0
2009.10.09	00:00:00	1063.3	1068.5	1058.5	1068.0	154	0	0
2009.10.12	00:00:00	1067.8	1076.8	1067.0	1071.5	160	0	0
2009.10.13	00:00:00	1071.0	1074.3	1063.0	1068.8	205	0	0
2009.10.14	00:00:00	1072.8	1089.8	1072.8	1087.8	191	0	0
2009.10.15	00:00:00	1087.5	1093.3	1080.5	1089.8	234	0	0
2009.10.16	00:00:00	1090.3	1095.5	1077.5	1082.0	278	0	0
2009.10.19	00:00:00	1080.3	1096.8	1076.3	1091.0	304	0	0
2009.10.20	00:00:00	1089.8	1099.0	1082.0	1089.5	338	0	0
2009.10.21	00:00:00	1089.0	1098.5	1072.5	1078.0	411	0	0
2009.10.22	00:00:00	1076.5	1092.3	1070.3	1090.8	298	0	0
2009.10.23	00:00:00	1090.5	1095.3	1071.5	1077.0	342	0	0
2009.10.26	00:00:00	1076.5	1088.5	1061.3	1066.5	445	0	0
2009.10.27	00:00:00	1066.3	1069.8	1057.0	1060.5	199	0	0
2009.10.28	00:00:00	1061.0	1063.0	1038.0	1038.5	276	0	0
2009.10.29	00:00:00	1038.8	1064.0	1037.3	1061.5	308	0	0
2009.10.30	00:00:00	1061.3	1062.8	1029.5	1033.0	384	0	0
2009.11.02	00:00:00	1031.3	1049.5	1026.0	1039.0	394	0	0
2009.11.03	00:00:00	1039.3	1044.0	1026.5	1041.8	326	0	0
2009.11.04	00:00:00	1041.8	1058.5	1040.8	1047.0	303	0	0
2009.11.05	00:00:00	1046.8	1064.0	1039.0	1063.3	336	0	0
2009.11.06	00:00:00	1063.3	1069.5	1053.5	1066.3	291	0	0
2009.11.09	00:00:00	1065.8	1092.0	1065.0	1091.8	281	0	0
2009.11.10	00:00:00	1091.5	1094.5	1085.0	1092.0	186	0	0
2009.11.11	00:00:00	1091.8	1103.3	1091.3	1096.3	196	0	0
2009.11.12	00:00:00	1096.0	1101.0	1082.5	1087.3	284	0	0
2009.11.13	00:00:00	1087.5	1096.0	1082.8	1091.5	225	0	0
2009.11.16	00:00:00	1092.0	1112.3	1091.0	1106.3	284	0	0
2009.11.17	00:00:00	1106.3	1109.0	1100.0	1107.5	169	0	0
2009.11.18	00:00:00	1107.5	1110.8	1100.8	1108.5	191	0	0
2009.11.19	00:00:00	1108.5	1109.5	1086.5	1094.3	319	0	0
2009.11.20	00:00:00	1094.0	1095.0	1083.5	1090.0	191	0	0
2009.11.23	00:00:00	1089.8	1111.5	1089.0	1103.8	311	0	0
2009.11.24	00:00:00	1103.5	1107.0	1095.0	1103.0	236	0	0
2009.11.25	00:00:00	1103.3	1111.3	1102.3	1109.0	124	0	0
2009.11.27	00:00:00	1108.8	1111.3	1067.0	1089.5	694	0	0
2009.11.30	00:00:00	1091.5	1098.0	1084.5	1094.8	238	0	0
2009.12.01	00:00:00	1092.8	1111.8	1092.3	1108.5	234	0	0
2009.12.02	00:00:00	1108.3	1115.5	1104.3	1108.0	222	0	0
2009.12.03	00:00:00	1107.8	1117.0	1097.5	1098.0	293	0	0
2009.12.04	00:00:00	1097.8	1119.0	1095.3	1108.0	373	0	0
