<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.02	0.99190	0.99700	0.98600	0.99410	26859	0	0
2008.01.03	0.99440	0.99650	0.98720	0.98900	29022	0	0
2008.01.04	0.98880	1.00420	0.98410	1.00260	40686	0	0
2008.01.06	1.00230	1.00250	0.99980	1.00020	925	0	0
2008.01.07	1.00030	1.00780	0.99680	1.00570	37083	0	0
2008.01.08	1.00560	1.00740	0.99650	1.00470	35654	0	0
2008.01.09	1.00480	1.01200	1.00190	1.00950	35033	0	0
2008.01.10	1.00940	1.01500	1.00520	1.00870	42101	0	0
2008.01.11	1.00860	1.02190	1.00670	1.01870	38936	0	0
2008.01.13	1.02000	1.02000	1.01860	1.01890	497	0	0
2008.01.14	1.01880	1.02110	1.01470	1.01750	27599	0	0
2008.01.15	1.01740	1.01980	1.01240	1.01810	30876	0	0
2008.01.16	1.01830	1.02820	1.01530	1.02310	45725	0	0
2008.01.17	1.02290	1.03070	1.01810	1.02950	42393	0	0
2008.01.18	1.02960	1.03030	1.02150	1.02710	33303	0	0
2008.01.20	1.02660	1.02760	1.02620	1.02730	297	0	0
2008.01.21	1.02750	1.03590	1.02700	1.03570	32143	0	0
2008.01.22	1.03560	1.03780	1.02060	1.02740	60638	0	0
2008.01.23	1.02730	1.03160	1.02210	1.02350	44935	0	0
2008.01.24	1.02330	1.02550	1.00150	1.00430	53998	0	0
2008.01.25	1.00440	1.01070	1.00210	1.00800	37868	0	0
2008.01.27	1.00790	1.00940	1.00770	1.00880	576	0	0
2008.01.28	1.00870	1.01180	1.00210	1.00470	27724	0	0
2008.01.29	1.00480	1.00690	0.99430	0.99830	33366	0	0
2008.01.30	0.99840	1.00000	0.98710	0.99530	39653	0	0
2008.01.31	0.99540	1.00860	0.99240	1.00140	41473	0	0
2008.02.01	1.00130	1.00350	0.99170	0.99510	40730	0	0
2008.02.03	0.99400	0.99530	0.99400	0.99530	173	0	0
2008.02.04	0.99520	1.00120	0.99210	0.99400	25332	0	0
2008.02.05	0.99410	1.00820	0.99340	1.00790	37675	0	0
2008.02.06	1.00780	1.01010	1.00060	1.00710	36702	0	0
2008.02.07	1.00750	1.01260	1.00460	1.00930	37290	0	0
2008.02.08	1.00920	1.01030	0.99470	0.99890	32923	0	0
2008.02.10	0.99920	1.00060	0.99920	0.99950	330	0	0
2008.02.11	0.99960	1.00330	0.99560	1.00230	28221	0	0
2008.02.12	1.00240	1.00420	0.99370	1.00060	29637	0	0
2008.02.13	1.00070	1.00270	0.99640	0.99790	25692	0	0
2008.02.14	0.99800	1.00150	0.99360	1.00000	26371	0	0
2008.02.15	0.99980	1.01120	0.99210	1.00660	27455	0	0
2008.02.17	1.00880	1.00930	1.00830	1.00830	391	0	0
2008.02.18	1.00820	1.00970	1.00480	1.00760	19962	0	0
2008.02.19	1.00740	1.01770	1.00210	1.01540	32922	0	0
