<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.02	1.12900	1.12970	1.11480	1.11930	26762	0	0
2008.01.03	1.11920	1.11990	1.11050	1.11150	39228	0	0
2008.01.04	1.11140	1.11610	1.10180	1.10810	37869	0	0
2008.01.06	1.10750	1.10770	1.10690	1.10710	247	0	0
2008.01.07	1.10730	1.11890	1.10710	1.11780	30811	0	0
2008.01.08	1.11760	1.11890	1.11150	1.11220	36891	0	0
2008.01.09	1.11210	1.11710	1.11030	1.11630	32884	0	0
2008.01.10	1.11620	1.11680	1.10040	1.10440	43993	0	0
2008.01.11	1.10460	1.10470	1.09760	1.10130	38167	0	0
2008.01.13	1.09850	1.09960	1.09820	1.09950	943	0	0
2008.01.14	1.09940	1.10090	1.08840	1.09300	34169	0	0
2008.01.15	1.09290	1.09470	1.08520	1.09120	41732	0	0
2008.01.16	1.09100	1.10230	1.08360	1.09880	53235	0	0
2008.01.17	1.09870	1.10860	1.09510	1.10060	51046	0	0
2008.01.18	1.10040	1.10620	1.09770	1.09820	43657	0	0
2008.01.20	1.09990	1.10120	1.09970	1.10060	1251	0	0
2008.01.21	1.10050	1.11090	1.09980	1.11030	45151	0	0
2008.01.22	1.11020	1.11190	1.09140	1.09680	61933	0	0
2008.01.23	1.09670	1.09880	1.08690	1.09160	56216	0	0
2008.01.24	1.09170	1.09350	1.08450	1.08660	47089	0	0
2008.01.25	1.08670	1.09870	1.08660	1.09660	41745	0	0
2008.01.27	1.09480	1.09500	1.09370	1.09470	589	0	0
2008.01.28	1.09460	1.09650	1.08710	1.08960	33854	0	0
2008.01.29	1.08950	1.09600	1.08830	1.09380	31771	0	0
2008.01.30	1.09390	1.09470	1.08110	1.08410	43981	0	0
2008.01.31	1.08420	1.08580	1.07570	1.08070	50789	0	0
2008.02.01	1.08060	1.08990	1.07300	1.08940	48706	0	0
2008.02.03	1.08930	1.08950	1.08800	1.08800	992	0	0
2008.02.04	1.08810	1.09230	1.08620	1.08810	31098	0	0
2008.02.05	1.08800	1.10560	1.08750	1.09920	42565	0	0
2008.02.06	1.09910	1.10030	1.09490	1.09720	37719	0	0
2008.02.07	1.09710	1.11020	1.09320	1.10330	47611	0	0
2008.02.08	1.10340	1.10800	1.10080	1.10290	36283	0	0
2008.02.10	1.10250	1.10300	1.10210	1.10210	490	0	0
2008.02.11	1.10200	1.10460	1.09450	1.10210	33594	0	0
2008.02.12	1.10220	1.10400	1.09800	1.10210	30667	0	0
2008.02.13	1.10200	1.11050	1.10110	1.10810	36414	0	0
2008.02.14	1.10800	1.10960	1.09550	1.09710	35386	0	0
2008.02.15	1.09730	1.09850	1.08840	1.09310	35198	0	0
2008.02.17	1.09380	1.09460	1.09330	1.09350	647	0	0
2008.02.18	1.09360	1.10440	1.09300	1.10170	25413	0	0
2008.02.19	1.10180	1.10240	1.09070	1.09420	33907	0	0
2008.02.20	1.09430	1.10240	1.09350	1.09830	38222	0	0
2008.02.21	1.09820	1.10310	1.08650	1.09000	38735	0	0
2008.02.22	1.09010	1.09160	1.08340	1.08480	32640	0	0
