<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.17	107.330	107.880	106.340	106.400	72760	0	0
2008.01.18	106.390	107.580	106.370	106.840	59327	0	0
2008.01.20	106.810	106.920	106.800	106.870	975	0	0
2008.01.21	106.890	106.960	105.620	105.630	50481	0	0
2008.01.22	105.640	107.200	105.600	107.080	87270	0	0
2008.01.23	107.060	107.350	104.970	106.740	76007	0	0
2008.01.24	106.750	107.220	105.940	107.170	71079	0	0
2008.01.25	107.160	107.890	106.710	106.710	59097	0	0
2008.01.27	106.820	106.830	106.610	106.760	1150	0	0
2008.01.28	106.770	107.130	105.990	106.970	53987	0	0
2008.01.29	106.980	107.220	106.380	107.060	52362	0	0
2008.01.30	107.070	107.450	106.000	106.210	55694	0	0
2008.01.31	106.220	106.850	105.700	106.240	67682	0	0
2008.02.01	106.230	106.720	105.740	106.470	53888	0	0
2008.02.03	106.640	106.680	106.500	106.590	968	0	0
2008.02.04	106.580	107.070	106.550	106.700	37998	0	0
2008.02.05	106.690	107.710	106.380	106.530	51793	0	0
2008.02.06	106.520	106.770	106.170	106.380	48767	0	0
2008.02.07	106.370	107.810	105.910	107.310	56293	0	0
2008.02.08	107.300	107.710	107.130	107.300	45081	0	0
2008.02.10	107.500	107.520	107.370	107.450	883	0	0
2008.02.11	107.440	107.470	106.330	106.860	40170	0	0
2008.02.12	106.850	107.520	106.810	107.340	39952	0	0
2008.02.13	107.350	108.350	106.980	108.260	43721	0	0
2008.02.14	108.270	108.590	107.630	107.790	44192	0	0
2008.02.15	107.780	108.300	107.250	107.790	40509	0	0
2008.02.17	107.810	107.900	107.780	107.790	739	0	0
2008.02.18	107.800	108.300	107.740	108.170	24548	0	0
2008.02.19	108.180	108.270	107.200	107.930	41703	0	0
2008.02.20	107.920	108.360	107.470	108.030	50669	0	0
2008.02.21	108.040	108.310	107.140	107.410	43368	0	0
2008.02.22	107.390	107.560	106.710	107.150	40337	0	0
2008.02.24	107.260	107.350	107.230	107.340	948	0	0
2008.02.25	107.330	108.210	107.220	108.050	26616	0	0
2008.02.26	108.040	108.130	107.140	107.360	37882	0	0
2008.02.27	107.370	107.370	105.940	106.380	45002	0	0
2008.02.28	106.390	106.620	104.660	104.930	47075	0	0
2008.02.29	104.920	105.000	103.670	103.710	54251	0	0
2008.03.02	103.280	103.320	103.050	103.070	2224	0	0
