<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.01.02	5.4088	5.4459	5.3903	5.3988	17043	0	0
2008.01.03	5.3993	5.4092	5.3382	5.3451	23353	0	0
2008.01.04	5.3461	5.3631	5.3034	5.3432	23226	0	0
2008.01.06	5.3364	5.3375	5.3322	5.3342	330	0	0
2008.01.07	5.3345	5.3884	5.3334	5.3704	20447	0	0
2008.01.08	5.3703	5.3752	5.3497	5.3668	21061	0	0
2008.01.09	5.3671	5.3919	5.3540	5.3808	21589	0	0
2008.01.10	5.3811	5.3822	5.2693	5.2779	25171	0	0
2008.01.11	5.2776	5.2959	5.2652	5.2937	21308	0	0
2008.01.13	5.2764	5.2819	5.2715	5.2805	723	0	0
2008.01.14	5.2807	5.2863	5.2487	5.2677	20570	0	0
2008.01.15	5.2678	5.3401	5.2440	5.3283	24954	0	0
2008.01.16	5.3292	5.4479	5.3038	5.4145	32360	0	0
2008.01.17	5.4143	5.4813	5.3894	5.4813	33315	0	0
2008.01.18	5.4815	5.4950	5.4346	5.4732	29705	0	0
2008.01.20	5.4766	5.4799	5.4737	5.4767	623	0	0
2008.01.21	5.4763	5.5769	5.4763	5.5737	30222	0	0
2008.01.22	5.5735	5.6228	5.4645	5.4807	40969	0	0
2008.01.23	5.4808	5.5817	5.4769	5.5013	38257	0	0
2008.01.24	5.5016	5.5207	5.4134	5.4170	29197	0	0
2008.01.25	5.4172	5.4981	5.4017	5.4951	26785	0	0
2008.01.27	5.4932	5.4947	5.4744	5.4819	582	0	0
2008.01.28	5.4815	5.5077	5.4453	5.4461	24602	0	0
2008.01.29	5.4463	5.4719	5.4242	5.4285	22575	0	0
2008.01.30	5.4283	5.4536	5.3797	5.4302	28742	0	0
2008.01.31	5.4308	5.4558	5.3992	5.4065	30087	0	0
2008.02.01	5.4062	5.4442	5.3691	5.4359	27767	0	0
2008.02.03	5.4383	5.4394	5.4357	5.4368	214	0	0
2008.02.04	5.4362	5.4393	5.3925	5.4039	21521	0	0
2008.02.05	5.4038	5.5127	5.4010	5.5103	27680	0	0
2008.02.06	5.5105	5.5325	5.4913	5.5203	24271	0	0
2008.02.07	5.5200	5.5744	5.4965	5.5548	29821	0	0
2008.02.08	5.5545	5.5645	5.5148	5.5366	23723	0	0
2008.02.10	5.5273	5.5298	5.5251	5.5261	520	0	0
2008.02.11	5.5259	5.5477	5.4911	5.5253	22626	0	0
2008.02.12	5.5254	5.5269	5.4611	5.4811	25164	0	0
2008.02.13	5.4816	5.5035	5.4610	5.4626	22404	0	0
2008.02.14	5.4023	5.4059	5.4014	5.4022	430	0	0
2008.02.15	5.4024	5.4109	5.3771	5.3815	19733	0	0
2008.02.17	5.3813	5.3825	5.3764	5.3770	448	0	0
2008.02.18	5.3777	5.4096	5.3706	5.3875	20126	0	0
2008.02.19	5.3882	5.3909	5.3255	5.3291	24004	0	0
2008.02.20	5.3292	5.3884	5.3278	5.3348	26277	0	0
2008.02.21	5.3345	5.3462	5.3034	5.3164	24426	0	0
2008.02.22	5.3175	5.3276	5.2922	5.3042	22878	0	0
2008.02.24	5.3030	5.3080	5.3019	5.3040	503	0	0
2008.02.25	5.3042	5.3327	5.3030	5.3086	18033	0	0
2008.02.26	5.3096	5.3351	5.2220	5.2357	22255	0	0
2008.02.27	5.2355	5.2392	5.1855	5.2069	24221	0	0
2008.02.28	5.2070	5.2271	5.1593	5.1695	18857	0	0
2008.02.29	5.1693	5.2254	5.1637	5.2101	18762	0	0
2008.03.02	5.1955	5.2063	5.1954	5.2046	687	0	0
2008.03.03	5.2044	5.2258	5.1620	5.1713	23551	0	0
2008.03.04	5.1711	5.1832	5.1377	5.1521	25232	0	0
2008.03.05	5.1523	5.1827	5.1216	5.1280	23815	0	0
2008.03.06	5.1282	5.1322	5.1039	5.1236	23813	0	0
2008.03.07	5.1239	5.1739	5.1026	5.1599	24261	0	0
2008.03.09	5.1433	5.1455	5.1416	5.1447	473	0	0
2008.03.10	5.1446	5.1560	5.1133	5.1426	21031	0	0
2008.03.11	5.1428	5.1569	5.0880	5.1445	24836	0	0
2008.03.12	5.1453	5.1453	5.0735	5.0830	25588	0	0
2008.03.13	5.0832	5.1203	5.0625	5.0865	31981	0	0
2008.03.14	5.0863	5.1383	5.0806	5.1009	26543	0	0
2008.03.16	5.0949	5.1005	5.0692	5.0792	2296	0	0
2008.03.17	5.0790	5.1381	5.0330	5.1160	33972	0	0
2008.03.18	5.1161	5.1571	5.0943	5.1400	35707	0	0
2008.03.19	5.1402	5.1804	5.0935	5.1750	32432	0	0
2008.03.20	5.1747	5.2795	5.1739	5.2563	26724	0	0
2008.03.21	5.2584	5.2691	5.2439	5.2589	18371	0	0
2008.03.23	5.2705	5.2758	5.2687	5.2744	708	0	0
2008.03.24	5.2764	5.2985	5.2548	5.2621	22604	0	0
2008.03.25	5.2598	5.2631	5.1643	5.1747	27567	0	0
2008.03.26	5.1746	5.1831	5.0569	5.0699	27854	0	0
2008.03.27	5.0703	5.1029	5.0608	5.0739	28493	0	0
2008.03.28	5.0738	5.1147	5.0682	5.1022	25140	0	0
2008.03.30	5.0974	5.1058	5.0963	5.1030	635	0	0
2008.03.31	5.1032	5.1116	5.0615	5.1004	25441	0	0
2008.04.01	5.1002	5.2010	5.0874	5.1898	28242	0	0
2008.04.02	5.1897	5.2023	5.1187	5.1261	29076	0	0
2008.04.03	5.1259	5.1580	5.0971	5.1191	27602	0	0
2008.04.04	5.1192	5.1285	5.0635	5.0678	25295	0	0
2008.04.06	5.0700	5.0752	5.0684	5.0688	483	0	0
