<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.12	82.07	82.32	79.92	80.79	353	0	0
2010.01.13	80.05	80.70	78.34	79.65	433	0	0
2010.01.14	79.93	80.36	78.90	79.39	239	0	0
2010.01.15	79.05	79.21	77.68	78.00	202	0	0
2010.01.18	77.72	78.69	77.21	78.25	244	0	0
2010.01.19	78.43	79.10	76.75	79.02	412	0	0
2010.01.20	79.23	79.23	77.14	77.74	270	0	0
2010.01.21	77.72	78.40	75.65	76.08	387	0	0
2010.01.22	75.86	76.51	73.95	74.54	381	0	0
2010.01.25	73.68	75.42	73.68	75.26	191	0	0
2010.01.26	75.15	75.22	73.82	74.71	237	0	0
2010.01.27	74.68	75.09	72.64	73.67	390	0	0
2010.01.28	73.75	74.49	72.94	73.64	300	0	0
2010.01.29	73.70	74.80	72.44	72.89	392	0	0
2010.02.01	72.83	75.00	72.50	74.43	341	0	0
2010.02.02	74.96	77.40	74.38	77.23	378	0	0
2010.02.03	76.85	78.05	76.53	76.98	292	0	0
2010.02.04	76.86	77.09	72.42	73.14	563	0	0
2010.02.05	73.22	73.93	69.51	71.19	682	0	0
2010.02.08	72.07	72.40	70.78	71.89	307	0	0
2010.02.09	71.47	74.15	71.33	73.75	337	0	0
2010.02.10	73.52	74.96	72.60	74.52	373	0	0
2010.02.11	74.78	75.69	73.38	75.28	413	0	0
2010.02.12	75.03	75.14	72.64	74.13	411	0	0
2010.02.15	74.02	74.36	73.70	73.88	119	0	0
2010.02.16	74.10	77.39	74.08	77.01	372	0	0
2010.02.17	77.12	77.82	76.52	77.33	240	0	0
2010.02.18	77.00	79.28	76.33	79.06	385	0	0
2010.02.19	78.22	79.93	77.70	79.81	288	0	0
2010.02.22	80.55	80.78	79.65	80.31	203	0	0
2010.02.23	80.00	80.38	78.22	78.86	319	0	0
2010.02.24	79.07	80.34	78.25	80.00	326	0	0
2010.02.25	80.20	80.21	77.05	78.17	430	0	0
2010.02.26	78.26	80.03	77.84	79.66	299	0	0
2010.03.01	79.70	80.61	78.05	78.70	413	0	0
2010.03.02	78.82	80.95	78.26	79.68	453	0	0
2010.03.03	79.74	81.24	79.45	80.87	246	0	0
2010.03.04	80.82	81.08	79.72	80.21	212	0	0
2010.03.05	80.46	82.06	80.46	81.50	217	0	0
2010.03.08	81.84	82.42	80.75	81.87	332	0	0
2010.03.09	81.59	81.91	80.12	81.49	349	0	0
2010.03.10	81.17	83.03	80.81	82.09	353	0	0
2010.03.11	81.79	82.37	81.33	82.11	177	0	0
2010.03.12	82.27	83.16	80.57	81.24	416	0	0
2010.03.15	81.11	81.30	79.13	79.80	304	0	0
2010.03.16	79.78	82.10	79.31	81.70	367	0	0
2010.03.17	82.14	83.08	81.75	82.93	188	0	0
2010.03.18	82.74	82.74	81.64	82.20	167	0	0
2010.03.19	82.11	82.15	79.81	80.68	326	0	0
2010.03.22	80.61	81.82	78.86	81.60	494	0	0
2010.03.23	81.69	82.20	80.84	81.91	251	0	0
2010.03.24	81.48	81.49	79.82	80.61	248	0	0
2010.03.25	80.31	81.48	80.12	80.53	251	0	0
2010.03.26	80.30	81.46	79.54	80.00	355	0	0
2010.03.29	80.25	82.78	80.25	82.17	315	0	0
