<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.12	00:00:00	82.07	82.32	79.92	80.79	353	0	0
2010.01.13	00:00:00	80.05	80.70	78.34	79.65	433	0	0
2010.01.14	00:00:00	79.93	80.36	78.90	79.39	239	0	0
2010.01.15	00:00:00	79.05	79.21	77.68	78.00	202	0	0
2010.01.18	00:00:00	77.72	78.69	77.21	78.25	244	0	0
2010.01.19	00:00:00	78.43	79.10	76.75	79.02	412	0	0
2010.01.20	00:00:00	79.23	79.23	77.14	77.74	270	0	0
2010.01.21	00:00:00	77.72	78.40	75.65	76.08	387	0	0
2010.01.22	00:00:00	75.86	76.51	73.95	74.54	381	0	0
2010.01.25	00:00:00	73.68	75.42	73.68	75.26	191	0	0
2010.01.26	00:00:00	75.15	75.22	73.82	74.71	237	0	0
2010.01.27	00:00:00	74.68	75.09	72.64	73.67	390	0	0
2010.01.28	00:00:00	73.75	74.49	72.94	73.64	300	0	0
2010.01.29	00:00:00	73.70	74.80	72.44	72.89	392	0	0
2010.02.01	00:00:00	72.83	75.00	72.50	74.43	341	0	0
2010.02.02	00:00:00	74.96	77.40	74.38	77.23	378	0	0
2010.02.03	00:00:00	76.85	78.05	76.53	76.98	292	0	0
2010.02.04	00:00:00	76.86	77.09	72.42	73.14	563	0	0
2010.02.05	00:00:00	73.22	73.93	69.51	71.19	682	0	0
2010.02.08	00:00:00	72.07	72.40	70.78	71.89	307	0	0
2010.02.09	00:00:00	71.47	74.15	71.33	73.75	337	0	0
2010.02.10	00:00:00	73.52	74.96	72.60	74.52	373	0	0
2010.02.11	00:00:00	74.78	75.69	73.38	75.28	413	0	0
2010.02.12	00:00:00	75.03	75.14	72.64	74.13	411	0	0
2010.02.15	00:00:00	74.02	74.36	73.70	73.88	119	0	0
2010.02.16	00:00:00	74.10	77.39	74.08	77.01	372	0	0
2010.02.17	00:00:00	77.12	77.82	76.52	77.33	240	0	0
2010.02.18	00:00:00	77.00	79.28	76.33	79.06	385	0	0
2010.02.19	00:00:00	78.22	79.93	77.70	79.81	288	0	0
2010.02.22	00:00:00	80.55	80.78	79.65	80.31	203	0	0
2010.02.23	00:00:00	80.00	80.38	78.22	78.86	319	0	0
2010.02.24	00:00:00	79.07	80.34	78.25	80.00	326	0	0
2010.02.25	00:00:00	80.20	80.21	77.05	78.17	430	0	0
2010.02.26	00:00:00	78.26	80.03	77.84	79.66	299	0	0
2010.03.01	00:00:00	79.70	80.61	78.05	78.70	413	0	0
2010.03.02	00:00:00	78.82	80.95	78.26	79.68	453	0	0
2010.03.03	00:00:00	79.74	81.24	79.45	80.87	246	0	0
2010.03.04	00:00:00	80.82	81.08	79.72	80.21	212	0	0
2010.03.05	00:00:00	80.46	82.06	80.46	81.50	217	0	0
2010.03.08	00:00:00	81.84	82.42	80.75	81.87	332	0	0
2010.03.09	00:00:00	81.59	81.91	80.12	81.49	349	0	0
2010.03.10	00:00:00	81.17	83.03	80.81	82.09	353	0	0
2010.03.11	00:00:00	81.79	82.37	81.33	82.11	177	0	0
2010.03.12	00:00:00	82.27	83.16	80.57	81.24	416	0	0
2010.03.15	00:00:00	81.11	81.30	79.13	79.80	304	0	0
2010.03.16	00:00:00	79.78	82.10	79.31	81.70	367	0	0
2010.03.17	00:00:00	82.14	83.08	81.75	82.93	188	0	0
2010.03.18	00:00:00	82.74	82.74	81.64	82.20	167	0	0
2010.03.19	00:00:00	82.11	82.15	79.81	80.68	326	0	0
2010.03.22	00:00:00	80.61	81.82	78.86	81.60	494	0	0
2010.03.23	00:00:00	81.69	82.20	80.84	81.91	251	0	0
2010.03.24	00:00:00	81.48	81.49	79.82	80.61	248	0	0
2010.03.25	00:00:00	80.31	81.48	80.12	80.53	251	0	0
2010.03.26	00:00:00	80.30	81.46	79.54	80.00	355	0	0
2010.03.29	00:00:00	80.25	82.78	80.25	82.17	315	0	0
2010.03.30	00:00:00	82.25	82.73	81.77	82.37	181	0	0
2010.03.31	00:00:00	82.41	83.84	82.24	83.76	186	0	0
2010.04.01	00:00:00	83.50	85.30	83.23	84.87	278	0	0
2010.04.05	00:00:00	85.39	86.90	85.05	86.62	248	0	0
2010.04.06	00:00:00	86.59	87.13	86.11	86.84	180	0	0
2010.04.07	00:00:00	86.61	86.99	85.53	85.88	220	0	0
2010.04.08	00:00:00	85.64	85.90	84.40	85.39	276	0	0
2010.04.09	00:00:00	85.68	86.38	84.10	84.92	381	0	0
2010.04.12	00:00:00	85.21	85.70	84.06	84.34	242	0	0
2010.04.13	00:00:00	84.19	84.40	82.51	84.05	365	0	0
2010.04.14	00:00:00	83.84	86.38	83.81	85.84	315	0	0
2010.04.15	00:00:00	86.13	86.26	85.26	85.51	139	0	0
2010.04.16	00:00:00	85.24	85.27	82.53	83.24	349	0	0
2010.04.19	00:00:00	82.75	82.75	80.54	81.45	313	0	0
2010.04.20	00:00:00	83.61	84.52	83.31	83.85	219	0	0
2010.04.21	00:00:00	84.04	84.62	82.93	83.68	303	0	0
2010.04.22	00:00:00	83.44	84.06	81.72	83.70	443	0	0
2010.04.23	00:00:00	83.61	85.18	82.92	85.12	302	0	0
2010.04.26	00:00:00	85.17	85.63	83.73	84.20	284	0	0
2010.04.27	00:00:00	84.03	84.32	81.70	82.44	366	0	0
2010.04.28	00:00:00	81.92	83.43	81.28	83.22	301	0	0
2010.04.29	00:00:00	83.30	85.69	83.03	85.17	346	0	0
2010.04.30	00:00:00	85.48	86.49	85.16	86.15	200	0	0
2010.05.03	00:00:00	86.34	87.14	85.83	86.19	248	0	0
2010.05.04	00:00:00	85.98	86.23	82.04	82.74	515	0	0
2010.05.05	00:00:00	82.13	82.82	79.15	79.97	519	0	0
2010.05.06	00:00:00	80.09	80.36	74.50	77.11	875	0	0
2010.05.07	00:00:00	77.20	78.19	74.51	75.11	528	0	0
2010.05.10	00:00:00	76.31	78.50	75.84	76.80	484	0	0
2010.05.11	00:00:00	77.10	77.68	75.34	76.37	396	0	0
2010.05.12	00:00:00	75.93	77.00	74.75	75.65	423	0	0
2010.05.13	00:00:00	75.67	76.44	73.61	74.40	440	0	0
2010.05.14	00:00:00	73.89	74.09	70.83	71.61	425	0	0
2010.05.17	00:00:00	71.88	72.26	69.27	70.08	419	0	0
2010.05.18	00:00:00	70.68	72.51	68.91	69.41	594	0	0
2010.05.19	00:00:00	69.09	70.13	67.98	69.87	353	0	0
2010.05.20	00:00:00	72.89	73.29	68.86	70.80	678	0	0
2010.05.21	00:00:00	69.79	71.23	69.00	70.04	422	0	0
2010.05.24	00:00:00	70.61	70.96	69.58	70.21	237	0	0
2010.05.25	00:00:00	69.75	70.12	67.16	68.75	493	0	0
2010.05.26	00:00:00	70.00	71.68	69.21	71.51	344	0	0
2010.05.27	00:00:00	70.80	74.91	70.75	74.55	458	0	0
2010.05.28	00:00:00	74.76	75.72	73.13	73.97	440	0	0
2010.05.31	00:00:00	74.45	74.66	73.86	74.49	157	0	0
2010.06.01	00:00:00	74.88	75.34	71.63	72.58	513	0	0
2010.06.02	00:00:00	72.26	73.93	71.70	72.86	387	0	0
2010.06.03	00:00:00	73.65	74.92	72.31	74.61	427	0	0
2010.06.04	00:00:00	74.44	75.42	70.70	71.51	652	0	0
2010.06.07	00:00:00	70.60	72.48	69.57	71.44	499	0	0
2010.06.08	00:00:00	71.02	72.65	70.78	71.99	278	0	0
2010.06.09	00:00:00	72.36	74.96	72.04	74.38	383	0	0
2010.06.10	00:00:00	73.99	76.29	73.80	75.48	350	0	0
2010.06.11	00:00:00	75.51	75.63	73.27	73.78	300	0	0
2010.06.14	00:00:00	74.30	75.98	74.19	75.12	277	0	0
2010.06.15	00:00:00	74.83	77.15	74.62	76.94	296	0	0
2010.06.16	00:00:00	77.16	78.13	76.05	77.67	366	0	0
2010.06.17	00:00:00	77.21	77.79	76.18	76.79	281	0	0
2010.06.18	00:00:00	76.43	77.46	75.56	77.18	306	0	0
