<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	544.8	561.3	544.0	557.8	217	0	0
2010.01.05	556.8	561.5	552.0	553.0	153	0	0
2010.01.06	552.0	567.8	551.0	567.3	184	0	0
2010.01.07	566.5	568.0	556.0	557.8	154	0	0
2010.01.08	557.5	570.0	545.3	568.5	385	0	0
2010.01.11	569.0	575.0	563.5	572.5	196	0	0
2010.01.12	570.0	570.5	520.5	535.8	659	0	0
2010.01.13	534.8	538.0	519.3	537.0	353	0	0
2010.01.14	536.8	537.3	525.5	527.8	147	0	0
2010.01.15	525.3	525.8	509.0	510.0	184	0	0
2010.01.19	511.0	515.3	496.0	500.5	282	0	0
2010.01.20	501.0	501.5	485.3	497.5	290	0	0
2010.01.21	497.8	500.5	493.0	499.5	134	0	0
2010.01.22	500.5	502.0	491.5	498.5	191	0	0
2010.01.25	500.3	504.0	496.3	498.3	135	0	0
2010.01.26	497.3	500.5	491.5	494.0	148	0	0
2010.01.27	493.5	495.0	483.0	483.8	144	0	0
2010.01.28	485.8	489.3	482.8	487.0	119	0	0
2010.01.29	486.5	488.5	471.5	474.0	216	0	0
2010.02.01	476.0	483.8	473.0	474.8	205	0	0
2010.02.02	474.3	492.5	474.3	487.3	235	0	0
2010.02.03	487.5	494.8	468.0	469.0	352	0	0
2010.02.04	471.0	482.0	466.5	475.8	263	0	0
2010.02.05	475.0	476.5	467.0	473.3	174	0	0
2010.02.08	479.5	489.0	476.3	484.0	210	0	0
2010.02.09	483.0	488.5	476.8	482.3	228	0	0
2010.02.10	483.5	503.0	480.8	496.8	312	0	0
2010.02.11	497.8	501.5	486.0	493.5	268	0	0
2010.02.12	493.5	493.8	480.0	486.5	207	0	0
2010.02.16	490.0	509.0	488.3	505.0	265	0	0
2010.02.17	504.3	504.8	492.5	494.8	152	0	0
2010.02.18	495.0	499.5	483.0	485.0	231	0	0
2010.02.19	481.0	490.5	477.5	489.8	173	0	0
2010.02.22	489.8	504.0	485.3	501.3	260	0	0
2010.02.23	499.3	501.5	491.0	491.8	136	0	0
2010.02.24	492.0	502.3	489.5	500.3	174	0	0
2010.02.25	499.0	500.5	488.0	489.8	159	0	0
2010.02.26	489.5	507.0	488.5	506.5	201	0	0
2010.03.01	508.0	513.0	485.0	492.8	409	0	0
2010.03.02	493.0	497.3	487.0	492.0	197	0	0
2010.03.03	497.3	503.8	494.8	503.5	119	0	0
2010.03.04	501.5	502.3	488.0	490.5	177	0	0
2010.03.05	493.0	496.8	482.3	482.3	184	0	0
2010.03.08	484.0	487.3	483.3	484.5	76	0	0
2010.03.09	483.0	483.3	478.3	478.5	56	0	0
2010.03.10	478.0	478.0	468.8	470.8	113	0	0
2010.03.11	469.0	470.8	466.0	468.5	92	0	0
2010.03.15	484.8	487.0	476.8	479.3	150	0	0
2010.03.16	480.3	489.0	479.5	487.0	124	0	0
2010.03.17	487.8	498.3	485.3	496.0	179	0	0
2010.03.18	494.5	494.8	484.5	489.3	155	0	0
2010.03.19	489.3	490.8	482.5	483.8	112	0	0
2010.03.22	484.3	492.8	482.3	486.5	189	0	0
2010.03.23	485.3	489.0	475.5	476.8	186	0	0
2010.03.24	477.0	478.8	472.0	476.0	127	0	0
2010.03.25	475.5	478.3	464.5	466.5	187	0	0
2010.03.26	466.3	468.8	464.0	464.8	82	0	0
2010.03.29	465.5	471.3	463.0	464.8	160	0	0
2010.03.30	464.8	473.8	462.3	472.0	159	0	0
2010.03.31	472.0	474.3	450.0	450.5	272	0	0
2010.04.01	452.5	457.8	449.5	454.8	144	0	0
2010.04.05	456.0	459.5	447.0	453.5	226	0	0
2010.04.06	454.0	470.0	448.8	463.5	330	0	0
2010.04.07	463.8	479.8	456.5	475.3	352	0	0
2010.04.08	474.3	474.8	467.0	469.3	107	0	0
2010.04.09	469.5	478.8	462.5	465.8	290	0	0
2010.04.12	469.0	474.5	466.0	467.8	159	0	0
2010.04.13	467.0	476.5	463.5	476.0	171	0	0
2010.04.14	475.3	482.0	470.5	474.8	226	0	0
2010.04.15	474.3	482.5	472.5	480.3	141	0	0
2010.04.16	479.8	491.3	476.3	490.5	194	0	0
2010.04.19	489.0	489.0	466.8	467.8	233	0	0
2010.04.20	469.5	487.3	468.5	486.0	212	0	0
2010.04.21	486.8	490.0	481.8	487.3	160	0	0
2010.04.22	486.5	499.5	480.8	498.5	255	0	0
2010.04.23	498.0	499.3	489.8	493.3	144	0	0
2010.04.26	492.5	502.5	449.0	476.0	906	0	0
2010.04.27	476.8	481.3	471.3	478.3	186	0	0
2010.04.28	477.0	485.0	470.8	476.3	278	0	0
2010.04.29	477.0	495.3	477.0	484.5	292	0	0
2010.04.30	484.0	493.8	482.0	491.8	159	0	0
2010.05.03	493.5	495.8	480.5	490.0	272	0	0
2010.05.04	489.0	500.5	482.5	499.8	253	0	0
2010.05.05	500.5	501.5	493.0	501.0	166	0	0
2010.05.06	500.0	502.0	490.0	497.3	214	0	0
2010.05.07	492.5	506.3	490.0	500.3	249	0	0
2010.05.10	498.0	503.0	482.5	482.5	256	0	0
2010.05.11	482.3	487.3	481.0	483.8	112	0	0
2010.05.12	485.0	496.0	482.0	482.8	259	0	0
2010.05.14	465.5	465.5	463.0	463.5	31	0	0
2010.05.17	471.0	474.5	466.3	469.0	145	0	0
2010.05.18	469.0	473.5	466.0	467.8	139	0	0
2010.05.19	467.8	472.0	465.3	469.3	120	0	0
2010.05.20	470.5	472.3	461.3	469.8	214	0	0
2010.05.21	469.5	475.0	466.5	472.0	146	0	0
2010.05.24	473.8	476.0	466.0	467.5	138	0	0
2010.05.25	465.5	466.8	456.3	460.5	161	0	0
2010.05.26	462.8	472.0	459.0	461.8	251	0	0
2010.05.27	460.5	473.5	458.0	467.8	238	0	0
2010.05.28	468.5	473.5	456.5	457.8	234	0	0
2010.06.01	457.8	461.3	448.8	450.8	181	0	0
2010.06.02	450.0	454.5	442.0	442.5	176	0	0
2010.06.03	443.5	448.0	440.5	441.8	134	0	0
2010.06.04	442.5	444.3	435.0	435.8	120	0	0
2010.06.07	435.3	438.5	431.0	432.3	121	0	0
2010.06.08	432.3	436.5	431.3	432.3	105	0	0
2010.06.09	432.8	436.0	425.5	428.0	163	0	0
2010.06.10	428.0	437.5	426.8	433.3	162	0	0
2010.06.11	433.0	449.0	427.5	440.8	353	0	0
2010.06.14	442.8	454.8	441.8	451.5	174	0	0
2010.06.15	451.0	456.3	439.3	451.8	333	0	0
2010.06.16	451.5	468.0	451.0	461.3	243	0	0
2010.06.17	461.0	465.5	453.5	462.8	223	0	0
2010.06.18	462.5	470.0	458.8	461.8	218	0	0
2010.06.21	462.8	469.3	455.3	462.0	273	0	0
2010.06.22	461.3	463.8	442.0	460.8	432	0	0
2010.06.23	459.8	468.5	458.3	462.3	180	0	0
2010.06.24	461.3	470.0	461.0	463.0	164	0	0
2010.06.25	462.8	464.8	455.3	456.3	126	0	0
2010.06.28	455.5	455.5	444.0	449.5	171	0	0
2010.06.29	448.3	448.5	440.0	442.0	108	0	0
2010.06.30	441.5	477.3	441.5	464.8	484	0	0
2010.07.01	464.3	486.0	461.0	484.0	304	0	0
2010.07.02	482.5	492.0	481.3	487.8	162	0	0
2010.07.06	487.8	511.0	487.8	492.8	415	0	0
2010.07.07	492.0	517.0	492.0	515.8	263	0	0
2010.07.08	515.0	534.5	510.0	534.0	301	0	0
2010.07.09	529.8	529.8	519.8	523.5	138	0	0
2010.07.12	523.5	524.5	520.0	521.3	69	0	0
2010.07.13	520.0	536.8	520.0	535.8	179	0	0
2010.07.14	534.5	553.3	533.5	548.3	259	0	0
